Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376
Composite Element REF	Signal
WDR45	7.32785302808691
ANKRD6	7.75125269185626
LTBP4	4.61202447325202
PSCD3	3.25820988785186
PYY	3.14815039225467
KCNC1	3.13960864953764
SIRT6	4.28991123562749
CCL19	3.84200613921826
ARHGEF9	4.83984598607413
ABR	5.3916227732472
C10orf22	7.24129468673942
STK17A	4.94236532295113
FOXE1	2.96236025194734
GML	3.10276082237377
CNGA3	2.93233623948158
CD38	4.55616993264201
ZDHHC6	7.67114830146681
NEFH	3.9735293030408
PGBD5	4.38251941198357
CTDSP2	7.68049549009065
RMND5B	6.2379588549512
ZNF257	3.09357198505209
DUSP4	4.25589142482538
FLJ22167	6.05842747195411
EXOSC7	6.59606665575463
ROR2	4.18050121505846
FOXM1	4.90202533593258
ZBTB48	4.60510023211328
BUD31	7.85094545766059
MAOA	3.98388220518839
CCDC41	4.55486516840182
TNNT3	3.30693752325206
FBXO11	5.9337809581409
GYPC	6.38824121709915
PLIN	3.58661339182872
RFXAP	3.34666061947791
C6orf15	4.95867280168338
RNF4	8.64892080535344
F8A1	8.71589843421056
PPP1R3D	5.02696238495198
GRB2	7.57957731673924
TPM3	2.98158870761814
SYT13	3.56551817322807
EPB42	3.44788861737648
RP5-1077B9.4	5.7614396375422
EIF1	10.7363314235636
CETN3	7.22793361188832
FPGT	5.5524127651746
PRY	3.21233978478823
NTHL1	4.87296432949519
POLR2B	8.86932923005524
RPS28	11.2779040089376
GDF10	3.24401854224668
COQ9	7.4428580950393
P2RX3	2.84118491704561
GCC2	7.55068455842508
RARRES3	7.88999526165173
PLXNA1	6.21714937538019
WBP4	4.87458040203390
KIAA0100	6.55381886653019
PMF1	7.35301325558985
HS2ST1	5.87650355088391
CRELD2	6.74915069409276
C8G	2.95321094610145
CD82	6.2220078660193
PMM1	5.47006998225077
CBLL1	4.32700886122312
LIM2	3.47284884645819
VAX2	4.36135751266749
SETDB1	5.29064367787742
LRAP	7.13346820689119
GCLM	7.08292329618315
CPEB3	4.57296199759661
PPM1A	6.1092027364625
INTS1	4.12179244254529
MMP16	3.10923223351547
CAMTA1	3.70735649885129
SAMSN1	5.76365470249702
DRD3	2.7668608715576
GMPPA	5.5134708761842
C11orf73	6.4228785971604
AIPL1	3.57088780110742
PTP4A2	9.98002719400843
IL24	3.33139016509440
BDKRB1	3.44685423950254
HPCA	3.39259846419253
MLF1	6.09276875253694
SEC14L1	6.52579546234541
CHFR	6.15601593366408
EMILIN1	4.52797303619427
THADA	6.66293311411391
TAF12	6.29186667985533
NDUFS4	8.44575560725774
ID1	7.53663934861717
PIK3CB	4.44107769746465
COL18A1	7.43437561967357
PDZD3	3.26782510281316
TBC1D17	4.47338036722873
COX8A	10.0161802058080
CDCA4	6.2909675890244
C2orf44	4.19273603239971
C9orf16	8.48350078595914
ERBB2IP	8.44598325339854
EMX2	3.73402517041364
FUS	6.3016780152487
NIPSNAP3B	3.70031937818439
TF	3.11336096736880
CXorf56	5.4579329028314
CLCN4	3.63509257755418
PWP2	5.79459325477382
MMP15	3.83433775557694
MTMR14	6.11912429808558
NPR1	6.61888159521664
DNAL4	5.99236253610333
ELAC2	4.78068012820993
ASS1	11.8724811929744
IPP	5.55531851758627
TMEM59	10.1666176176115
POLR2J	8.14825933733938
SEC23IP	6.45674268279041
RGS4	5.51708291556634
UQCRC1	9.53325973807884
SNX6	7.67289273533035
DDX18	7.19684687422569
POLG	4.57822801801523
ADAM23	4.04203037231861
ZNHIT2	4.62293936099611
TFR2	3.4021435673947
NCDN	4.38223244146951
RAG1	3.2243138090727
POMT1	5.75667837295153
CYP1A1	3.20752557503131
SNAPC1	5.67407801830462
GNA11	6.16421796868325
CCDC52	2.95134555176525
CAPN1	7.41398101007512
DDHD2	7.0706455756621
UPF3A	6.52963762966826
LAGE3	6.77943452532385
GNRHR	3.09681711790689
UNC13B	5.98472787894169
TTLL4	4.52802515836682
PPBP	2.99889863277031
HTR3A	5.48318572586528
SDC2	6.26161046091848
ANKRD49	7.0533464072308
BTF3	10.3106291445649
COX7A2	11.0169063689136
SARS	8.48717370253602
