Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B12_452008
Composite Element REF	Signal
TDRKH	3.91573024258544
PSG4	3.28565126352234
SLC9A3R1	5.89059298486158
NBPF3	8.86126139606773
SLC9A3	3.54515090426588
OSBP	6.38320988637648
PRR5	5.06332117893283
CHMP7	5.4841819712033
ADRA1A	3.06814207478694
ASAH1	7.02678783691754
FKBP4	5.34840871648836
ZNF350	5.51174035012319
DOM3Z	5.84672334812241
GIPR	3.52977201030621
AHI1	4.16581741149132
BST1	4.9779512748958
NCR2	3.62010010138430
NADSYN1	4.61514264197361
UBE2W	6.45174764509561
RGS14	4.51854486842513
KRT15	3.86584293447175
SCN11A	3.53699154892985
GFI1	3.75135138734802
FHL1	4.13535436075912
SMC6	5.87621790287807
GATA1	3.70007422194346
OSGEP	5.17638060026735
ARMC6	5.33879458617231
HK3	3.70235713477405
PSMD5	6.17625473287301
RSU1	7.67059855295543
RPL4	11.111544041683
MAD2L1	7.70791474134553
RBPMS	4.79160697180178
EIF4A3	9.08703690887166
E4F1	4.40766648599815
DLEC1	3.57164202074465
PRPF3	5.20217091535719
EMR1	3.18597954293722
CHMP2B	7.87170552573205
CAMSAP1	4.01915904100774
RPS21	9.65846984907467
XCR1	3.41016897814691
ARID5A	4.25460581449839
RBM6	5.64275607209209
UBE2N	6.83026963754142
KLF4	4.31865988998635
MGC4172	5.62570639089456
LMO4	7.34937059743708
KLKB1	3.16276301792085
HDAC3	6.86150127363139
HP	4.88548953137659
SCHIP1	5.53235533072345
BTK	4.07234100940066
KRCC1	7.92573986433765
PRND	2.84098282684073
C6orf27	3.61613666452149
PIGL	3.68351478636127
CLCA1	3.58829270982909
C1orf112	5.08112272054235
OLFML2A	4.26629257557177
HUS1	5.11739849191195
SFRS6	7.83591633935005
CXCR7	5.54880215764305
UIMC1	5.76309694818323
FXYD2	3.55914120723883
GOT2	7.38304544232324
ZNF667	4.4008994960363
TFEC	4.18490605596418
ATP7B	4.05339430512312
RAB38	5.46597685513876
POLD2	7.85597995982697
PPM1H	4.96857935058356
DCX	3.08803783663555
NFYC	5.56994354490614
ZNF228	4.72101843447943
KIN	6.38879366996628
PLSCR4	5.77143546672463
HIST1H4I	4.06527214936253
PPARGC1A	3.11858833401824
HIG2	6.86582528693047
KCNK10	3.97702744179624
EXOC1	7.91838112773553
OR6A2	3.58715716369351
ETFA	7.8707756790023
PDAP1	5.61152826761092
C19orf6	3.56547970692146
POLRMT	4.15267415124211
ZNF146	8.41749007878629
MIA2	3.2948893761178
LY6G6E	3.14129032924710
EIF4E2	7.98362461435297
NENF	5.74603121847733
HOXB5	4.21651526855386
ZNF324	4.65196229231134
CUGBP1	4.62257346288239
ENTPD7	4.03660308986948
TTC13	6.79146051595218
GJB5	3.21698351344041
PRSS22	4.22791554939853
CYP3A5	3.19447057175634
MBOAT5	4.85591819636259
CUL4B	5.01539616507849
CENPJ	3.45458822103685
KIAA0664	6.33315125471795
PITX1	4.00460710250782
PDGFRB	5.67819714604186
RDX	6.04865249790668
CELSR3	3.80229616122073
JUND	7.14368401814849
ITSN1	5.35664176991119
CHRNB1	3.98591722476926
EHBP1L1	4.4804903265451
C19orf2	7.87903677440675
FETUB	3.06564473936919
CAMK2B	3.1187448358343
DCTN1	5.65194762564411
TNKS2	6.26191241346303
MRTO4	6.95040603093389
C1QBP	6.35680857959397
TTC3	7.9332960636495
NDUFB8	8.58689234526042
CADPS2	4.46390024232563
EDG2	4.49923314147318
MYF5	2.91927816463094
SEMA3G	3.77459937741218
IL23A	3.68144207178418
GJA9	3.75880074475114
R3HDM2	6.38854354866907
C5	3.71464129209228
SLC2A10	7.45636619752426
TRIM45	4.48270494517613
TSP50	3.88781084523243
PAQR3	4.93059541388209
ANKRD26	3.2855350009973
TCP1	8.10631149222153
TMED7	7.37973239510705
CMA1	2.93681682356332
PTCRA	4.23490394906978
HCRTR1	3.54004429804166
FST	6.30820666361505
PAWR	3.85505817424675
LDLR	5.67933544561601
ASTN2	3.64284055686260
SCRN1	7.2049838995282
GPATCH8	6.00758116330045
KIF4A	6.4052899024008
TANC2	3.33745503674205
ZMYM5	4.13660865506401
PGM1	9.2232633242507
ZNF586	6.84307177373205
POLR3G	3.74154526692248
CPD	5.53475893943379
SNCAIP	4.02587812352124
DCT	3.28277369481026
HLA-DOA	3.54085334996692
TANK	5.66929210060383
RCAN1	4.67695134704495
UPK1B	5.41112561459398
DNAJB4	4.42963762028613
UGT1A8	3.02703884857026
LIMD2	3.40188780987485
HIST1H4L	3.46313218783289
PECR	4.51343473176937
HSPA2	6.30394040890594
SERP1	9.40440943292836
TACR2	3.45526663410132
NUP85	6.84308126509349
CD177	3.35451681868851
GPR135	3.36429619169521
PIGG	5.61325046873002
LGR5	7.87538761932911
JAK2	3.47349457526908
DPYSL4	3.36443259527522
TM9SF4	6.58155839078801
PTHR1	3.36250611953001
SIRPG	3.59111140221311
ZNF264	4.92063589440864
BICD1	4.74071770615585
RAB5A	7.76645298307283
FLJ13224	3.03205211869211
METTL5	9.74338543528776
HERC6	7.45171696268402
CASP1	6.94886259025405
USP9Y	2.64123130178818
LRP1B	3.19794000380501
XAF1	8.07368820993674
PLA2G4C	4.60181543857415
APOA2	3.21832510190275
SPAG6	3.19081046939593
