Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
TCP1	8.7305209273525
TMED7	6.39141523096423
CMA1	3.07054190938206
PTCRA	4.10821527361892
HCRTR1	3.46610547042566
FST	5.06254884566904
PAWR	4.80728308065874
LDLR	4.09609372949751
ASTN2	3.73442382619346
SCRN1	7.66413800052442
GPATCH8	5.29452035134749
KIF4A	7.00978898775068
TANC2	3.37914459220495
ZMYM5	3.23708389125139
PGM1	8.97413630529613
ZNF586	5.42104753790305
POLR3G	3.38610048519106
CPD	5.62971513329929
SNCAIP	5.05052741095919
DCT	3.52160187735758
HLA-DOA	3.44102449101013
TANK	6.40778484948762
RCAN1	4.68537995407625
UPK1B	6.52948417263928
DNAJB4	5.38479955646012
UGT1A8	3.05142736082527
LIMD2	3.39167311381205
HIST1H4L	3.50026469621029
PECR	4.95714606844911
HSPA2	6.725353046967
SERP1	9.42735364178962
TACR2	3.63398387030819
NUP85	6.14020037868845
CD177	3.59493801148531
GPR135	3.23681114070472
PIGG	7.49270282252135
LGR5	4.37092947156401
JAK2	3.81203811490514
DPYSL4	3.16433353404579
TM9SF4	5.71021377880404
PTHR1	3.4863766939837
SIRPG	3.04145345225003
ZNF264	4.07720722609758
BICD1	5.51108026262514
RAB5A	8.10961229293881
FLJ13224	2.89655949986341
METTL5	9.46119002292827
HERC6	6.66624090928663
CASP1	5.73355741584854
USP9Y	2.73177560225024
LRP1B	2.9437978030799
XAF1	6.96909426293865
PLA2G4C	3.83118487002989
APOA2	3.23834248709614
SPAG6	2.94328737568015
KALRN	3.93755827062472
SECTM1	5.27643398521051
THOC7	9.16098744998163
IFNAR1	4.13905494215074
TCTA	6.46326629631189
NY-REN-7	3.1826021242701
TALDO1	9.3201504882138
B2M	11.8635666969951
LPPR4	4.15386710937879
SQLE	5.60863508422333
SEPHS1	9.44613512377525
EIF5A	6.40601408773543
FAM49A	4.47686521247347
YTHDC2	3.70331346237157
EHD2	4.57274994815235
NCF1	3.49214633898528
SPG7	6.18238071313256
ZNF614	3.6105817512404
HOXA5	6.18658338743102
NUP133	8.48422180671098
FGF12	3.86803813304614
SLMO2	7.59811169470988
INPP5B	4.7427859756131
PPID	7.49269316657476
SNTA1	4.016695069522
IL20RA	3.79839753822113
UBE2J1	5.78927124670904
CACNG2	3.11941152074723
GCM1	3.34442161805228
ELF1	6.2874583357813
TLR5	3.63708727820446
TCFL5	6.5996172145027
C1orf107	6.03646005676323
C19orf22	5.98912818758286
SAFB2	5.67324652433674
MAP3K7IP1	3.62800658841715
NCK2	9.86486104450786
OXA1L	7.88050379552244
KIAA0652	5.50348960968252
KLRG1	3.9996643368115
FRAG1	6.14003510605196
ZSCAN12	3.02768499841111
PSMD12	6.91476723163517
E2F4	5.4042314031579
CLEC4M	3.37868248451396
KIAA0999	4.67072777187019
CLDN10	4.42028420999701
MGC13053	4.09552917990429
TAC1	2.75104087221516
GYPA	3.27183586037529
HPCAL4	3.12584146365
TRAIP	4.74035743569081
MEX3D	4.71539941674223
KIAA0232	7.06824804612007
ERCC8	4.57769757856956
NFAT5	4.45063473886807
GPX4	9.27559654611246
CSPG4LYP1	3.16247953485149
KIAA0368	5.72910082391083
FBXO3	5.62377959247075
DVL1	7.0460233860953
CMKLR1	3.58375043126038
GPR157	3.40670067640966
TYMS	7.88582872918833
OR52A1	3.46532052699617
PEF1	7.27446517481518
ZNF750	4.37794775394597
ALG9	5.86500533481518
MCM5	5.33586885353239
SDK2	3.42167359952950
BAIAP3	3.55434211231866
RABGGTB	6.73016027843102
KCNK7	3.19586463120964
PTP4A3	5.15327121756217
ANKRD40	4.16593330869967
CALCOCO2	7.07824594648192
TMSL8	9.5498800627328
SNCA	4.1582253685039
ZNF551	3.78623921191362
HBQ1	3.54216753533708
ARHGAP26	3.80017079308421
GEMIN6	7.15184186789975
HRAS	5.48145037097676
KLRC4	2.64964694456355
BSDC1	6.04276518104959
DSC1	3.77516395864097
RNF43	5.30100559852293
NDUFAF1	6.39195637783165
MAP2K4	5.36837803652856
FOLR2	5.18307938383293
LYZL6	3.55389372796352
EPB41L3	3.9701069441127
TEKT2	3.59812078386879
CDKN2B	3.86258807990081
WSB1	7.1614625324307
ZNF480	3.83334354258702
MAP3K6	3.49679637284085
PROS1	5.97452662377551
PSMB8	7.77531197765369
HN1	7.33492996834736
MAS1	3.31362915399949
APOL1	4.55444762871344
CSHL1	3.26428495147676
ZBTB7C	2.90597765221168
AHCTF1	5.86644423744888
SAE2	9.38624944901653
ITGA2	4.16121985851509
AP2S1	8.81576595742338
P15RS	5.91354713335108
MME	3.8787135600943
VAT1	6.61920230149083
MAST4	4.58972200028777
TUFM	8.84095287091917
KRT33B	3.17897145384562
THEG	3.89569721392046
KCTD2	4.73889700737973
WDR26	8.56763456300528
MFI2	3.42933637232924
KRT34	3.17267288228123
NR4A3	3.79228222510278
SGSM3	4.4522139625706
ARSA	3.45535895491944
TOMM22	5.89758265123309
SOCS3	3.9339254494911
UNKL	3.67703299239674
POP4	10.6086355353798
BHLHB3	7.92460385586963
MALL	5.16303707541834
SOX15	3.36198458897971
CCNA2	6.81185776424257
PARK2	3.30021610684993
