Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
C3orf32	6.05223486218069
AGPS	4.2598755557703
C4orf18	3.22399534246173
PCCB	8.15689934238207
IPO13	5.30429965059401
PECI	7.03174073972432
UNG	8.15343142439926
C6orf105	4.24516953583005
GSTP1	9.08791275863533
SUV420H1	7.54837944888626
ARHGAP15	4.48687453844031
LTBR	6.61769086473597
TDRKH	3.40873309214765
PSG4	4.11350531966891
SLC9A3R1	6.2070448635074
NBPF3	9.63707776773093
SLC9A3	3.50768069624802
OSBP	6.74901940935982
PRR5	4.18966577952912
CHMP7	5.30997878419905
ADRA1A	3.06700132391995
ASAH1	6.52602372284471
FKBP4	6.7537833332977
ZNF350	4.09308142469265
DOM3Z	6.16673299092046
GIPR	3.7311764782868
AHI1	5.71194733649728
BST1	6.1828428949389
NCR2	3.63277859191103
NADSYN1	6.29082419983143
UBE2W	5.15473854828752
RGS14	4.3790938125657
KRT15	4.01067356236335
SCN11A	3.81169179428378
GFI1	3.82001462896015
FHL1	5.75200305763946
SMC6	6.73242209523435
GATA1	3.58891371789642
OSGEP	6.48120435193109
ARMC6	5.70857695948807
HK3	3.49799822267902
PSMD5	7.78877009960903
RSU1	7.8592959088082
RPL4	11.7225199947444
MAD2L1	7.78512635297632
RBPMS	6.59685377097848
EIF4A3	8.50392252260538
E4F1	6.00439279369429
DLEC1	3.5162338442516
PRPF3	6.68658847275685
EMR1	3.35452879030090
CHMP2B	7.3675206001466
CAMSAP1	4.9530806326404
RPS21	9.16091545880428
XCR1	3.21755499836810
ARID5A	4.58931271460704
RBM6	7.09394877946703
UBE2N	7.89950647056474
KLF4	5.08868586797899
MGC4172	4.66169395376174
LMO4	8.61686535878968
KLKB1	3.33834807184981
HDAC3	7.10267801794699
HP	3.21148939278465
SCHIP1	7.98925701816288
BTK	4.67905909166795
KRCC1	8.24535815951096
PRND	3.11692849705039
C6orf27	3.46962231830181
PIGL	3.53719825319747
CLCA1	3.7245517392214
C1orf112	5.07778860403666
OLFML2A	5.73462176913601
HUS1	4.81310574821656
SFRS6	8.48481724102652
CXCR7	4.14099183300202
UIMC1	6.92408205915497
FXYD2	3.46097026147190
GOT2	8.36075373603925
ZNF667	3.51897904884636
TFEC	4.39766288351488
ATP7B	4.73256504247657
RAB38	3.34978780273733
POLD2	8.05994248446193
PPM1H	4.06000022748352
DCX	3.3699778699084
NFYC	6.61720008029523
ZNF228	3.54162425857862
KIN	5.8678919783012
PLSCR4	7.98049184228146
HIST1H4I	4.25970433504686
PPARGC1A	2.97106188924281
HIG2	7.55945446491663
KCNK10	3.969331271737
EXOC1	7.88751524923123
OR6A2	3.7790425043378
ETFA	9.67955526654977
PDAP1	5.47055846663446
C19orf6	3.61630765355265
POLRMT	5.24926972942037
ZNF146	7.98644378193684
MIA2	3.27297498807020
LY6G6E	3.10012909801205
EIF4E2	6.6574338162552
NENF	5.45734179860499
HOXB5	4.58815509119987
ZNF324	4.89317059964522
CUGBP1	4.65167922119414
ENTPD7	4.48642101106968
TTC13	7.22224701496225
GJB5	3.65552253449782
PRSS22	4.20150192201097
CYP3A5	3.29165327027679
MBOAT5	4.21601814703568
CUL4B	5.17105185020154
CENPJ	3.98337741609529
KIAA0664	7.7911329733574
PITX1	5.87185871899776
PDGFRB	5.14891112885726
RDX	6.68762962720998
CELSR3	4.89281107957489
JUND	7.08601908347361
