Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B11_472040
Composite Element REF	Signal
GNA11	5.1736920789126
CCDC52	2.95248354522125
CAPN1	6.81841883232998
DDHD2	6.4869871924161
UPF3A	6.07479233565389
LAGE3	5.18153051814700
GNRHR	3.13617508117557
UNC13B	4.56808043775703
TTLL4	4.61291392986732
PPBP	2.90148204941056
HTR3A	6.89880654262339
SDC2	6.14428699452213
ANKRD49	7.31143943086882
BTF3	10.207719780554
COX7A2	10.4591161366945
SARS	8.44916351011121
C13orf18	4.2310674789832
CACNB1	3.84259165947776
QKI	5.72943860627788
SETMAR	6.49611282728408
LAMB4	3.15136205770132
MAN2B1	6.52635822466079
EML3	4.57618180221094
ACADL	3.27502201701955
OFD1	7.17071147389751
CGA	3.70960657796064
EIF3EIP	10.8341654769775
PEX16	4.94402613136549
GNG12	8.41136616175435
HABP4	4.35830671873154
CNTN2	3.48722486590044
ASNSD1	7.82994527481122
FUT4	4.00672755741641
DBH	3.40142928519357
CD53	9.40076910264862
HIST1H2BJ	3.23564805227726
TFAP2B	3.12700845937705
ACF	3.80768253637549
TMEM11	5.473160224923
CDH8	3.24848484680691
C3orf32	3.57894018681844
AGPS	6.47052768520818
C4orf18	3.69108801447584
PCCB	7.8043365669761
IPO13	4.44428495343538
PECI	7.3166694746009
UNG	7.93518420753571
C6orf105	3.95422240713115
GSTP1	8.33858283891723
SUV420H1	7.27076668301375
ARHGAP15	4.5186081370174
LTBR	7.15729558181483
TDRKH	3.22739193260627
PSG4	3.31483020615762
SLC9A3R1	6.77286324074846
NBPF3	8.772056880188
SLC9A3	3.61252320794107
OSBP	6.44528454472584
PRR5	4.49383432074314
CHMP7	5.64964540977098
ADRA1A	3.02069481216042
ASAH1	7.25524804239338
FKBP4	7.52242804020721
ZNF350	4.10310624334567
DOM3Z	4.76902252348104
GIPR	3.63322829148089
AHI1	4.37238393067203
BST1	4.34631393836684
NCR2	3.50913431848384
NADSYN1	5.16739241819417
UBE2W	5.88030134636785
RGS14	4.03301426034885
KRT15	3.5688610538095
SCN11A	3.7694435085814
GFI1	3.28006162476701
FHL1	3.95471646967137
SMC6	5.24628379914668
GATA1	3.4807677712065
OSGEP	4.93143935216298
ARMC6	4.37034844789967
HK3	3.65353601279822
PSMD5	7.36934454005204
RSU1	7.93925654858905
RPL4	11.8737719819990
MAD2L1	7.23242722204188
RBPMS	5.14790608946539
EIF4A3	9.39910030369796
E4F1	4.36711075908960
DLEC1	3.41570927906695
PRPF3	5.00733854965222
EMR1	3.19777146867584
CHMP2B	8.44177287481406
CAMSAP1	4.35278095991546
RPS21	8.8854356284425
XCR1	3.64129955689620
ARID5A	4.47908860660227
RBM6	5.6403801022194
UBE2N	8.41222417452562
KLF4	3.96209702363792
MGC4172	3.72352877757112
LMO4	7.29130253001031
KLKB1	3.29431729138405
HDAC3	6.19350054543836
HP	6.96109875605064
SCHIP1	5.38048048596686
BTK	4.45485688918172
KRCC1	7.45759692986059
PRND	2.91238585445319
C6orf27	3.77866000083705
PIGL	3.57686027644139
CLCA1	3.78666746624094
C1orf112	4.91777851451007
OLFML2A	4.57322106260292
HUS1	4.67133179240822
SFRS6	6.64062745078566
CXCR7	6.52156761336099
UIMC1	5.83599110450102
FXYD2	3.58256134566388
GOT2	8.05207694801325
ZNF667	4.62241259918146
TFEC	4.85137437733137
ATP7B	4.32188888231007
RAB38	3.39060942699860
POLD2	6.13382265602247
PPM1H	5.65930674282542
DCX	3.16525557667194
NFYC	5.36993528393384
ZNF228	4.16619818164796
KIN	4.81865852890099
PLSCR4	5.40598942623292
HIST1H4I	4.04825969219643
PPARGC1A	3.35493025258064
HIG2	7.13638241803943
KCNK10	3.98841191546171
EXOC1	8.03662606103972
OR6A2	4.07852904488698
ETFA	9.08137567118417
PDAP1	4.48396986549038
C19orf6	3.50139331883748
POLRMT	4.06417502230689
ZNF146	8.36019472618405
MIA2	3.29695134450294
LY6G6E	3.44020169480835
EIF4E2	7.48706008147792
NENF	4.93123382524287
HOXB5	3.97781881101054
ZNF324	4.11958487169327
CUGBP1	4.26843134714574
ENTPD7	4.47443947949712
TTC13	5.06343919046733
GJB5	3.66387131190954
PRSS22	4.10186445601413
CYP3A5	3.19644048924329
MBOAT5	5.44198178049607
CUL4B	5.78109192106591
CENPJ	3.51233237419265
KIAA0664	5.21055333767165
PITX1	4.02849695814361
PDGFRB	4.92886305472913
RDX	7.55949215862901
CELSR3	3.73458528352298
JUND	5.8556635129181
ITSN1	4.35550636083364
CHRNB1	3.64387214967645
EHBP1L1	3.79396163670122
C19orf2	6.87905248436821
FETUB	3.16448116185242
CAMK2B	3.13199696302152
