Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F01_586114
Composite Element REF	Signal
AHI1	5.26605389622156
BST1	4.08104110360985
NCR2	3.49219121281529
NADSYN1	6.17732144216619
UBE2W	6.47294463377961
RGS14	4.11392112618018
KRT15	4.01902530032375
SCN11A	3.67029966286142
GFI1	3.68138802264190
FHL1	3.94552206578094
SMC6	7.31392940702777
GATA1	3.36909408641349
OSGEP	6.77378724744928
ARMC6	5.5258723893322
HK3	3.67738264900441
PSMD5	7.24280442432369
RSU1	8.10112531593675
RPL4	11.9304548298101
MAD2L1	8.03223174924427
RBPMS	7.91634218646382
EIF4A3	8.55053649443774
E4F1	5.19318498093112
DLEC1	3.30462552340279
PRPF3	7.09111493019008
EMR1	3.65359188080623
CHMP2B	7.44811693572513
CAMSAP1	4.45215311977078
RPS21	10.2563407291610
XCR1	3.34441877343972
ARID5A	4.44432122931714
RBM6	6.04709661310484
UBE2N	7.58563766125619
KLF4	4.35939461567255
MGC4172	4.94969831730181
LMO4	6.74440848295305
KLKB1	3.30770250401926
HDAC3	7.76661878065514
HP	7.18302999857961
SCHIP1	6.1495272750152
BTK	5.28717408626231
KRCC1	7.8338920654592
PRND	3.26575123578585
C6orf27	3.16046050839674
PIGL	4.07106867955931
CLCA1	3.80710223284647
C1orf112	6.41931318118647
OLFML2A	4.20165716089194
HUS1	5.62682158655634
SFRS6	6.88727119745787
CXCR7	8.50054359163794
UIMC1	6.95733589133049
FXYD2	3.37021366699138
GOT2	7.78178921846878
ZNF667	3.85998191196765
TFEC	6.43590484358422
ATP7B	4.97410373751035
RAB38	4.84869217950535
POLD2	7.80842180267177
PPM1H	6.40795829344517
DCX	3.27742859361043
NFYC	6.13855383025513
ZNF228	4.36086194968181
KIN	5.95868678307344
PLSCR4	6.55604161488858
HIST1H4I	4.11087593999155
PPARGC1A	2.99391551201342
HIG2	7.6313578183147
KCNK10	3.99313180249404
EXOC1	7.55362378679939
OR6A2	3.73974404841336
ETFA	9.06276967212355
PDAP1	5.32544092869873
C19orf6	3.47282877120697
POLRMT	4.44240519648656
ZNF146	7.34072186553132
MIA2	3.18678934715342
LY6G6E	2.99627572829862
EIF4E2	8.02105722871731
NENF	5.75415709170174
HOXB5	6.4585504231685
ZNF324	4.47525659307626
CUGBP1	5.20971676322577
ENTPD7	4.82095177022796
TTC13	8.12225690555897
GJB5	3.10435272210499
PRSS22	4.67293081495994
CYP3A5	3.20330289176489
MBOAT5	4.57089660029456
CUL4B	6.29685656895358
CENPJ	3.54168994935499
KIAA0664	6.23943056653554
PITX1	3.69163480373941
PDGFRB	5.4987307806221
RDX	5.98487622062499
CELSR3	5.62854688618174
JUND	6.78598858179263
ITSN1	4.47142380132825
CHRNB1	4.32192685661174
EHBP1L1	4.50928669291198
C19orf2	7.77268154943106
FETUB	3.05344816763527
CAMK2B	3.00770005988793
DCTN1	7.1678085982933
TNKS2	6.95683049796636
MRTO4	8.02484105666377
C1QBP	6.63218162241003
TTC3	7.07514533382818
NDUFB8	9.46263481723064
CADPS2	6.02163338191378
EDG2	4.28237313429407
MYF5	3.02602153392282
SEMA3G	3.58383821346251
IL23A	3.42269397914511
GJA9	3.65830727220543
R3HDM2	6.70857369703777
C5	5.43974593269910
SLC2A10	5.38097279056381
TRIM45	5.78999752633003
TSP50	3.73312965429359
PAQR3	6.50619049240486
ANKRD26	3.43351298327643
TCP1	8.45052386666903
TMED7	7.91107896046354
CMA1	2.93963427012973
PTCRA	4.16291649038854
HCRTR1	3.73866862709713
FST	3.96703799685187
PAWR	3.94218336578044
LDLR	6.11845573771732
ASTN2	4.64877151882933
SCRN1	6.90723699587063
GPATCH8	6.3601432751402
KIF4A	7.56557767196014
TANC2	3.75049457530898
ZMYM5	3.92255654781210
PGM1	8.26780110486323
ZNF586	4.38056873537049
POLR3G	3.93816102738002
CPD	5.94558761089592
SNCAIP	7.64654783368609
DCT	3.30876882508409
HLA-DOA	3.58315865133836
TANK	6.10665015430578
RCAN1	4.51374650780305
UPK1B	3.33544106046479
DNAJB4	5.12579338971648
UGT1A8	3.13293111558997
LIMD2	3.75323582936208
HIST1H4L	3.46574200616637
PECR	3.78724059963195
HSPA2	6.88129267441405
SERP1	9.5011494623656
TACR2	3.19138955288075
NUP85	7.4029186327027
CD177	3.42009656042236
GPR135	3.10873070157623
PIGG	7.43889766709506
LGR5	4.05240751955023
JAK2	4.872516888999
DPYSL4	3.17180778496072
TM9SF4	6.38904230325373
PTHR1	3.34483578796006
SIRPG	3.41341526411593
ZNF264	5.51201546832137
BICD1	4.42926893729461
RAB5A	7.08930321667157
FLJ13224	2.96692898721108
METTL5	9.64586365988819
HERC6	6.6900175864696
CASP1	8.21742187429255
USP9Y	2.73172858457391
LRP1B	3.29522873389073
XAF1	7.09908578852233
PLA2G4C	3.7155700341577
APOA2	3.14005726835453
SPAG6	3.02719226996445
KALRN	3.30358846311394
SECTM1	7.4802459930186
THOC7	9.15302607903764
IFNAR1	4.61227166829865
TCTA	6.3378186856339
NY-REN-7	3.53136444435952
TALDO1	9.35688257674762
B2M	12.3729946799221
LPPR4	4.32589735504097
SQLE	6.07577372457742
SEPHS1	7.12911711785553
EIF5A	6.99220666237026
FAM49A	5.58007232264415
YTHDC2	5.74134353936666
EHD2	4.13267277010911
NCF1	4.44186454381974
SPG7	6.270326412802
ZNF614	3.55297954340516
HOXA5	7.22856903263814
NUP133	9.09915723915863
FGF12	5.32885047910437
SLMO2	8.63765392291158
INPP5B	5.36075534323193
PPID	7.31380004299295
SNTA1	4.38955598337931
IL20RA	3.71049537015872
UBE2J1	6.10847596184058
CACNG2	3.04116198064207
GCM1	3.07504835773579
ELF1	6.86880202413099
TLR5	6.83159138930317
TCFL5	7.79600523820024
C1orf107	6.31725112433955
C19orf22	6.84005130993527
SAFB2	6.83797154779286
MAP3K7IP1	3.86851409344959
NCK2	7.90299366797621
OXA1L	8.00979992016767
KIAA0652	6.32378115245408
KLRG1	3.64359871565168
FRAG1	6.74787745492965
ZSCAN12	2.9253666370971
PSMD12	7.07426234968536
E2F4	5.29255867399403
CLEC4M	3.47517246523913
KIAA0999	4.57029628005662
CLDN10	6.8807706636184
MGC13053	4.22032341214276
TAC1	2.91723757743872
GYPA	3.33236946622375
HPCAL4	3.46060987518160
TRAIP	4.36092207974469
MEX3D	4.53681468897168
KIAA0232	6.38565139514742
ERCC8	6.20542084972447
NFAT5	6.18608718029048
GPX4	9.67931697354797
CSPG4LYP1	3.31828641344697
KIAA0368	6.5342416047669
FBXO3	8.06769956856783
DVL1	6.33634419692374
CMKLR1	4.16428964178457
GPR157	3.54033524004251
TYMS	9.1700469893118
OR52A1	3.20160691198431
PEF1	7.46085405797387
ZNF750	2.99128992589397
ALG9	6.01270653946084
MCM5	6.76712960047517
SDK2	3.30671951842577
BAIAP3	3.75014706577113
RABGGTB	6.66327751660928
KCNK7	3.28044441964413
PTP4A3	6.8250656259671
ANKRD40	4.3648269041015
CALCOCO2	7.62970657448687
TMSL8	3.82569279945025
SNCA	4.89680909786982
ZNF551	4.2019038935237
HBQ1	3.24755670740641
ARHGAP26	5.10316708780066
GEMIN6	7.04956425293963
HRAS	5.99477750667466
KLRC4	2.8661118676131
BSDC1	6.75384646600184
DSC1	3.61842269554371
RNF43	4.98426737508217
NDUFAF1	7.50247747677207
MAP2K4	5.36218035228086
FOLR2	5.47076969886607
LYZL6	3.55693772911832
EPB41L3	6.13406371319453
TEKT2	3.17360913022910
CDKN2B	3.39189031845196
WSB1	6.22890351443181
ZNF480	3.44162864893850
MAP3K6	6.3129204751373
PROS1	7.2805017663991
PSMB8	8.80194867757261
HN1	7.57123255016598
MAS1	3.27082797941461
APOL1	5.63742673893274
CSHL1	3.19834491743629
ZBTB7C	3.06855640138353
AHCTF1	7.2053273245733
SAE2	10.1065845048022
ITGA2	4.11538058639294
AP2S1	8.87571232936833
P15RS	7.79381383246363
MME	3.31286924852646
VAT1	7.39892592190846
MAST4	7.17909465397767
TUFM	9.0377178595754
KRT33B	3.3166236284782
THEG	3.9476849104738
KCTD2	4.99105943936466
WDR26	9.17890734308001
MFI2	3.05010222556939
KRT34	2.93952881936539
