Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D05_452028
Composite Element REF	Signal
SNTA1	4.21181805662976
IL20RA	4.4238849207967
UBE2J1	5.89344985583056
CACNG2	3.18328402678844
GCM1	3.08492287113072
ELF1	6.6087743720668
TLR5	5.35870833834473
TCFL5	6.43396855419325
C1orf107	5.30562593859292
C19orf22	6.42351604688213
SAFB2	6.04745878231289
MAP3K7IP1	3.8861218792904
NCK2	8.35651698580747
OXA1L	8.60454372791757
KIAA0652	5.76166403597256
KLRG1	3.39949281384782
FRAG1	5.84005284711181
ZSCAN12	2.91433357564746
PSMD12	7.50354153212544
E2F4	5.2190404211735
CLEC4M	3.50150010697494
KIAA0999	4.81981919682254
CLDN10	7.4723684508531
MGC13053	4.05771216611011
TAC1	2.66538720946358
GYPA	3.23186452821769
HPCAL4	3.34540944303550
TRAIP	3.63724153817605
MEX3D	4.44994772263528
KIAA0232	7.02677618837633
ERCC8	4.7970268947536
NFAT5	4.56560997688447
GPX4	8.73039539982812
CSPG4LYP1	3.15311687021219
KIAA0368	5.64578825564784
FBXO3	5.60763858661315
DVL1	6.11154961320361
CMKLR1	3.54295391416067
GPR157	3.51674829951841
TYMS	7.11162283690352
OR52A1	3.08843840159641
PEF1	7.72596031257174
ZNF750	3.34551502378645
ALG9	5.08720642268175
MCM5	4.8286995783072
SDK2	3.6001028970925
BAIAP3	3.8560973031251
RABGGTB	6.53168509972219
KCNK7	3.33691470189684
PTP4A3	6.77029479042803
ANKRD40	3.86181038613135
CALCOCO2	6.99320360050178
TMSL8	4.55730394312387
SNCA	4.15343111513679
ZNF551	3.50601235890483
HBQ1	3.47320717987065
ARHGAP26	4.14759622794739
GEMIN6	6.07495790614468
HRAS	5.35287388267364
KLRC4	2.77433907498318
BSDC1	6.22104600443797
DSC1	3.64668164150608
RNF43	4.54461440955119
NDUFAF1	5.69064587319951
MAP2K4	5.33054054381303
FOLR2	4.60446387044451
LYZL6	3.52013090822804
EPB41L3	3.98576247679514
TEKT2	3.59735595808825
CDKN2B	3.45145060187223
WSB1	5.96434765480751
ZNF480	3.3673484917491
MAP3K6	3.65718758774467
PROS1	6.6206208848712
PSMB8	8.31577189613002
HN1	7.91428813139235
MAS1	3.32156991375567
APOL1	5.42554234271947
CSHL1	3.34075663130266
ZBTB7C	2.8536898081992
AHCTF1	6.73888010682859
SAE2	8.0362021253573
ITGA2	4.45091194500329
AP2S1	8.09382775828501
P15RS	6.75849274395422
MME	3.52924728300607
VAT1	6.73098966729298
MAST4	5.15386138973993
TUFM	8.84347121977453
KRT33B	3.27479714517235
THEG	3.698518584029
KCTD2	5.29783538301672
WDR26	8.6679884691028
MFI2	3.59835151571231
KRT34	3.04390239449752
NR4A3	3.54915586791772
SGSM3	4.16643113154659
ARSA	4.17139642231919
TOMM22	5.08441638387383
SOCS3	3.7326969015951
UNKL	4.17289792401724
POP4	6.61558271837343
BHLHB3	8.1338011814857
MALL	7.28896292450508
SOX15	3.7305533699323
CCNA2	4.48865094313251
PARK2	3.37108852057820
GPR124	4.78071957092372
TMEM132A	7.08520725639633
CGRRF1	6.41814638821737
RUVBL2	7.33150374727091
MCAT	5.71753366631832
WNT10B	4.08941023140494
ISCA1	6.64975503370508
RPAP1	4.23036880156684
C12orf48	4.29847264065496
RAI16	6.10933459158381
RPL27	8.6199564193204
EPN1	4.16355033229759
MAGI1	2.87913187316394
GBX2	3.26455241438032
SLC35A1	7.85109171843758
GAL	3.90993180187273
SLC14A2	3.54472394093968
RDH11	8.14774324970037
ZNF518	3.89031252559361
PCYT1B	3.16734647484304
AUH	6.88192453099837
EIF3H	11.6251662546457
KIF1B	6.03440841171593
MBD2	4.43777175285724
AMOTL2	8.65934844954473
C6orf120	6.25542080132182
PIGT	7.31084503433615
PSRC1	5.45522586555529
PLA2G10	3.62156229299603
ALAS1	6.52293957364178
FOXO1	6.29323658216467
C17orf62	7.43967758766343
KIF5C	3.85441833811032
DUSP10	4.24723478207429
CRLF3	7.24745022790476
CLCNKB	3.87104613910746
PSMA5	9.1095654286064
FARS2	4.6668097619822
CCDC28A	5.48161431931314
AMPD3	4.70373104267114
PIAS1	7.16152819192984
ADCYAP1R1	3.57268461584364
TMEM134	7.36897650067548
CDH20	2.94425040145754
FBXO7	7.18659744137686
FLJ14213	3.92670752361793
ZNF3	5.41953359379549
LRRFIP1	7.23768656150582
TMEM49	9.27725901786335
CNOT2	6.80767398829688
CBX2	2.79039533276209
ZC3H14	6.93369713752299
ALDH5A1	5.35892037093779
HNT	4.65088531874655
SERPINA4	3.14569119819579
FLJ20920	4.73099681691095
CRTAP	6.00032174366015
DDX50	7.60078926900911
STYXL1	6.95324478836736
TK2	4.78492414050695
BLVRB	5.74181700417642
STMN1	5.51684001415167
GUCA2A	3.32223487931583
DPP6	4.28885931692277
GALNT10	5.01579870048135
STK39	6.53728476626065
MMP24	4.58047526688847
