Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H10_298006
Composite Element REF	Signal
ANKRD6	7.19358852418978
LTBP4	3.94360171945135
PSCD3	3.20143626200483
PYY	3.30749156327395
KCNC1	2.90070828163886
SIRT6	3.90423659622201
CCL19	3.77335796936129
ARHGEF9	4.34280388938972
ABR	4.12442394982429
C10orf22	6.55960488379308
STK17A	5.24833731704702
FOXE1	3.32091661999625
GML	3.27113741520277
CNGA3	2.8802042690682
CD38	4.73364357350677
ZDHHC6	7.63743591542667
NEFH	3.30730005016894
PGBD5	3.77504125112383
CTDSP2	6.61826596192444
RMND5B	5.56884076383502
ZNF257	3.84109352393666
DUSP4	5.92277773901649
FLJ22167	5.36656447889278
EXOSC7	6.67725413235584
ROR2	3.80231164463560
FOXM1	5.21910425061451
ZBTB48	4.75501417774862
BUD31	7.46144335048156
MAOA	3.91986033515153
CCDC41	4.26419659764204
TNNT3	3.82730441889254
FBXO11	5.30764636733338
GYPC	5.12252849735079
PLIN	3.83957672444856
RFXAP	3.52729288991424
C6orf15	3.78966756213084
RNF4	7.42721257164253
F8A1	8.10063924239612
PPP1R3D	4.1451032725784
GRB2	7.65016824105557
TPM3	3.07407742124585
SYT13	3.7850551925901
EPB42	3.39573638003319
RP5-1077B9.4	4.98909249072634
EIF1	10.5682248563140
CETN3	6.44726020866228
FPGT	4.42864220267382
PRY	3.49949812475780
NTHL1	5.2208949039523
POLR2B	8.82471047558
RPS28	12.1153688378202
GDF10	3.13679090182985
COQ9	7.57398099563579
P2RX3	3.18694678149234
GCC2	7.36108772577547
RARRES3	6.9225717909519
PLXNA1	6.02061529887654
WBP4	4.83357392057387
KIAA0100	5.45911313415585
PMF1	7.64613578585475
HS2ST1	5.3572265935247
CRELD2	6.7227756434019
C8G	3.16683165612575
CD82	5.44328555448611
PMM1	4.93134872191727
CBLL1	4.11862144158747
LIM2	3.47677462846923
VAX2	4.39612823807562
SETDB1	5.06014210052116
LRAP	5.53483301578763
GCLM	5.52658544102853
CPEB3	3.30429714359479
PPM1A	5.95516361590445
INTS1	4.05809761630273
MMP16	3.29624212679612
CAMTA1	3.22980735738105
SAMSN1	5.5258842147009
DRD3	2.75449405412875
GMPPA	5.44645257338089
C11orf73	5.54531873156014
AIPL1	3.73015955268837
PTP4A2	9.385600054146
IL24	4.62800692227149
BDKRB1	4.08766321747268
HPCA	3.91326270007018
MLF1	5.88355446767516
SEC14L1	6.13195395924176
CHFR	5.10988340669679
EMILIN1	3.55006531266425
THADA	6.24204844424917
TAF12	5.21026021271359
NDUFS4	8.56621596685826
ID1	8.92819105682172
PIK3CB	3.35740192726808
COL18A1	7.26544665181068
PDZD3	3.24008628233505
TBC1D17	4.18084111040337
COX8A	10.430453317362
CDCA4	6.38488398586955
C2orf44	4.44963557475754
C9orf16	8.71852252890261
ERBB2IP	7.43124967687656
EMX2	8.74763645923069
FUS	5.58456298703884
NIPSNAP3B	3.58720925152494
TF	3.30441078984851
CXorf56	5.42448117646455
CLCN4	3.37923305558852
PWP2	5.23178017111772
MMP15	4.40931764134007
MTMR14	7.27038630200808
NPR1	7.01905771830304
DNAL4	5.87905519618948
ELAC2	4.42723533820261
ASS1	11.4559418445337
IPP	4.67752567081005
TMEM59	10.1655398948897
POLR2J	9.0205278122471
SEC23IP	5.05137076735079
RGS4	5.11903197568207
UQCRC1	9.71229283248958
SNX6	8.20459188928869
DDX18	7.05320585337065
POLG	4.89944681932573
ADAM23	4.14067018642017
ZNHIT2	5.28474179545875
TFR2	3.43992863516271
NCDN	4.39516264801228
RAG1	3.34049912743168
POMT1	5.55949612633092
CYP1A1	3.51002670646258
SNAPC1	5.50245101101492
GNA11	5.16257080865148
CCDC52	2.85715153941540
CAPN1	7.1167855971411
DDHD2	6.59755817063035
UPF3A	6.18831839230378
LAGE3	6.24215561398339
GNRHR	3.14324804967112
UNC13B	5.38998758537819
TTLL4	4.00659950720102
PPBP	4.86584803051303
HTR3A	4.64130562141033
SDC2	5.00653736108837
ANKRD49	7.64644917268141
BTF3	9.88648632604643
COX7A2	10.8871485516666
SARS	8.92781014613992
C13orf18	3.93430780911048
CACNB1	3.81502360299632
QKI	5.20825252005861
SETMAR	7.4686150944521
LAMB4	3.26450717253416
MAN2B1	6.81306248247016
EML3	5.87225835466559
