Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
ADAM23	4.31344703462227
ZNHIT2	4.81385632962704
TFR2	3.7853246453798
NCDN	4.135277790644
RAG1	3.52910939723755
POMT1	4.09288824999943
CYP1A1	3.75440841909521
SNAPC1	4.99617770010953
GNA11	4.52126914672357
CCDC52	2.90970451267178
CAPN1	5.49153838726153
DDHD2	5.23522732243365
UPF3A	4.97706885531957
LAGE3	7.14074834283965
GNRHR	3.28813822168616
UNC13B	5.63397965896429
TTLL4	4.67545735742428
PPBP	3.06429131915411
HTR3A	3.73061721645707
SDC2	6.05657652997845
ANKRD49	8.73061897841526
BTF3	10.6229136752073
COX7A2	11.4513785326334
SARS	9.44497985079912
C13orf18	3.71208235328819
CACNB1	4.17909070444493
QKI	5.09576175345905
SETMAR	8.1791921736258
LAMB4	3.45331434687306
MAN2B1	5.80096347194509
EML3	4.68563392856836
ACADL	3.32610507315434
OFD1	6.77554718911916
CGA	3.51951268246853
EIF3EIP	10.1834695587823
PEX16	5.83603532587881
GNG12	8.4716273413791
HABP4	4.66757546270698
CNTN2	3.71770288119036
ASNSD1	9.35701511751518
FUT4	4.0513407270973
DBH	3.8415269178219
CD53	7.13215076167031
HIST1H2BJ	3.47126216436666
TFAP2B	3.43160357256376
ACF	3.94037991703306
TMEM11	6.06277872841543
CDH8	3.60526880339506
C3orf32	5.07167348298436
AGPS	4.65318588650869
C4orf18	3.31958737057494
PCCB	7.68838147861137
IPO13	4.35812102912004
PECI	7.9348523705869
UNG	6.33123775137323
C6orf105	4.49146119783446
GSTP1	9.22480911094512
SUV420H1	5.91067173118818
ARHGAP15	4.78337007142426
LTBR	6.2165916425042
TDRKH	3.40864512373964
PSG4	3.57486730946680
SLC9A3R1	5.37317952737244
NBPF3	8.44103310552161
SLC9A3	3.86489636297191
OSBP	5.85707415997761
PRR5	4.26129940523690
CHMP7	5.04384467088695
ADRA1A	3.19301573892666
ASAH1	6.45927501211667
FKBP4	7.14723691639379
ZNF350	4.95670042244006
DOM3Z	5.08175046378684
GIPR	3.55474305698582
AHI1	6.00124238352203
BST1	4.23656680349412
NCR2	3.73255665856154
NADSYN1	5.66690519890824
UBE2W	6.77026252349883
RGS14	3.96335367817387
KRT15	3.83427930277016
SCN11A	3.57743943149258
GFI1	3.66649589138371
FHL1	4.21080093131944
SMC6	4.79794752822662
GATA1	3.74333848626132
OSGEP	5.20536625683217
ARMC6	5.01203232551808
HK3	3.67228774928977
PSMD5	6.73188661588142
RSU1	8.26998970363085
RPL4	11.5107162467909
MAD2L1	8.57971426005238
RBPMS	4.30094543139918
EIF4A3	9.1265866411482
E4F1	4.4053395086188
DLEC1	3.64158169520256
PRPF3	5.78716984243776
EMR1	3.15231563805581
CHMP2B	7.76685986082409
CAMSAP1	4.0197759885011
RPS21	10.1396506451779
XCR1	3.49004120337291
ARID5A	4.47265254312405
RBM6	5.03976330124648
UBE2N	7.95523812680469
KLF4	3.9967113860278
MGC4172	4.08079833910799
LMO4	6.56889572001991
KLKB1	3.47367070053238
HDAC3	6.7553076391862
HP	4.33285647803482
SCHIP1	5.15514294951628
BTK	4.07063198319346
KRCC1	9.95933075353802
PRND	3.0196736911985
C6orf27	3.57612700751892
PIGL	4.52004599884771
CLCA1	3.89380671766257
C1orf112	5.5133888270572
OLFML2A	3.50629329364031
HUS1	4.89562714383254
SFRS6	7.16882894105101
CXCR7	3.9312880280324
UIMC1	5.9711503219874
FXYD2	3.66106141203765
GOT2	8.02312911955073
ZNF667	3.13011866952928
TFEC	5.00109270781193
ATP7B	3.53704441304617
RAB38	7.11087721407375
POLD2	7.2324065806351
PPM1H	4.72155598055265
DCX	3.37477152795479
NFYC	5.33322306242414
ZNF228	3.58642601843906
KIN	6.40752697833395
PLSCR4	6.35121316471428
HIST1H4I	4.20319339410807
PPARGC1A	3.12006333885219
HIG2	8.28717718695581
KCNK10	4.23940507178644
EXOC1	8.34482238144392
OR6A2	4.55174463302942
ETFA	9.45193235451408
PDAP1	4.40647894308323
C19orf6	3.54230961116336
POLRMT	4.19862099107604
ZNF146	5.83661836251237
MIA2	3.26915764795875
LY6G6E	3.26793994461884
EIF4E2	8.96537670801255
NENF	5.93429646939352
HOXB5	4.56139656763978
ZNF324	3.86255100231911
CUGBP1	3.81398164944011
ENTPD7	4.07993508047630
TTC13	5.27655069948305
GJB5	3.42611525803674
PRSS22	4.02000362910287
CYP3A5	4.79634752125505
MBOAT5	4.13844930586796
CUL4B	5.21622912631535
CENPJ	3.38012598075083
KIAA0664	6.07672802847112
PITX1	3.55126293084358
PDGFRB	4.95044545684218
RDX	6.07694555402789
CELSR3	3.88997224593446
JUND	5.54259324855929
ITSN1	4.41075915573283
CHRNB1	5.26149841399375
EHBP1L1	3.80765227398439
C19orf2	6.97174490897159
FETUB	3.26457947290776
CAMK2B	3.20040639996252
DCTN1	4.36710422522166
TNKS2	5.91632405244926
MRTO4	7.70252190372938
C1QBP	8.25608009208538
TTC3	7.38763307731277
NDUFB8	9.6085782373851
CADPS2	6.1904622144236
EDG2	4.40950889927343
MYF5	2.97148417691777
SEMA3G	4.07529894759586
IL23A	3.62192241285869
GJA9	3.85932140992713
R3HDM2	5.29094369181523
C5	4.22535896912014
SLC2A10	6.48795641395648
TRIM45	5.53679299487005
TSP50	4.09395973694236
PAQR3	4.7822680962586
ANKRD26	3.53653916149857
TCP1	9.05680753160747
TMED7	6.92802465804753
CMA1	3.15516395427533
PTCRA	4.40643223072252
HCRTR1	3.75647162424882
FST	4.54847940511364
PAWR	3.73351552461186
LDLR	4.41705052700153
ASTN2	3.91198877384822
SCRN1	4.44097533663698
GPATCH8	4.55529686588158
KIF4A	4.76288159022938
TANC2	3.23124198559719
ZMYM5	3.75046503156375
PGM1	9.83918081283428
ZNF586	5.12594722066529
POLR3G	3.61858960540763
CPD	6.77592690286374
SNCAIP	4.57213813687236
DCT	3.45709626888657
HLA-DOA	3.75947262916419
TANK	7.34010409018315
RCAN1	4.99600490597554
UPK1B	3.43881202644822
DNAJB4	4.93148254606777
UGT1A8	3.31411174219364
LIMD2	3.65018555591526
HIST1H4L	3.74475665892219
PECR	6.76424707395435
HSPA2	4.63704304291153
SERP1	9.84027831395632
TACR2	4.25077432863992
NUP85	5.71052248579783
CD177	3.92527897535935
GPR135	3.33294468524694
PIGG	6.25400252866423
LGR5	3.33141230816987
JAK2	4.01560118974702
DPYSL4	3.30454796120832
TM9SF4	4.34784165848887
PTHR1	3.50467705010405
SIRPG	3.09195571355873
ZNF264	3.92813339336851
BICD1	4.98252276845057
RAB5A	6.35050922512021
FLJ13224	3.38265159712721
METTL5	10.5568608041815
HERC6	6.25354701338988
CASP1	7.78898978968807
USP9Y	2.78523134057285
LRP1B	2.91416119015628
XAF1	6.3638083197774
PLA2G4C	3.83598965933508
APOA2	3.28414194415268
SPAG6	3.25937375836337
KALRN	3.29659684924189
SECTM1	5.79831565673954
THOC7	10.2957252214328
IFNAR1	5.45405211560282
TCTA	6.78062266405231
NY-REN-7	5.65873056581589
TALDO1	8.55416315011226
B2M	12.0208602671214
LPPR4	3.19429907550943
SQLE	4.71200718220167
SEPHS1	8.00250567382653
EIF5A	7.77831209119796
FAM49A	3.74767732788925
YTHDC2	3.94223008791273
EHD2	4.52504616531871
NCF1	3.62563014862359
SPG7	4.9051843446493
ZNF614	4.03590606791485
HOXA5	3.41633289280445
NUP133	8.32735870421218
FGF12	4.13015921371846
SLMO2	8.62745128173263
INPP5B	4.65338862457897
PPID	7.56201131926649
SNTA1	4.31105132655168
IL20RA	8.81942172348728
UBE2J1	4.85743813948345
CACNG2	3.18689329804876
GCM1	3.34252287896456
ELF1	5.30781004691567
TLR5	4.39810524893137
TCFL5	6.16136119258449
C1orf107	5.14701839754808
C19orf22	5.81087479489395
SAFB2	5.15106610292654
MAP3K7IP1	3.79256363632507
NCK2	6.36201697271278
OXA1L	6.9563438064916
KIAA0652	5.33684920538942
KLRG1	3.69657759094526
FRAG1	5.5240697389303
ZSCAN12	3.14860148314925
PSMD12	5.8046415323333
E2F4	5.06624541411938
CLEC4M	3.8914607365145
KIAA0999	4.21732217110661
CLDN10	3.95739000797797
MGC13053	4.09694319519774
TAC1	2.80447108660401
GYPA	3.45172840579087
HPCAL4	3.17984896837183
TRAIP	4.11277275730602
MEX3D	4.2057098891387
KIAA0232	4.66357145900062
ERCC8	5.62533004487333
NFAT5	4.19721504301322
GPX4	10.3346467379915
