Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B03
Composite Element REF	Signal
GUCA2A	3.04888194540563
DPP6	3.05390185876854
GALNT10	5.02044184637965
STK39	6.29391515392913
MMP24	4.51142524458
CKS2	9.24240016964244
RHO	3.63985746374729
BANF1	9.64619413898042
CR1	3.03044201411037
RPS6KA2	6.02980771155131
HMBS	5.54775862445195
C20orf112	3.67759416570623
SLC25A24	6.86896164690202
MRPL22	7.30373922791993
SLC25A15	5.14882208925398
GADD45B	4.74059594480372
TDP1	5.41976747210128
ZNF287	3.89320004631491
DAAM2	5.49342109260299
C11orf57	6.51831506124084
RFK	5.6727425645009
ZFYVE9	4.48804323306289
TCTN3	7.14696962620898
STCH	6.21326518758193
LOC283871	3.62783798210535
NDUFB3	8.27793181113247
DEFB4	3.69273116583429
FPR1	3.51815042763419
FMNL1	4.12111278334487
SEPT7	9.838102005614
PTCD2	4.60687450007363
GNLY	3.35499116824983
GRAMD1C	4.07142619076319
ZNF165	3.7257463063547
TR2IT1	3.85379173127689
ARMCX3	7.28638502505657
NDE1	5.42343897789047
MAGEF1	7.19124299622665
ITGA10	3.80561606358849
ARHGDIB	7.62064806561386
FSHB	3.82470406692418
ANXA2	11.4850031717029
HLCS	4.25220054201881
MCF2L	5.69355703831197
AK1	5.51854162688553
FH	5.86873496788206
LGALS2	3.59217938599877
SYNPO2L	2.73063058655657
KIAA1045	3.16500694400387
C1orf183	4.90945686124333
MAGEA8	3.08286402767108
DGCR8	5.17607207625359
GSR	5.39222648203853
NEU2	3.59623378303124
HIST1H4B	3.59292940072706
CACNA1C	3.25233078419514
FAM20B	6.26096517520219
HES2	3.23436224955042
PDCD6	9.8499628187207
INTS7	5.21540620665461
AMPH	4.53637920338167
UCKL1	6.84190827353418
ASB4	2.99517953714278
C10orf97	5.08010071262253
ALDH1L1	4.17538508034220
CCL23	3.30301521795791
OBSL1	5.850645452722
SLC12A7	8.15276202521239
THAP4	5.3637174352373
RBM4B	5.74534616982909
OGFRL1	3.22638852502557
KIAA0831	6.5899685899989
C12orf11	7.95185864899916
PPP1R15A	5.20184273767136
KIAA0240	5.95639450379559
CD1B	3.182707741021
FCGR2A	3.49019658718489
MDC1	4.97440391111362
MAN1A1	3.53555684072353
KRT9	3.53391082656935
HTR1A	3.25598043275971
OCEL1	6.58719940649654
ATP11B	6.20052269463383
NLGN4X	6.52097217644288
FBXO34	7.19415401675783
ALOX12	3.56719528282488
RB1CC1	7.72637315712118
PCDH12	4.40063335595254
RPE	5.28772238257609
EIF4E	5.93397505035011
CSDC2	3.8590000059905
ABHD5	4.37740754853597
TMBIM1	7.36061765389831
PET112L	4.47034596211515
P2RXL1	3.18857103839293
F2RL2	2.95806023070649
TRMT1	5.21878477959994
IMPG2	4.13283794714355
LRRC32	5.29580662179864
BGLAP	4.19302130542389
