Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
ASAH1	6.39604485625266
FKBP4	8.04062785318699
ZNF350	4.41194007975143
DOM3Z	5.76502643797678
GIPR	3.62818886139146
AHI1	5.04546155943289
BST1	8.27338186577401
NCR2	3.64331565024239
NADSYN1	5.20554434733352
UBE2W	5.46368525821126
RGS14	3.72070309497197
KRT15	3.66577818537725
SCN11A	4.04850500042762
GFI1	3.42040629764127
FHL1	7.7762148360482
SMC6	7.07636987147144
GATA1	3.56371124162363
OSGEP	4.9183878614559
ARMC6	4.71742656333716
HK3	3.2634835545947
PSMD5	6.68741818849556
RSU1	7.05684837056749
RPL4	12.1040016787160
MAD2L1	8.0581014157706
RBPMS	4.64602247954238
EIF4A3	8.80373856111022
E4F1	4.98079992705135
DLEC1	3.58216748467671
PRPF3	5.79157627095913
EMR1	2.82072910458579
CHMP2B	7.2055544891795
CAMSAP1	4.51705695675338
RPS21	9.63085800106763
XCR1	3.36977730560382
ARID5A	4.79580058228304
RBM6	5.97056839115851
UBE2N	8.36920620341222
KLF4	3.7946143733512
MGC4172	4.56318602915286
LMO4	8.24123794262168
KLKB1	3.23520452939705
HDAC3	6.78262145174259
HP	3.80265430825645
SCHIP1	6.34529397216317
BTK	3.7514326068342
KRCC1	9.48622863312712
PRND	2.98726670143814
C6orf27	3.42070260636373
PIGL	4.26544150094161
CLCA1	3.910025068875
C1orf112	5.34536219991528
OLFML2A	4.75126117216884
HUS1	5.19012472925769
SFRS6	8.09495168815335
CXCR7	7.10569163057524
UIMC1	5.921982726079
FXYD2	3.45327942693419
GOT2	9.079742741098
ZNF667	4.20733566321614
TFEC	3.51783804046472
ATP7B	4.63275152783519
RAB38	5.37953648741524
POLD2	7.91748052798043
PPM1H	6.65946071412202
DCX	3.22955787056794
NFYC	6.50450588226484
ZNF228	3.48766550734525
KIN	5.81633380198014
PLSCR4	5.68743645033441
HIST1H4I	4.18562301244355
PPARGC1A	2.92383196844309
HIG2	7.8281385184693
KCNK10	4.05411970573943
EXOC1	8.92266170405318
OR6A2	3.80961467408333
ETFA	8.54655067435455
PDAP1	5.22141631077533
C19orf6	3.4400911587824
POLRMT	4.46492347166886
ZNF146	8.31162997959312
MIA2	3.27708530622293
LY6G6E	3.36289975156581
EIF4E2	8.10814315325902
NENF	5.19222447606040
HOXB5	4.31923246738374
ZNF324	4.15571738126291
CUGBP1	4.85233424146825
ENTPD7	4.7205846422406
TTC13	6.41879223576607
GJB5	3.21845976864113
PRSS22	4.01536060181806
CYP3A5	3.22831654218967
MBOAT5	4.32656924384889
CUL4B	5.57038500051312
CENPJ	3.63227449562651
KIAA0664	6.18154719940049
PITX1	3.4236299116676
PDGFRB	4.51459331185761
RDX	6.62064739449058
CELSR3	4.40969145766936
JUND	6.51887762773805
ITSN1	4.88337193172842
CHRNB1	3.58528796983634
EHBP1L1	3.48353362895134
C19orf2	9.87480156897708
FETUB	3.08383880712197
CAMK2B	3.05814469595942
DCTN1	7.13313107805074
TNKS2	6.36975827250598
MRTO4	7.68404379335478
C1QBP	6.53774154032539
TTC3	7.22939739005257
NDUFB8	8.50039685608286
CADPS2	4.16511032886161
EDG2	4.61111397569283
MYF5	2.94690511466209
SEMA3G	4.70150371309053
IL23A	3.87921602612808
GJA9	3.77786118778583
R3HDM2	8.47739476173288
C5	4.20860484193528
SLC2A10	6.67965168939518
TRIM45	5.35541253204584
TSP50	3.44629556131233
PAQR3	6.49539650640526
ANKRD26	3.57353070043089
TCP1	9.4228011092235
TMED7	7.8364708195873
CMA1	2.95290526384305
PTCRA	4.03529296037524
HCRTR1	3.55060072390191
FST	4.62031112246071
PAWR	4.46324583777766
LDLR	4.02928688991513
ASTN2	4.16998462086271
SCRN1	7.44931869888391
GPATCH8	6.26564365874898
KIF4A	6.33698618637502
TANC2	3.09566808474423
ZMYM5	3.65413284672538
PGM1	7.94570672750038
ZNF586	5.48391809466603
POLR3G	3.77179662221628
CPD	7.16456970059745
SNCAIP	4.04322458033748
DCT	3.44553082984688
HLA-DOA	3.67252914831376
TANK	6.32893153792608
RCAN1	3.85679423012198
UPK1B	5.22325198020117
DNAJB4	5.7310097690272
UGT1A8	3.25101424840065
LIMD2	3.45251914351931
HIST1H4L	3.64884325726492
PECR	4.70076544296763
HSPA2	5.58484107585991
SERP1	10.1019902532516
TACR2	3.50218996951092
NUP85	6.96141003813839
CD177	3.22212891985314
GPR135	3.12726293977513
PIGG	7.43518864304095
LGR5	5.61384756731738
JAK2	3.40837716923415
DPYSL4	3.28500323450378
TM9SF4	7.24230842978011
PTHR1	4.73700064380469
SIRPG	2.81600277372076
ZNF264	4.70027153576486
BICD1	6.11286309549801
RAB5A	7.13569629302415
FLJ13224	3.19945982882534
METTL5	9.5595856301186
HERC6	5.87496034180728
CASP1	6.38939147332918
USP9Y	3.01274540713793
LRP1B	3.56943763356847
XAF1	5.40140727963486
PLA2G4C	3.35342362053530
APOA2	3.04580231375126
SPAG6	3.09898719689052
KALRN	3.73684389410953
SECTM1	4.61832601341475
THOC7	9.50929333853584
IFNAR1	5.77655642481781
TCTA	5.83830190260228
NY-REN-7	3.28647386358043
TALDO1	9.73458724736134
B2M	11.5285291076898
LPPR4	2.97897494929079
SQLE	7.01048269041415
SEPHS1	7.43937995102972
EIF5A	6.4848779507029
FAM49A	4.05921736536636
YTHDC2	4.58578170809515
EHD2	4.11164926019572
NCF1	3.38131269574290
SPG7	7.17057090010877
ZNF614	3.64398001196955
HOXA5	3.26258566197882
NUP133	8.8643098133327
FGF12	3.53744178014328
SLMO2	8.33793244318553
INPP5B	4.47147267340562
PPID	7.95701646433281
SNTA1	4.17443855492464
IL20RA	4.55343149321433
UBE2J1	5.56308266325661
CACNG2	3.09452554519982
GCM1	3.40630973334876
ELF1	7.06842109402381
TLR5	3.77169266705684
TCFL5	6.38542008292682
C1orf107	6.83434990883343
C19orf22	6.73661209211657
SAFB2	6.35174601542709
MAP3K7IP1	3.90483092942341
NCK2	7.85137447265387
OXA1L	7.71373072270446
KIAA0652	6.74888647523258
KLRG1	3.94788864216651
FRAG1	6.94824708660432
ZSCAN12	3.24701539125515
PSMD12	6.94868644063047
E2F4	5.66410587459317
CLEC4M	3.4815741653953
KIAA0999	4.93515623507065
CLDN10	9.25496371598338
MGC13053	4.15066520498887
TAC1	3.21149176929447
GYPA	3.40216829472565
HPCAL4	3.11641662471149
TRAIP	4.67293415901538
MEX3D	4.32971532797519
KIAA0232	7.27542419719762
ERCC8	3.97904466330654
NFAT5	4.92987213513633
GPX4	8.8764182090442
CSPG4LYP1	2.94104223165403
KIAA0368	6.04818135108614
FBXO3	5.34003602091565
DVL1	7.52519304433967
CMKLR1	3.42111805565041
GPR157	3.69359340667877
TYMS	8.44292375922193
OR52A1	3.38922589399433
PEF1	7.38014012034569
ZNF750	3.0149601568548
ALG9	6.26499044242956
MCM5	5.91589605998825
SDK2	3.44466915337789
BAIAP3	3.87217595590002
RABGGTB	6.97981234166335
KCNK7	3.19325447723060
PTP4A3	7.90799590587762
ANKRD40	4.58061500002817
CALCOCO2	6.69953496451216
TMSL8	4.57533057689249
SNCA	4.72419157286707
ZNF551	3.88272606503939
HBQ1	3.22494744126641
ARHGAP26	5.16205904762620
GEMIN6	7.15105696468575
HRAS	5.66869588054039
KLRC4	2.81861825719956
BSDC1	6.54181045343447
DSC1	3.67900463091521
RNF43	4.95489206206886
NDUFAF1	6.0391071404292
MAP2K4	5.43024643692186
FOLR2	4.33500182392278
LYZL6	3.64628578488797
EPB41L3	3.05920597574621
TEKT2	4.74084666111613
CDKN2B	3.34406979174975
WSB1	6.24309784139531
ZNF480	3.5432718862168
MAP3K6	4.08137875963902
PROS1	5.9423162782209
PSMB8	7.04480465128098
HN1	7.00197867874446
MAS1	3.47968098278482
APOL1	5.84096583269234
CSHL1	3.35055184885641
ZBTB7C	2.99441723224406
AHCTF1	6.8789594377574
SAE2	9.09467485450514
ITGA2	3.36239013609210
AP2S1	8.2448996159794
P15RS	4.38968489993282
MME	3.57485322325267
VAT1	7.24275704182539
MAST4	5.88305602844573
TUFM	10.2045348770247
KRT33B	3.54449390362667
THEG	3.66932508454258
KCTD2	5.31728438987894
WDR26	9.20233250982932
MFI2	3.28406299034452
KRT34	3.32209937943931
NR4A3	3.45263589460933
SGSM3	4.44030639199533
ARSA	3.79139870990481
TOMM22	6.02652563756416
SOCS3	3.43943727653619
UNKL	4.33238421829478
POP4	10.5256758829072
BHLHB3	8.15363583238845
MALL	3.47243402510853
SOX15	3.38176076224315
CCNA2	6.20180909337094
PARK2	3.42401080612094
GPR124	3.76152465335089
TMEM132A	4.34983355165566
CGRRF1	6.02458289923401
RUVBL2	8.3053025185979
MCAT	6.76507228171619
WNT10B	3.66032793847123
ISCA1	7.5710548607209
RPAP1	4.24068333324864
C12orf48	5.11652339212865
RAI16	5.12311937648594
RPL27	9.40210621530696
EPN1	3.48953036370492
MAGI1	3.08148571362790
GBX2	3.19733579511546
SLC35A1	7.01694087424147
GAL	4.0764740984593
SLC14A2	3.82636557707181
RDH11	6.40474204282739
ZNF518	5.19798843152174
PCYT1B	3.25732223150554
AUH	6.1839701489313
EIF3H	11.874386407525
KIF1B	8.34376544766147
MBD2	4.70523265666683
AMOTL2	7.15818822552857
C6orf120	6.1233251244093
PIGT	8.38731135747043
PSRC1	6.37772023312324
PLA2G10	3.61677664737638
ALAS1	7.89251539469967
