Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
ARID5A	4.55706643477157
RBM6	5.53136206446146
UBE2N	6.29208989019769
KLF4	3.72764743710058
MGC4172	3.48885758223888
LMO4	7.50977959429831
KLKB1	3.2126682549826
HDAC3	6.50888910808069
HP	5.15893367617474
SCHIP1	4.26628971565751
BTK	5.09379923383833
KRCC1	7.81982747838247
PRND	3.3020358677138
C6orf27	3.80384476440707
PIGL	3.89257866820769
CLCA1	3.85317741907946
C1orf112	4.83780143462493
OLFML2A	4.70534256728001
HUS1	4.50880861100606
SFRS6	6.47222415220403
CXCR7	8.0944181038095
UIMC1	6.20216209515647
FXYD2	3.79546986194544
GOT2	7.16050113205452
ZNF667	4.67195466671349
TFEC	5.55675219040979
ATP7B	4.27082740922753
RAB38	4.50946563075304
POLD2	7.24912097753568
PPM1H	3.77756686119638
DCX	3.47817921469592
NFYC	5.62147241666799
ZNF228	4.61039070617722
KIN	7.12854127641993
PLSCR4	5.5805408223924
HIST1H4I	3.80138214812586
PPARGC1A	3.16679580650553
HIG2	6.60329604389796
KCNK10	4.18330674627374
EXOC1	6.9830742316231
OR6A2	3.79732034613897
ETFA	8.70499107704432
PDAP1	5.1295460576267
C19orf6	3.63721964421673
POLRMT	4.27819675618852
ZNF146	8.34510890167698
MIA2	3.31236726995978
LY6G6E	3.22745495293334
EIF4E2	7.28620352363909
NENF	4.64476815249167
HOXB5	4.02374369529197
ZNF324	5.27323970643942
CUGBP1	4.08606072409197
ENTPD7	3.80466644270303
TTC13	5.25231923325777
GJB5	3.42475820025332
PRSS22	4.55091044121178
CYP3A5	3.91682689071552
MBOAT5	4.9998950867684
CUL4B	5.60974134685257
CENPJ	3.78632746563744
KIAA0664	5.87385626048286
PITX1	4.76781458728283
PDGFRB	5.36797137083469
RDX	6.04295299821824
CELSR3	3.90892635045555
JUND	6.23081190811768
ITSN1	4.73494679145068
CHRNB1	4.09262634249978
EHBP1L1	4.90743111607034
C19orf2	8.2883475045646
FETUB	3.24421109169565
CAMK2B	3.22185347446782
DCTN1	5.4005941407575
TNKS2	6.50682958175852
MRTO4	7.70902594960447
C1QBP	6.09707826578398
TTC3	7.95683581415531
NDUFB8	8.20454636920688
CADPS2	3.49710603781367
EDG2	4.0153059790266
MYF5	3.26881781096124
SEMA3G	3.75272159651274
IL23A	3.90041301328422
GJA9	4.32449399427786
R3HDM2	6.32511052646319
C5	4.14923094357458
SLC2A10	4.95060288274212
TRIM45	4.60759727667919
TSP50	3.73418439781206
PAQR3	4.88415225570926
ANKRD26	3.98330556235139
TCP1	8.36848368156227
TMED7	7.19651943413271
CMA1	3.29038579036066
PTCRA	4.52285482940865
HCRTR1	3.77127808143354
FST	4.39471336169521
PAWR	3.94262027498693
LDLR	4.47451597591265
ASTN2	4.18578374935348
SCRN1	5.64506918927905
GPATCH8	6.02494028367298
KIF4A	6.11151713889494
TANC2	4.01100351664341
ZMYM5	3.6975344685597
PGM1	6.64828768485269
ZNF586	5.13358171533937
POLR3G	3.93269658624859
CPD	5.2857335164215
SNCAIP	6.21517318048025
DCT	3.56873501946351
HLA-DOA	4.14745912869526
TANK	7.30919640994246
RCAN1	4.19966036449856
UPK1B	3.34403483473979
DNAJB4	5.14347056575869
UGT1A8	3.13489801171094
LIMD2	4.29682758907147
HIST1H4L	3.72690465954881
PECR	4.97416116837964
HSPA2	4.92993505511135
SERP1	9.24920244569133
TACR2	3.8641627134886
NUP85	6.77809638519559
CD177	3.76361691777897
GPR135	3.37818635416679
PIGG	5.9547590609983
LGR5	3.59671889992818
JAK2	4.29402260727855
DPYSL4	3.43657913572644
TM9SF4	6.02521088347041
PTHR1	3.63614687562592
SIRPG	4.08296242830451
ZNF264	5.08552027478942
BICD1	6.621245129777
RAB5A	7.23680486493814
FLJ13224	3.67658953476568
METTL5	10.2300604668688
