Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_A11
Composite Element REF	Signal
NDUFS4	9.04223582245014
ID1	6.55247198597746
PIK3CB	4.14721237932443
COL18A1	8.73145556179336
PDZD3	3.15568665804248
TBC1D17	5.08378671650328
COX8A	9.76375123643825
CDCA4	7.32065389764428
C2orf44	4.83345125635482
C9orf16	7.7925168706555
ERBB2IP	8.20435487064118
EMX2	8.45622580503389
FUS	6.68335543598213
NIPSNAP3B	3.61966039363701
TF	3.22077020462098
CXorf56	5.08474514241124
CLCN4	3.49959264558469
PWP2	5.84905646555999
MMP15	4.42736847701437
MTMR14	6.16210024111716
NPR1	7.08972169286225
DNAL4	5.39731414287486
ELAC2	4.98643319191402
ASS1	11.2476284136629
IPP	4.87968186423457
TMEM59	9.30112801900682
POLR2J	8.14348099779109
SEC23IP	6.2799883964161
RGS4	5.03771685430747
UQCRC1	9.4984976734811
SNX6	8.62919028415854
DDX18	7.65725770935492
POLG	4.8648599112808
ADAM23	3.75378170139796
ZNHIT2	4.54547074926539
TFR2	3.51059444512502
NCDN	4.06917750432661
RAG1	3.38514422391233
POMT1	5.25531187483255
CYP1A1	3.50118931815938
SNAPC1	7.16052236669311
GNA11	6.16342103702828
CCDC52	2.94963758909275
CAPN1	6.70205375848682
DDHD2	7.78420448936341
UPF3A	6.99559318625498
LAGE3	5.69548914049165
GNRHR	3.10596076538034
UNC13B	5.5269950087256
TTLL4	4.85224278983553
PPBP	3.0093446173791
HTR3A	3.07983240503099
SDC2	8.24934352087006
ANKRD49	7.26430456901714
BTF3	11.0868492385488
COX7A2	10.6457205423592
SARS	8.09562124810613
C13orf18	7.7413463170411
CACNB1	3.81458051021106
QKI	6.96836032532326
SETMAR	6.42972687159006
LAMB4	3.40285905709385
MAN2B1	7.18395016499463
EML3	4.7723418611842
ACADL	3.28972469034862
OFD1	7.70753259865913
CGA	3.59444603058049
EIF3EIP	10.8130124609516
PEX16	5.51762770250336
GNG12	8.17267074612369
HABP4	5.2628178920942
CNTN2	3.31131386282587
ASNSD1	8.01712494537139
FUT4	4.31244510538833
DBH	3.46801144199533
CD53	8.12873791569945
HIST1H2BJ	3.62002277893662
TFAP2B	3.13991726555656
ACF	3.57989859514595
TMEM11	6.64355952359838
CDH8	3.33377460663916
C3orf32	3.82003771665159
AGPS	5.56315262229142
C4orf18	3.56099198900948
PCCB	7.16304997818765
IPO13	4.21630773596756
PECI	7.54608030897665
UNG	7.72444869502517
C6orf105	3.25342467193277
GSTP1	9.07439025010072
SUV420H1	8.17573851603886
ARHGAP15	4.16708977773225
LTBR	6.82079336667238
TDRKH	3.31523028870803
PSG4	3.20343911735699
SLC9A3R1	7.1857885878163
NBPF3	8.84578385712315
SLC9A3	3.54980863471865
OSBP	6.87325156123839
PRR5	4.97245284863342
CHMP7	6.25180411182324
ADRA1A	2.99407215103525
ASAH1	7.40611350825418
FKBP4	6.82829146837467
ZNF350	5.60912991802561
DOM3Z	5.42684633878085
GIPR	3.40235308556962
AHI1	5.7807909454792
BST1	4.56404340118834
NCR2	3.38252732760254
NADSYN1	5.41522481921993
UBE2W	6.12104003973672
RGS14	3.80173312266407
KRT15	4.94124072345832
SCN11A	3.68252284393494
GFI1	3.64553486413100
FHL1	5.17816880041666
SMC6	6.73130556370898
GATA1	3.43370882764353
OSGEP	6.12256135664832
ARMC6	4.98236399987633
HK3	3.74521033175515
PSMD5	7.59509160726492
RSU1	8.04238847132544
RPL4	12.2331711402816
MAD2L1	6.81431353293252
RBPMS	6.57340507338511
EIF4A3	9.08724560069049
E4F1	4.87973401976416
DLEC1	3.95983606771464
PRPF3	6.74758370724554
EMR1	3.00493759001549
