Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
NDUFB8	9.29245040941894
CADPS2	4.14828928803627
EDG2	3.88697762983147
MYF5	3.0568614321771
SEMA3G	3.88243353013023
IL23A	3.76525736226593
GJA9	3.29729441632534
R3HDM2	6.91543092081723
C5	4.31302721447445
SLC2A10	8.10400551921515
TRIM45	5.40219744640305
TSP50	5.43622518753605
PAQR3	4.6302934579887
ANKRD26	3.95700618763674
TCP1	9.28072730818818
TMED7	6.29967603228828
CMA1	2.82170528761385
PTCRA	4.04181921259146
HCRTR1	3.63268475282071
FST	4.77621132134009
PAWR	3.84616188902988
LDLR	4.02452879359001
ASTN2	4.68060794526432
SCRN1	7.89057396767971
GPATCH8	6.2506568112121
KIF4A	7.23957449415339
TANC2	3.96543122850066
ZMYM5	3.57959837693489
PGM1	9.62570705966858
ZNF586	5.85971278133329
POLR3G	3.45627582142519
CPD	5.63594103586286
SNCAIP	4.18316890923053
DCT	3.42967209569320
HLA-DOA	3.32404454244535
TANK	5.16084792535316
RCAN1	4.32273233672787
UPK1B	7.57131449987758
DNAJB4	4.54060661474915
UGT1A8	2.99991039425625
LIMD2	3.78850298228444
HIST1H4L	3.60154604336447
PECR	4.26939624248369
HSPA2	7.45883800003405
SERP1	9.10960480112396
TACR2	3.36673708097558
NUP85	7.47424215448356
CD177	3.29684676905859
GPR135	3.51373518481399
PIGG	6.79737803967655
LGR5	7.84906362622505
JAK2	3.43748451740437
DPYSL4	3.47541963865166
TM9SF4	6.90781973645366
PTHR1	3.39980048799908
SIRPG	2.95351984946268
ZNF264	5.56745039496995
BICD1	4.47735399606412
RAB5A	6.8663337704754
FLJ13224	3.37510944937959
METTL5	9.16170839421584
HERC6	5.69070660906554
CASP1	4.70237203767939
USP9Y	2.78005520775225
LRP1B	2.86661543982747
XAF1	6.03508517627218
PLA2G4C	4.03446214811552
APOA2	3.13064816861804
SPAG6	2.95626421167551
KALRN	3.55779122711594
SECTM1	5.16269741459798
THOC7	7.5867526462609
IFNAR1	3.85215352364077
TCTA	6.42692258632682
NY-REN-7	3.08700403999183
TALDO1	9.6760110706447
B2M	11.5448334640130
LPPR4	3.6447431824251
SQLE	5.96445527320827
SEPHS1	8.00349114790849
EIF5A	6.5174299496453
FAM49A	4.35131292912573
YTHDC2	3.7187864107213
EHD2	4.49861843133393
NCF1	3.27890199904751
SPG7	5.74514938513954
ZNF614	3.55524958211034
HOXA5	6.22711264156842
NUP133	7.61117702779025
FGF12	3.87547770931837
SLMO2	7.61232521976823
INPP5B	4.40531639389174
PPID	6.52771180059926
SNTA1	4.33933394565933
IL20RA	3.54011443698879
UBE2J1	5.65338698441764
CACNG2	3.10580878390286
GCM1	3.20594936915925
ELF1	5.92846524302355
TLR5	3.81780605007162
TCFL5	6.53908827060681
C1orf107	5.4336589140484
C19orf22	5.96205765001653
SAFB2	5.84383912608458
MAP3K7IP1	3.92524347446262
NCK2	7.35047037707387
OXA1L	8.54820162727903
KIAA0652	5.40348525846442
KLRG1	3.82548144274698
FRAG1	7.29305594073263
ZSCAN12	3.13738832204402
PSMD12	7.36542590835228
E2F4	5.80517558336581
CLEC4M	4.38864917240551
KIAA0999	5.83969502509226
CLDN10	8.35723934822929
MGC13053	4.16406309965247
TAC1	2.79995546626185
GYPA	3.29406651215341
HPCAL4	3.83401642878065
TRAIP	3.67038449515758
MEX3D	3.88923378482904
KIAA0232	6.01425991948497
ERCC8	4.8660115661315
NFAT5	5.46670954739227
GPX4	8.75758411434838
CSPG4LYP1	3.17789623434205
KIAA0368	5.43260204676883
FBXO3	5.13590698564783
DVL1	5.82245199297657
CMKLR1	3.55586871293834
GPR157	3.38572195313255
TYMS	8.0609167121753
OR52A1	3.42983603413311
PEF1	6.78490038417085
ZNF750	5.98315775508148
ALG9	6.71782502149593
MCM5	5.63574335778061
SDK2	3.77270550782305
BAIAP3	3.89678295769006
RABGGTB	5.78634222392537
KCNK7	3.35427682743501
PTP4A3	5.53268717902803
ANKRD40	4.3628819648713
CALCOCO2	7.72073586343752
TMSL8	7.57971092293288
SNCA	3.931820027188
ZNF551	4.49342329158797
HBQ1	3.33770559956014
ARHGAP26	3.90718197358567
GEMIN6	6.7209581266944
HRAS	5.84554451009227
KLRC4	2.80908295118008
BSDC1	5.00287251634083
DSC1	3.72833699481448
RNF43	5.6410879445214
NDUFAF1	6.70812077628818
MAP2K4	5.40072350777414
FOLR2	4.89229915066662
LYZL6	3.49280255611256
EPB41L3	3.35470875605233
TEKT2	7.61100306487049
CDKN2B	3.55687424880512
WSB1	5.99614838519723
ZNF480	3.33218040781178
MAP3K6	4.18883193883987
PROS1	5.43819399434147
PSMB8	7.24087647385383
HN1	8.8842823307974
MAS1	3.40604186387029
APOL1	4.72567028387161
CSHL1	3.00480938082115
ZBTB7C	3.2904492119033
AHCTF1	5.30801496758131
SAE2	9.52549440426604
ITGA2	3.67232692407183
AP2S1	9.07455096711285
P15RS	5.74913370858816
MME	4.25771009993797
VAT1	6.93333127688944
MAST4	4.49630084374368
TUFM	8.51644077855529
KRT33B	3.01260101184616
THEG	3.73678445066669
KCTD2	5.56546924762751
WDR26	8.79952026969281
MFI2	3.38851727290664
KRT34	3.15518078875116
NR4A3	3.59253972914689
SGSM3	4.28166548371589
ARSA	3.46600175734786
TOMM22	6.07402105583308
SOCS3	3.53193193795191
UNKL	3.81025389532230
POP4	8.89490812796686
