Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C03_543702
Composite Element REF	Signal
GTPBP1	4.37382789969715
GRK5	3.90297610118377
AP1S2	5.57434025281562
RAB33B	3.62559748805553
CA11	3.85925372195267
ALDOC	5.99218418334875
NUDT1	5.3413879731758
ZNF212	5.53737222213905
ACBD3	7.19243384628636
ZNF83	7.88183372272687
PRDM2	5.20020851283668
GDPD5	4.24052597804332
PDCD4	6.66797580460886
CEP350	6.13402766689384
FOXP3	3.17084347854998
SMYD3	5.89207749932418
CST7	4.23725606675738
SELL	3.77815605605208
CIAO1	6.37432327534577
LGI2	3.41493937983999
WDR45	7.29480455924971
ANKRD6	7.49808675326147
LTBP4	4.54917937499893
PSCD3	3.12092316786879
PYY	3.12911444444387
KCNC1	3.26008495752027
SIRT6	3.70620700391785
CCL19	3.91263620123342
ARHGEF9	4.10390550288183
ABR	4.70327036678068
C10orf22	6.97890366126293
STK17A	4.82917911004639
FOXE1	3.24916048220700
GML	3.20843918545794
CNGA3	3.14743521650609
CD38	3.50646001222586
ZDHHC6	7.29095212616954
NEFH	4.07441181073971
PGBD5	3.73157105383481
CTDSP2	7.28600352127598
RMND5B	5.61292348851926
ZNF257	3.1279724447403
DUSP4	3.40415225732272
FLJ22167	6.94429348163647
EXOSC7	6.67375623781874
ROR2	3.49892539319093
FOXM1	5.59000926525278
ZBTB48	4.87126418180823
BUD31	8.31790318229627
MAOA	3.76108856456084
CCDC41	6.41058514249517
TNNT3	3.46023402285043
FBXO11	5.55668542804888
GYPC	6.86632150632732
PLIN	3.66746848397487
RFXAP	3.64251481715594
C6orf15	3.82943502742915
RNF4	7.94612641460679
F8A1	7.28261223974309
PPP1R3D	4.3585974145102
GRB2	7.25445559338354
TPM3	3.21443400295364
SYT13	3.62865578908866
EPB42	3.59084331208677
RP5-1077B9.4	5.26001774545592
EIF1	10.5673105415324
CETN3	7.77103925021505
FPGT	5.8655524303599
PRY	3.40916819129375
NTHL1	4.95090771865662
POLR2B	8.11456097339228
RPS28	12.4565897944969
GDF10	2.99501421686184
COQ9	7.2770195912199
P2RX3	2.90108462663327
GCC2	7.64590542730477
RARRES3	8.17405583795667
PLXNA1	5.82369221041028
WBP4	5.18567729906595
KIAA0100	6.14971161797308
PMF1	6.80190468133767
HS2ST1	5.74540013216069
CRELD2	6.65242355952031
C8G	2.87750835002327
CD82	6.65772350077746
PMM1	4.95003147556949
CBLL1	5.06032371064144
LIM2	3.23163971146088
VAX2	3.44412555626075
SETDB1	5.24924223752313
LRAP	6.69599795767351
GCLM	7.24871573896368
CPEB3	3.78698286729188
PPM1A	5.12942688554321
INTS1	3.81159008660955
MMP16	3.13174692675647
CAMTA1	3.95860802537406
SAMSN1	6.13296420933067
DRD3	2.93098235538104
GMPPA	5.38851162355522
C11orf73	6.52193189621568
AIPL1	3.72715007815526
PTP4A2	9.13153468369626
