Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D04
Composite Element REF	Signal
BRCA1	4.35669012252894
GBL	5.23580301939848
C14orf108	7.76951332453088
CDC25B	7.35978802528695
BMP3	3.14903397587371
MAP1LC3C	3.70632780242935
TMEM180	3.68631756611535
CRYGC	3.72122688384191
SLK	6.23214348662363
POU3F1	3.15953169962016
C20orf32	3.82620990085078
USP52	6.81460348946237
HIGD1B	3.85155281001236
BAZ1B	7.25308067526356
USP6NL	5.52688901692928
SLCO2B1	4.49789446327994
ABCD4	4.23125590419146
DIMT1L	5.99122097413712
SLC25A46	7.53744142465945
LARP7	6.61765477344106
TEK	3.28800145314753
CD160	3.65906758650403
TERF2IP	7.26528710941286
PHF20	6.43074157320666
COL1A1	6.42882248383917
KIAA0090	6.24855491453915
GTPBP1	4.23861990432741
GRK5	3.85404703077628
AP1S2	5.64193883689938
RAB33B	4.25595767720839
CA11	4.61149337260848
ALDOC	6.07223893712955
NUDT1	5.74977594890139
ZNF212	6.13755561791782
ACBD3	7.41419294629787
ZNF83	5.42820309631747
PRDM2	5.23294433196925
GDPD5	5.2190015606632
PDCD4	6.63006466738496
CEP350	6.50881574230961
FOXP3	3.34695664598327
SMYD3	7.24998361182145
CST7	4.17006517960159
SELL	3.77627920390234
CIAO1	6.78688199430401
LGI2	4.53235116875881
WDR45	7.79827847231013
ANKRD6	6.7078944205159
LTBP4	4.44785117022256
PSCD3	3.22490432483374
PYY	3.27513230797088
KCNC1	3.10811076174715
SIRT6	4.36883426638679
CCL19	3.8511435831048
ARHGEF9	5.06179999072681
ABR	4.86810493902058
C10orf22	7.33256232398814
STK17A	5.26580473520847
FOXE1	3.29643245260406
GML	2.98230445715608
CNGA3	2.90165034098056
CD38	3.75457509688956
ZDHHC6	7.709992797791
NEFH	9.41809850755167
PGBD5	6.2425564483671
CTDSP2	9.27518119713874
RMND5B	5.7086282105616
ZNF257	4.66594165692360
DUSP4	4.63163224993959
FLJ22167	5.81563092346971
EXOSC7	6.88521645829405
ROR2	3.68019402835366
FOXM1	5.97073592214751
ZBTB48	4.90314992024034
BUD31	7.99736393686156
MAOA	5.34267166398567
CCDC41	3.88388051374569
TNNT3	3.48238540258367
FBXO11	7.93655221749487
GYPC	5.35432727734098
PLIN	3.34357692809509
RFXAP	3.38733292164826
C6orf15	3.86631263833992
RNF4	8.61163756230184
F8A1	8.51588808591788
PPP1R3D	5.65751123106237
GRB2	6.82569920371549
TPM3	3.25592901622479
SYT13	3.96480275267563
EPB42	3.68166693308556
RP5-1077B9.4	6.45515762270313
EIF1	10.5125267279810
CETN3	6.72717885651859
FPGT	5.35986790047401
PRY	3.57758694976402
NTHL1	4.7021184559248
POLR2B	8.11611722132605
RPS28	12.1672449348471
GDF10	3.47395131704145
COQ9	7.02207449193711
P2RX3	3.04563752868068
GCC2	6.76351804477237
RARRES3	6.9915676893671
PLXNA1	5.56261754149791
WBP4	4.36744741325972
KIAA0100	7.05504771310667
PMF1	6.92793959835548
HS2ST1	5.63498150151773
CRELD2	6.151041011347
C8G	3.03503901661341
CD82	5.82105905028062
PMM1	5.32072894638399
CBLL1	5.19892652891286
LIM2	3.38293769295185
VAX2	4.49505438130811
SETDB1	5.58400722219008
LRAP	4.40007707798198
GCLM	7.71331875443482
CPEB3	3.85601008043425
PPM1A	5.31139452699622
INTS1	4.33593834600356
MMP16	3.15637738650986
CAMTA1	4.121136819557
SAMSN1	5.14365895353061
DRD3	2.7995544578749
GMPPA	5.8307892591472
C11orf73	6.20893044361212
AIPL1	3.85456814683247
PTP4A2	9.25709990825949
IL24	3.39289674056965
BDKRB1	3.48097122957984
HPCA	3.50194017534943
MLF1	6.23947820408786
SEC14L1	6.25116872982811
CHFR	5.03523505908931
EMILIN1	3.22403244898609
THADA	7.61862332109617
TAF12	5.43351018166868
NDUFS4	7.37316146860797
ID1	3.42313117380846
PIK3CB	4.06410543710799
COL18A1	7.45505964340532
PDZD3	3.20846761483083
TBC1D17	4.90875166870788
COX8A	9.67708139655008
CDCA4	6.97267449602744
C2orf44	5.23371240956725
C9orf16	8.27314791444172
ERBB2IP	8.0876522120697
EMX2	8.63327951839489
FUS	6.27873075342437
NIPSNAP3B	3.76849510970689
TF	3.36806252081952
CXorf56	5.75843611751026
CLCN4	3.81281695904747
PWP2	5.85627144769
MMP15	4.27486765238065
MTMR14	6.5118803883442
NPR1	6.05537263952117
DNAL4	5.34632692519319
ELAC2	4.48751856003916
ASS1	10.4989668925379
IPP	5.53537102361794
TMEM59	9.13553551354135
POLR2J	8.95087880382915
SEC23IP	5.80340423568721
RGS4	4.11339419511404
UQCRC1	9.26009515394879
SNX6	7.01276160169434
DDX18	7.17527161536779
POLG	4.7100341160336
ADAM23	4.03512260647475
ZNHIT2	4.72204609638407
TFR2	3.79666467463877
NCDN	5.46677475714262
RAG1	3.45579802511404
POMT1	4.67093022037568
CYP1A1	3.29354012673042
SNAPC1	4.04745878231289
GNA11	5.6538634275483
CCDC52	2.74434596250825
CAPN1	6.57629357692987
DDHD2	5.98073021065645
UPF3A	5.28198957786188
LAGE3	6.33898876250142
GNRHR	3.06918291402759
UNC13B	6.6625587506083
TTLL4	5.17985838152178
PPBP	2.97434771538327
HTR3A	3.14218217493366
SDC2	6.183342490873
ANKRD49	6.88894730312996
BTF3	10.4694927740817
COX7A2	10.4870427798622
SARS	8.69323638277358
C13orf18	4.46064624279193
CACNB1	3.73908166391696
QKI	6.08598586733264
SETMAR	5.27382917072619
LAMB4	3.24175452275352
MAN2B1	7.33259537492657
EML3	4.79100952933661
ACADL	3.27462000903958
OFD1	6.97043279002068
CGA	3.43403958890031
EIF3EIP	10.5962244544491
