Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
UNC13B	5.89137812922837
TTLL4	4.52821407055147
PPBP	2.84379619733628
HTR3A	3.09053679906301
SDC2	5.09530155951626
ANKRD49	7.6466972406248
BTF3	10.2581584069090
COX7A2	10.5283132872455
SARS	8.36158736075122
C13orf18	3.81986888546901
CACNB1	3.83699090865529
QKI	5.91549520319224
SETMAR	6.27670772349708
LAMB4	3.16846860541915
MAN2B1	6.07539215265283
EML3	5.07899510777148
ACADL	3.16321002437541
OFD1	6.74721141801316
CGA	3.46698741502734
EIF3EIP	10.5539398847204
PEX16	5.26217242930752
GNG12	6.90565766418009
HABP4	4.8815146818613
CNTN2	3.43098397488369
ASNSD1	8.0744946201986
FUT4	3.93220105243781
DBH	3.53108680276518
CD53	7.13997033399081
HIST1H2BJ	3.44340318165218
TFAP2B	3.2728992639896
ACF	3.48697713000044
TMEM11	5.75131991995339
CDH8	3.51467192188824
C3orf32	3.57487481436079
AGPS	4.79732024717723
C4orf18	3.544958774618
PCCB	6.45824951986218
IPO13	5.20355860290082
PECI	7.55938129195757
UNG	7.72103867562768
C6orf105	3.76444218223101
GSTP1	8.86085065276244
SUV420H1	7.30674843932854
ARHGAP15	4.41581705796307
LTBR	6.53062351146735
TDRKH	3.62174996443882
PSG4	3.38698614636545
SLC9A3R1	5.49302754248405
NBPF3	8.93500179211575
SLC9A3	3.60451420605231
OSBP	5.88089609418468
PRR5	3.96950939801359
CHMP7	5.10105572653724
ADRA1A	3.11137704526349
ASAH1	6.51536935315661
FKBP4	7.47441051377625
ZNF350	4.81690786653139
DOM3Z	4.48886211669167
GIPR	3.65776067474539
AHI1	4.60933420736614
BST1	3.93357450395643
NCR2	3.71582901147645
NADSYN1	4.59003143049828
UBE2W	6.28812582713145
RGS14	3.84381785351629
KRT15	4.27773349600326
SCN11A	3.75708862692747
GFI1	3.61853034901579
FHL1	6.26614614067583
SMC6	6.6687008572718
GATA1	3.7455849840116
OSGEP	5.39771510248642
ARMC6	4.3329333524241
HK3	3.52044100088324
PSMD5	6.97036546743975
RSU1	6.9390793118052
RPL4	12.1203442041313
MAD2L1	7.1146864626506
RBPMS	4.85630146721477
EIF4A3	8.79574332097692
E4F1	5.51586427064154
DLEC1	3.43380317490078
PRPF3	5.99818461331707
EMR1	3.25874946439914
CHMP2B	6.94759814859392
CAMSAP1	4.43506792722195
RPS21	9.49938230701385
XCR1	3.20808205886433
ARID5A	4.26249333295535
RBM6	6.5882202986706
UBE2N	8.31969361781076
KLF4	4.04055729011042
MGC4172	3.71098894212925
LMO4	6.3999760675232
KLKB1	3.26060258654564
HDAC3	6.16003927828444
HP	5.09132335584861
SCHIP1	5.11005695013439
BTK	4.02967562835608
KRCC1	8.20913636213018
PRND	3.01459926975224
C6orf27	3.6982413228515
PIGL	4.20751425549826
CLCA1	3.59556140181088
C1orf112	4.93807602466415
OLFML2A	5.38370297428307
HUS1	4.29400156613009
SFRS6	7.96704441927756
CXCR7	6.33942760262162
UIMC1	5.40710007369442
FXYD2	3.52499262067082
GOT2	7.4928708745323
ZNF667	4.10041371023878
TFEC	3.67674253336734
ATP7B	3.83837625567539
RAB38	4.99466099268445
POLD2	6.5150300068017
PPM1H	4.97503705594765
DCX	3.21660215100652
NFYC	7.03112148297782
ZNF228	4.07152308330201
KIN	6.95358130250772
PLSCR4	6.6805434562988
HIST1H4I	3.83719057458655
PPARGC1A	3.03057166989246
HIG2	7.83836846465341
KCNK10	3.88152821779576
EXOC1	8.21744080824371
OR6A2	3.80879531910531
ETFA	8.63894990079049
PDAP1	5.06972886163012
C19orf6	3.51703243966781
POLRMT	3.79935050250013
ZNF146	8.16129321862318
MIA2	3.21344779397907
LY6G6E	3.25121569237151
EIF4E2	8.1503252529245
NENF	4.72705698608788
HOXB5	4.78821520086735
ZNF324	4.09026784069187
CUGBP1	3.73331246417024
ENTPD7	4.22257426924405
TTC13	5.37375370477167
GJB5	3.39619880826693
PRSS22	4.50167308941394
CYP3A5	4.7765952776765
MBOAT5	4.32693413846193
CUL4B	4.99734799928425
CENPJ	3.44687922163685
KIAA0664	6.41960148541155
PITX1	3.50995665941448
PDGFRB	5.43943435958533
RDX	6.07563843966417
CELSR3	4.08392286216041
JUND	5.79033198943053
ITSN1	4.66083810218494
CHRNB1	4.985171033767
EHBP1L1	3.8419291904833
C19orf2	6.73009226439145
FETUB	3.22059605023964
CAMK2B	3.17385094892131
DCTN1	5.95139117768046
TNKS2	6.77971294383507
MRTO4	7.88809866778923
C1QBP	6.91763585647269
TTC3	8.1895578056203
NDUFB8	8.6815864073868
CADPS2	7.07953019416151
EDG2	4.20718014033547
MYF5	3.08088858788269
SEMA3G	3.56669734761631
IL23A	3.67806375741155
GJA9	3.72991143098394
R3HDM2	6.71714789098224
C5	4.25206523364727
SLC2A10	6.25050256409505
TRIM45	4.91615390966326
TSP50	3.67991859029912
PAQR3	5.06612911041571
ANKRD26	3.27030744736844
TCP1	8.1358403061693
TMED7	5.89601747778791
CMA1	3.00126970496647
PTCRA	4.14459352242477
HCRTR1	3.52156641530442
FST	4.25330159865528
PAWR	4.23504613706882
LDLR	4.27901185205189
ASTN2	4.02837082570799
SCRN1	6.16084946373575
GPATCH8	5.76906955236038
KIF4A	5.12962356136368
TANC2	3.79954230436541
ZMYM5	3.72293663816201
PGM1	8.05556395268396
ZNF586	4.07603201988214
POLR3G	3.56558859528888
CPD	5.51089536950831
SNCAIP	4.21811398538324
DCT	3.45775334296383
HLA-DOA	3.7118041166976
TANK	7.13266680895089
RCAN1	4.19010648864138
UPK1B	5.14796957491822
DNAJB4	4.64502673776758
UGT1A8	3.04303746623568
LIMD2	3.72271540902884
HIST1H4L	3.64434580320501
PECR	4.68257652911764
HSPA2	5.19917208108505
SERP1	8.81226163614862
TACR2	3.24924368447815
NUP85	6.72576294548832
CD177	3.3944714608435
GPR135	3.17915845262392
PIGG	7.24855433548093
LGR5	3.17436067849671
JAK2	3.64094049222575
DPYSL4	3.30840375058773
TM9SF4	5.01608734755029
PTHR1	3.56950091116118
SIRPG	3.00356594917116
ZNF264	3.63265580123102
BICD1	5.36115829029622
RAB5A	7.7113642884475
FLJ13224	2.9413685284111
METTL5	9.0119441462757
HERC6	5.7076334882654
CASP1	5.89229099687274
USP9Y	2.76435328821897
LRP1B	2.95287505632560
XAF1	7.0775930446728
PLA2G4C	3.61429815016931
APOA2	3.1171505110049
SPAG6	3.02060088768435
KALRN	3.15498725765051
SECTM1	5.17876635014229
THOC7	8.64753945245452
IFNAR1	5.00382549320083
TCTA	5.55269629937128
NY-REN-7	3.19284768077616
TALDO1	8.3817187866699
B2M	11.7937892300199
LPPR4	4.08976823659391
SQLE	6.41703300912482
SEPHS1	8.45693765451673
EIF5A	6.39664867742709
FAM49A	3.94736084202269
YTHDC2	3.64993940237586
EHD2	4.30913394603328
NCF1	3.59258261299971
SPG7	6.06445004017434
ZNF614	3.61726320331906
HOXA5	4.62327345794321
NUP133	7.93240139511256
FGF12	4.03189736282972
SLMO2	7.00586693737344
INPP5B	5.17259124829745
PPID	6.08701456459151
SNTA1	4.73946007413878
IL20RA	3.92006248966455
UBE2J1	5.52089858355686
CACNG2	3.06378477541450
GCM1	3.07227427065604
ELF1	6.08477627895126
TLR5	4.38768631785438
TCFL5	5.94938396331125
C1orf107	5.65227627645801
C19orf22	5.72825986295889
SAFB2	5.65982042459167
MAP3K7IP1	3.85411629545413
NCK2	8.60160373466572
