Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_E05_543642
Composite Element REF	Signal
ARHGEF9	4.69606069794794
ABR	5.10428024840238
C10orf22	7.40236128348831
STK17A	5.3914578431548
FOXE1	3.29300793431026
GML	3.09132028860951
CNGA3	3.12659057952876
CD38	3.71440065405511
ZDHHC6	7.75432940607355
NEFH	4.73683151026092
PGBD5	3.43350419639754
CTDSP2	7.59144313473791
RMND5B	5.76942837462078
ZNF257	3.82315913893886
DUSP4	4.39332721349774
FLJ22167	5.25487046547062
EXOSC7	6.2332716561755
ROR2	3.78531197224681
FOXM1	5.03261616420379
ZBTB48	4.4907273862387
BUD31	8.38279471808245
MAOA	4.31362569449909
CCDC41	4.22204885737084
TNNT3	3.35486543440839
FBXO11	5.43665131270458
GYPC	7.35784097364481
PLIN	3.67335512447168
RFXAP	3.4590499542897
C6orf15	5.73224497006121
RNF4	8.52741340929623
F8A1	7.92752380937426
PPP1R3D	4.51008068867744
GRB2	7.29330436949952
TPM3	3.51389996167829
SYT13	3.58226742459117
EPB42	3.52128963757554
RP5-1077B9.4	5.44645610721796
EIF1	10.5139441639660
CETN3	6.92392116850949
FPGT	5.84413767552552
PRY	3.48834840735711
NTHL1	5.06992417906707
POLR2B	8.4239943980658
RPS28	11.9366416229364
GDF10	2.93039112032199
COQ9	7.10833652981408
P2RX3	3.11234389182372
GCC2	7.60243801708424
RARRES3	6.66945171423344
PLXNA1	6.6865460501057
WBP4	5.58820531265308
KIAA0100	6.73665399674847
PMF1	7.10435896139262
HS2ST1	6.34785300994155
CRELD2	7.25003596375951
C8G	3.025838932333
CD82	5.80849466757038
PMM1	5.82062783730668
CBLL1	4.73138398316117
LIM2	3.16526370520917
VAX2	3.79001085462142
SETDB1	5.72874158402125
LRAP	3.34061634085256
GCLM	7.93702056860919
CPEB3	3.62638358871315
PPM1A	5.66462804934775
INTS1	4.48518219796383
MMP16	3.22200624403539
CAMTA1	4.27583919212318
SAMSN1	6.00105868062768
DRD3	2.93467855075807
GMPPA	5.41322516912844
C11orf73	6.13364254215844
AIPL1	3.49952294163619
PTP4A2	9.95019313021153
IL24	3.17629613182528
BDKRB1	3.08797861606215
HPCA	3.53203696521904
MLF1	6.44356885526384
SEC14L1	6.15322497695235
CHFR	6.35419408576991
EMILIN1	4.74339889304204
THADA	6.4370762957948
TAF12	5.58505743202106
NDUFS4	8.50858365467683
ID1	7.58914306874547
PIK3CB	4.78553159087037
COL18A1	8.4858573092206
PDZD3	3.20926579008604
TBC1D17	4.2266362087825
COX8A	9.99789503130464
CDCA4	5.70769898901326
C2orf44	4.0227123721942
C9orf16	7.90381474580879
ERBB2IP	8.22979709128517
EMX2	8.76353091080325
FUS	6.1459495546707
NIPSNAP3B	4.0710925818813
TF	3.40773714226142
CXorf56	5.41877113672888
CLCN4	3.65865234484594
PWP2	6.1224367085209
MMP15	4.33636081544113
MTMR14	6.17742501290842
NPR1	6.29065942523996
DNAL4	5.47439429767003
ELAC2	4.24630598284341
ASS1	10.2410783196342
IPP	5.35612698269964
TMEM59	10.2730531277383
POLR2J	9.17695029063658
SEC23IP	6.22167930332521
RGS4	5.41785393097627
UQCRC1	8.92457105656388
SNX6	8.11322184768574
DDX18	7.51462304693642
POLG	4.57742318051063
ADAM23	4.23851072230338
ZNHIT2	3.86606591662396
TFR2	3.19581748353758
NCDN	4.20994948280123
RAG1	3.31576346746237
POMT1	4.34792206268779
CYP1A1	3.34077143366195
SNAPC1	5.27127921182378
GNA11	5.94996176976859
CCDC52	2.95529773275425
CAPN1	7.04592143380501
DDHD2	6.98992074216634
UPF3A	7.18563601722439
LAGE3	6.22372643889155
GNRHR	3.17617862875866
UNC13B	5.30414866576076
TTLL4	4.92074891276544
PPBP	3.15704464795202
HTR3A	5.93006124788047
SDC2	6.88035198467665
ANKRD49	6.87698028562694
BTF3	10.5923327053851
COX7A2	10.8398593421413
SARS	9.08358709952357
C13orf18	4.39756457617254
CACNB1	3.67287213091907
QKI	6.39990033762455
SETMAR	6.5214815903709
LAMB4	3.18251695850423
MAN2B1	7.69987254017795
EML3	4.77631043282498
ACADL	3.47309926793551
OFD1	6.68896161909865
CGA	3.40461446481453
EIF3EIP	10.7573143135539
PEX16	5.3853395033127
GNG12	8.20437188713118
HABP4	5.40498755328395
CNTN2	3.40048834561226
ASNSD1	7.43977319373026
FUT4	4.45747419193291
DBH	3.24539486571457
CD53	8.9563247502261
HIST1H2BJ	3.39972905086711
TFAP2B	3.2791311925458
ACF	3.49172846849616
TMEM11	5.86919412776843
CDH8	3.2824825819192
C3orf32	3.39888431236832
AGPS	4.97705181825454
C4orf18	4.16729042197328
PCCB	6.82858676401741
IPO13	4.93967937129212
PECI	7.86968664874916
UNG	6.80086831029473
C6orf105	4.3152027814005
GSTP1	8.20776624303054
SUV420H1	7.15481517387854
ARHGAP15	4.79250684215105
LTBR	6.316344791918
TDRKH	3.70391149204858
PSG4	3.02347062044070
SLC9A3R1	5.33391556394017
NBPF3	9.62065455312283
SLC9A3	3.15573235666584
OSBP	6.6627009680367
PRR5	4.35655889512784
CHMP7	5.82844808234824
ADRA1A	3.04553154977260
ASAH1	7.31860803934859
FKBP4	6.52438592139984
ZNF350	4.82641533172334
DOM3Z	5.32064990411571
GIPR	3.731408222922
AHI1	4.62291378688562
BST1	5.00326757881585
NCR2	3.50410479478607
NADSYN1	5.03164214761017
UBE2W	5.67149495986224
RGS14	3.45968975713555
KRT15	3.57023570146688
SCN11A	3.80991970309435
GFI1	3.52919222561935
FHL1	4.84413087357842
SMC6	6.6875594714354
GATA1	3.47697531443032
OSGEP	5.29142071764633
ARMC6	4.69404357539724
HK3	3.87335060959547
PSMD5	6.78138843121457
RSU1	8.83639068551398
RPL4	11.6407213262267
MAD2L1	6.5144795424364
RBPMS	5.70534446585427
EIF4A3	9.12258189332923
E4F1	4.59620568333868
DLEC1	3.16534084734877
PRPF3	5.81192506775136
EMR1	3.29670508313834
CHMP2B	7.39037156060361
CAMSAP1	4.5080263710439
RPS21	9.45872925816806
XCR1	3.44101270931556
ARID5A	4.26241418908916
RBM6	5.75377813161085
UBE2N	7.83498491871939
KLF4	4.44272296165284
MGC4172	5.15012982945073
LMO4	7.00758047897518
KLKB1	3.32255823926809
HDAC3	6.86919779970515
HP	4.18627734014414
SCHIP1	6.01968251314223
BTK	5.23942473920404
KRCC1	9.08789625335453
PRND	3.16246186333073
C6orf27	3.23394099827083
PIGL	3.54234905450568
CLCA1	4.03128944898499
C1orf112	5.29634940697644
OLFML2A	6.15979513322211
HUS1	5.5749104909383
SFRS6	8.66402088937303
CXCR7	6.82660744810291
UIMC1	6.69684371330494
FXYD2	3.41509868080958
GOT2	7.46142523928778
ZNF667	3.65196086943225
TFEC	5.9568185364696
ATP7B	4.83920619134596
RAB38	3.77572982582307
POLD2	7.82391966554954
PPM1H	5.31420248616108
DCX	3.33002566012835
NFYC	5.89962152502981
ZNF228	3.97193308385998
KIN	6.80136250997435
PLSCR4	6.25281670609755
HIST1H4I	4.18186698723051
PPARGC1A	3.30706555792497
HIG2	6.91889089068275
KCNK10	3.93706063148951
EXOC1	7.91809491556311
OR6A2	3.52901655229084
ETFA	7.93601872475065
PDAP1	5.42881762893641
C19orf6	3.35204019193900
POLRMT	4.02504001092823
ZNF146	8.42420102338798
MIA2	3.28230850821874
LY6G6E	3.27175238390613
EIF4E2	8.35134312672255
NENF	5.21921742272698
HOXB5	3.97627873543046
ZNF324	4.72447856819113
CUGBP1	3.82699751789789
ENTPD7	4.41139111945879
TTC13	7.65553334351633
GJB5	3.33378797975274
PRSS22	3.91631102133322
CYP3A5	3.11290746729182
MBOAT5	5.08958528522209
CUL4B	5.6503726089033
CENPJ	3.90630692895845
KIAA0664	5.81337754880201
PITX1	3.39861493004309
PDGFRB	6.04197507952255
RDX	6.06619810526947
CELSR3	4.17246947537866
JUND	5.89379486997046
ITSN1	5.825217154784
CHRNB1	4.07200139484919
EHBP1L1	4.42987510082573
C19orf2	8.82613598513744
FETUB	2.96240694303389
CAMK2B	3.05518196310015
DCTN1	6.56747070450778
TNKS2	7.0256640793634
MRTO4	7.13422528358925
C1QBP	6.03578913784398
TTC3	8.63140322747495
NDUFB8	8.6837100950761
CADPS2	5.42350142845469
EDG2	4.41503999302513
MYF5	2.99880499971907
SEMA3G	3.66798208274795
IL23A	3.96127966823039
GJA9	3.28717521378799
R3HDM2	7.44839424790197
C5	4.17642382184567
SLC2A10	6.83049915290678
TRIM45	5.4721252174709
TSP50	3.75930397616490
PAQR3	4.11900109465735
ANKRD26	3.70253532538755
TCP1	8.49358588502434
TMED7	7.06010531385235
CMA1	2.95953620800663
PTCRA	4.07562538375405
HCRTR1	3.38928117675781
FST	6.10291776936751
PAWR	3.88763860750475
LDLR	4.70796801635865
ASTN2	3.6196926292482
SCRN1	8.17505349386902
GPATCH8	6.57925700275532
KIF4A	5.78012781696042
TANC2	4.46620095954813
ZMYM5	4.14037686708596
PGM1	9.76390995134364
ZNF586	6.0524748519824
POLR3G	3.25269993232138
CPD	5.82837747741098
SNCAIP	6.14758986235887
DCT	3.49149055721575
HLA-DOA	3.51969539491815
TANK	6.47314250801531
RCAN1	4.98230367368286
UPK1B	8.60223897979682
DNAJB4	5.19860690390666
UGT1A8	3.33101791919061
LIMD2	3.70857653852715
HIST1H4L	3.41163317385952
PECR	5.17416985585905
HSPA2	7.36850579543252
SERP1	9.5381555334909
TACR2	3.68877448872700
NUP85	7.33325992050497
CD177	3.33064954316989
GPR135	3.21984916185911
PIGG	7.31832144822129
LGR5	3.56460621087570
JAK2	3.92108700646454
DPYSL4	3.31534072734115
TM9SF4	6.63196278636569
PTHR1	3.32246733169251
SIRPG	3.14478331923721
ZNF264	6.3365223592498
BICD1	4.96439815977415
RAB5A	7.8442047352592
FLJ13224	3.31232821216602
METTL5	9.01366786612133
HERC6	5.70872313073919
CASP1	6.5653820838956
USP9Y	2.72084470366757
LRP1B	3.01333630550304
XAF1	6.47787496871633
PLA2G4C	4.58846931832842
APOA2	3.10985790727939
SPAG6	3.27987776781572
KALRN	3.34104205920199
SECTM1	5.35519931099409
THOC7	8.86864210113192
IFNAR1	5.31987109249839
TCTA	6.84401858891601
NY-REN-7	3.38885015144212
TALDO1	9.61832119594338
B2M	12.2511713308705
LPPR4	3.08502729275813
SQLE	6.05090034153476
SEPHS1	7.95402977718696
EIF5A	6.09458643047172
FAM49A	5.29101172753467
YTHDC2	4.33526017446013
EHD2	5.59178346371461
NCF1	4.17453684695845
SPG7	6.01033960525551
ZNF614	3.54764026344314
HOXA5	8.2494342357743
NUP133	8.32384834414112
FGF12	3.71192822734597
SLMO2	7.98367218776394
INPP5B	4.86670890869537
PPID	6.89068519144754
SNTA1	4.18666136243535
IL20RA	3.56865129967225
UBE2J1	7.00497478226201
CACNG2	2.95861731723645
GCM1	3.10837577634671
ELF1	7.36655994347462
TLR5	5.86685056237852
TCFL5	7.824549473752
C1orf107	6.60374257758587
C19orf22	6.6657552024811
SAFB2	6.20272872087139
MAP3K7IP1	3.90523209682408
NCK2	8.19192383892823
OXA1L	8.19769379194388
KIAA0652	6.1059524555556
KLRG1	3.46632806107773
FRAG1	6.43038031913794
ZSCAN12	3.13481217565209
PSMD12	7.33751805582167
E2F4	5.36087052071252
CLEC4M	3.50866210930916
KIAA0999	5.19966276057408
CLDN10	5.26490757085242
MGC13053	4.10065319664165
TAC1	2.51335882555055
GYPA	3.26261118044925
HPCAL4	3.18310362137563
TRAIP	3.89232694734487
MEX3D	4.20588570057997
KIAA0232	6.90275479646253
ERCC8	5.62495360065166
NFAT5	5.10308862999819
GPX4	9.43122365733538
CSPG4LYP1	3.10098517164551
KIAA0368	5.76286334666692
FBXO3	6.2649032768586
DVL1	5.84266588770067
CMKLR1	3.77303162451391
GPR157	3.06279634685674
TYMS	8.1236954914554
OR52A1	3.42868564597873
PEF1	7.5520571546982
ZNF750	4.15446383681405
ALG9	6.22929939134322
MCM5	5.70944577151134
SDK2	3.28565027589471
BAIAP3	3.745145383504
RABGGTB	7.20380501058606
KCNK7	3.48919113286356
PTP4A3	6.98952850372083
ANKRD40	4.51349750199055
CALCOCO2	7.83904708762085
TMSL8	5.14884411698449
SNCA	4.58551308409482
ZNF551	4.36169122882661
HBQ1	2.99756120364695
ARHGAP26	3.94162025403808
GEMIN6	6.53224259669636
HRAS	5.82501330066098
KLRC4	3.11473887898227
BSDC1	6.23038082279285
DSC1	3.61964539487794
RNF43	4.54435711366772
NDUFAF1	5.97441940394406
MAP2K4	5.50549393915625
FOLR2	5.60155817119692
LYZL6	3.54910156509578
EPB41L3	5.17115403908116
TEKT2	3.30592813994146
CDKN2B	3.21276664789903
WSB1	6.55311868308038
ZNF480	3.7752623382109
MAP3K6	4.17753009691389
PROS1	7.71586702162251
PSMB8	7.18899835328653
HN1	8.14362657126777
MAS1	3.12696751155625
APOL1	4.43146087696397
CSHL1	3.09385982746968
ZBTB7C	2.91957768947301
AHCTF1	6.49824845672476
SAE2	9.44707225081661
ITGA2	5.44388522635617
AP2S1	8.58750067972535
P15RS	4.73840495543849
MME	4.50827741110141
VAT1	7.85718267990748
MAST4	5.44452129906369
TUFM	8.7232974304214
KRT33B	3.32813499228819
THEG	3.65396114563267
KCTD2	5.58008601286237
WDR26	9.55088966241169
MFI2	3.1205813542581
KRT34	3.05705486242538
NR4A3	3.55026251837779
SGSM3	4.58839737356373
ARSA	4.26674308426827
TOMM22	6.17673333573145
SOCS3	3.85921617935398
UNKL	4.11440544687389
POP4	9.95058784392683
BHLHB3	8.8783942961749
MALL	4.71894670189234
SOX15	3.36426399269057
CCNA2	5.36804373160087
PARK2	3.33815326507376
GPR124	6.06667785679955
TMEM132A	4.67510454106882
CGRRF1	5.93072840571494
RUVBL2	7.34729884670317
MCAT	5.99349282992956
WNT10B	3.23417642286021
ISCA1	7.25677190092975
RPAP1	4.19814854626924
C12orf48	4.73583756623247
RAI16	5.69436107569532
RPL27	9.0642317737076
EPN1	3.34961316078399
MAGI1	2.97186916326983
GBX2	3.09481013761912
SLC35A1	7.83293017909771
GAL	3.84262023875475
SLC14A2	3.61673885084405
RDH11	6.96944212016042
ZNF518	4.57253069741763
PCYT1B	3.27542917045562
AUH	6.19037690852345
EIF3H	10.8012091455659
KIF1B	7.50966061269181
MBD2	4.69401115178299
AMOTL2	8.2159466291623
C6orf120	6.38995569220351
PIGT	9.16570963099689
PSRC1	6.25653883943795
PLA2G10	3.56067136933144
ALAS1	7.1344476287752
FOXO1	6.89254605907426
C17orf62	7.45196252943522
KIF5C	6.40840166037292
DUSP10	5.06196524665471
CRLF3	7.34074970537598
CLCNKB	3.38773258951937
PSMA5	9.75303695452693
FARS2	6.60275062124531
CCDC28A	6.15967766409838
AMPD3	5.11977624594302
PIAS1	6.83593079167875
ADCYAP1R1	3.42145043169533
TMEM134	6.74837376079506
CDH20	3.06884862197863
FBXO7	7.7377007014775
FLJ14213	3.99174776155561
ZNF3	6.10935196941321
LRRFIP1	7.76507187692133
TMEM49	9.09904773359316
CNOT2	7.50536406278859
CBX2	2.90954191896685
ZC3H14	6.60210449796953
ALDH5A1	5.15916179522645
HNT	3.11533168629849
SERPINA4	3.14939361551674
FLJ20920	5.90389866618766
CRTAP	6.63269018811186
DDX50	8.644958108848
STYXL1	8.46051051569619
TK2	4.61130931564562
BLVRB	6.47960537645981
STMN1	7.51738381142142
GUCA2A	3.22638102770283
DPP6	2.99462966176175
GALNT10	4.99774621365576
STK39	6.37799711818308
MMP24	4.50950984829861
CKS2	9.1241497164261
RHO	3.65015421367509
BANF1	9.0427711915777
CR1	3.02102248271277
RPS6KA2	6.21844203060189
HMBS	6.00565949671596
C20orf112	3.59810385526432
SLC25A24	8.26362467284248
MRPL22	7.77813278972596
SLC25A15	5.96005170533699
GADD45B	5.70153882413734
TDP1	6.15906845715204
ZNF287	3.58789102801107
DAAM2	4.92303753639802
C11orf57	6.05298687366997
RFK	6.65003650981222
ZFYVE9	3.76033336670092
TCTN3	7.53882892176565
STCH	6.80286686670848
LOC283871	3.70148203264996
NDUFB3	8.40693897903313
DEFB4	3.72143060929491
FPR1	4.19087194401894
FMNL1	4.68359563281385
SEPT7	10.3335931021253
PTCD2	5.01291757153621
GNLY	4.00400232692743
GRAMD1C	3.95039971200868
ZNF165	5.39750112325496
TR2IT1	4.14810460803318
ARMCX3	7.98759311848742
NDE1	5.23629132715831
MAGEF1	6.85130841265491
ITGA10	3.38669256493741
ARHGDIB	9.16789325894467
FSHB	3.75483318010202
ANXA2	12.1040605652467
HLCS	3.93318087162497
MCF2L	4.19000337206023
AK1	5.55203627510558
FH	7.06127097858261
LGALS2	4.83505182679392
SYNPO2L	2.7175231028035
KIAA1045	3.40716712631501
C1orf183	4.38747636782271
MAGEA8	2.91790905200669
DGCR8	4.88921344975435
GSR	5.02283442968185
NEU2	3.37365216170357
HIST1H4B	3.39872334127868
CACNA1C	3.16614760202896
FAM20B	6.93735208689396
HES2	2.96909602000406
PDCD6	9.35465132547494
INTS7	5.5819048509362
AMPH	3.60679657844348
UCKL1	6.70003875763926
ASB4	3.20130373635256
C10orf97	5.8745751491413
ALDH1L1	3.88574477491749
CCL23	3.31826034371242
OBSL1	5.10736380004801
SLC12A7	7.72266569814515
THAP4	5.66554606298425
RBM4B	6.24432652191724
OGFRL1	4.8721771773528
KIAA0831	6.43885782896729
C12orf11	7.01056549574744
PPP1R15A	4.99562673882391
KIAA0240	6.19258299086948
CD1B	3.94922578083918
FCGR2A	6.36628712518905
MDC1	5.43660099251649
MAN1A1	4.44750363444172
KRT9	3.12479435038731
HTR1A	3.20821768508515
OCEL1	5.79630424515676
ATP11B	6.05252344215492
NLGN4X	6.34155153390833
FBXO34	7.46323947561337
ALOX12	3.45418506221712
RB1CC1	6.94682553270251
PCDH12	4.36754806093497
RPE	5.70807624491222
EIF4E	6.32004041716993
CSDC2	4.80898037225793
ABHD5	5.08839440312856
TMBIM1	7.84704051895668
PET112L	4.66132970797162
P2RXL1	3.08998025014988
F2RL2	2.90277117012766
TRMT1	5.34747079524553
IMPG2	3.29028003471434
LRRC32	5.99723556975075
BGLAP	4.50165146774331
HTR4	3.26198556110192
MRAS	5.31515910037719
TRAF6	5.46358448896841
AXL	5.218135423694
ATP2C2	3.34734845974616
LMNB1	5.35316284767051
TELO2	4.00558411865135
PNPLA3	3.49205206271423
CSNK1E	6.12788950088963
SRP14	10.1534410115029
KCNQ4	3.03964434090609
PIK3C2B	6.46262994998773
C15orf15	8.00737944437427
TUBB2B	2.92985534397612
USP15	6.20354650543975
C12orf41	7.19202019415487
CEND1	3.53690418851014
RNF31	5.23897479814804
TCEAL2	5.53250015961439
PTGER2	6.16221966485153
UBN1	6.23738314244665
SLC5A7	3.19949232977787
SLC31A1	5.54814881756755
ADAM29	3.65476176925163
ST7L	4.2526742379351
GFOD1	7.88846744654233
CTNNA1	9.23793056332744
HRBL	4.0325130918525
CBX4	3.55722937532264
NTRK2	3.85599953354236
FOXN3	5.90381952563288
MFGE8	7.74295153522537
PFKFB2	3.79994588445914
TAS2R4	3.34750147887613
SH3TC2	3.11474459701233
IL10	3.84846745078059
PXMP4	5.95036624794336
RNF167	6.15292290734362
PRMT5	7.61584782205944
TSKU	6.22953454772602
ATPIF1	7.71587916790432
ETV3	3.07990074766199
PAK7	3.11995778266517
PDLIM1	9.0509378617137
CEP63	5.89045086015099
WDFY3	4.78352864097981
RNF126	4.11245302918424
DPM1	9.37986747924663
CLIC4	7.62458743225838
ACR	3.67108792471236
KLK7	8.33599284756037
ALOX5AP	9.55506991305606
LRP1	5.75682718110441
TNK1	4.48440252806987
TAS2R9	3.12570653733595
ZNF16	5.34873936365798
POLR1B	5.01823635143587
SLC8A2	3.45540523854103
OLFM4	2.76438082772401
TACC1	5.41146650720841
SAMHD1	6.89276309974491
ATP13A2	5.04872000581471
