Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F02_298040
Composite Element REF	Signal
ARID5A	4.63234583861289
RBM6	5.98791200424181
UBE2N	6.93469042731356
KLF4	3.81550340151216
MGC4172	5.26791723409138
LMO4	7.51997343814332
KLKB1	3.33954680595505
HDAC3	5.14986415985126
HP	6.14628820827461
SCHIP1	4.90436413802998
BTK	4.20754046901843
KRCC1	7.24516953583005
PRND	3.28698958300343
C6orf27	3.89642295092664
PIGL	4.51538764189888
CLCA1	8.33496173795205
C1orf112	3.67117325069373
OLFML2A	5.11226481776189
HUS1	4.90533705422246
SFRS6	6.79497393661351
CXCR7	5.08154325094355
UIMC1	4.93101347580002
FXYD2	3.55628116331918
GOT2	8.29903091889303
ZNF667	3.61019850914288
TFEC	3.86794578683142
ATP7B	3.95180183491069
RAB38	3.1259008839705
POLD2	7.69038883628144
PPM1H	4.50484334954493
DCX	3.28704413302418
NFYC	5.70494613244204
ZNF228	3.19521568986004
KIN	5.14596758504407
PLSCR4	6.7124805057491
HIST1H4I	4.68539503338929
PPARGC1A	3.15215066421012
HIG2	6.76448895569639
KCNK10	4.2867376676514
EXOC1	6.91346742463934
OR6A2	3.76605347417080
ETFA	7.58584049157489
PDAP1	4.55246670897487
C19orf6	3.57744715352622
POLRMT	4.51262558276536
ZNF146	7.56476318619482
MIA2	3.45682375713912
LY6G6E	3.25746337819323
EIF4E2	7.08801809671452
NENF	5.65511937669914
HOXB5	4.5390898092787
ZNF324	5.22023291501856
CUGBP1	3.77551654648310
ENTPD7	3.91528009673932
TTC13	4.5023803523491
GJB5	3.4269630112434
PRSS22	5.21015897266201
CYP3A5	3.27180437920251
MBOAT5	4.21031833705118
CUL4B	4.78761376150023
CENPJ	3.52097313528307
KIAA0664	6.98671319374875
PITX1	4.76877907911024
PDGFRB	5.62524463989983
RDX	5.17464518902269
CELSR3	4.45265587581887
JUND	6.38767461824948
ITSN1	4.74257928204598
CHRNB1	3.55839256805612
EHBP1L1	3.527927472478
C19orf2	6.11463801555964
FETUB	3.26353656509837
CAMK2B	3.43677240434715
DCTN1	6.6036451329737
TNKS2	7.04052301059307
MRTO4	7.07303553066289
C1QBP	5.60751691079578
TTC3	7.84469906090729
NDUFB8	8.99254821394455
CADPS2	4.22860352644873
EDG2	4.17342552831504
MYF5	3.2426904711466
SEMA3G	4.31241685244425
IL23A	3.99163333788356
GJA9	3.79915808211757
R3HDM2	6.48181162386124
C5	4.54498859764581
SLC2A10	6.51549183517853
TRIM45	4.66665429785269
TSP50	3.98023338380340
PAQR3	3.99812124262043
ANKRD26	3.31907242227749
TCP1	7.2851916614547
TMED7	5.66988818247085
CMA1	3.34100702875108
PTCRA	4.31630211232487
HCRTR1	3.54669514489888
FST	5.24365312135341
PAWR	3.83474001255853
LDLR	4.91107301566975
ASTN2	4.0810841888209
SCRN1	6.72524714712028
GPATCH8	5.73587257444108
KIF4A	5.22858664660191
TANC2	3.01743643607988
ZMYM5	3.60754072755665
PGM1	9.54989380752059
ZNF586	5.70503158928877
POLR3G	3.78305817710691
CPD	5.65325314096823
SNCAIP	4.26005206995693
DCT	3.58035702943090
HLA-DOA	3.67460737159367
TANK	5.587518191014
RCAN1	4.35879685668888
UPK1B	3.47996191251976
DNAJB4	4.06389534511636
UGT1A8	3.01436498527371
LIMD2	4.46537284493409
HIST1H4L	3.62030765417713
PECR	4.57768075431902
HSPA2	4.73855359878875
SERP1	9.07756778298839
TACR2	3.48735417720313
NUP85	6.3901484842244
CD177	3.57534569724434
GPR135	3.31723980559939
PIGG	6.60673401223331
LGR5	3.21139076417476
JAK2	3.82154258764822
DPYSL4	3.27838976100414
TM9SF4	5.77013990258576
PTHR1	3.24954982752268
SIRPG	3.09083219164854
ZNF264	5.92917206688199
BICD1	5.06762424531606
RAB5A	6.95645618902161
FLJ13224	3.03823514454761
METTL5	7.97520363144156
HERC6	6.41792859559075
CASP1	5.53640659554083
USP9Y	2.87268680875451
LRP1B	2.76789528923664
XAF1	6.77231407046177
PLA2G4C	3.63702346836153
APOA2	3.1780167899945
