Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_A01_464132
Composite Element REF	Signal
UBE2W	6.01112076623517
RGS14	4.13317451721105
KRT15	3.90091884798488
SCN11A	3.88321510763503
GFI1	3.73738434553909
FHL1	7.28439685494816
SMC6	6.58833343235941
GATA1	3.32585770135431
OSGEP	5.03940890102101
ARMC6	4.73491713426271
HK3	3.50435457820064
PSMD5	6.9968877150111
RSU1	7.83677320857053
RPL4	11.8287304675486
MAD2L1	7.16144715506695
RBPMS	6.609678231977
EIF4A3	9.70528107321831
E4F1	4.46214988428279
DLEC1	3.35716711483434
PRPF3	5.62350868634727
EMR1	3.17290723007217
CHMP2B	7.88826239526301
CAMSAP1	4.55933997735577
RPS21	9.86397562843623
XCR1	3.23635191602633
ARID5A	4.47353173428726
RBM6	6.23205592438641
UBE2N	7.0613543809157
KLF4	5.32856399826561
MGC4172	4.12199569314524
LMO4	6.80799111757134
KLKB1	3.22776120134061
HDAC3	7.11477906354688
HP	6.25823016336144
SCHIP1	6.77364691865428
BTK	4.6657728733253
KRCC1	8.17912776886526
PRND	3.10479564448692
C6orf27	3.48501324789573
PIGL	3.51225990680504
CLCA1	3.85450327918746
C1orf112	4.05172273940852
OLFML2A	6.14930460568729
HUS1	4.55148039147706
SFRS6	7.93584585451278
CXCR7	7.81819275163432
UIMC1	5.97213797892526
FXYD2	3.47740056765866
GOT2	7.75256868940004
ZNF667	4.44319802353264
TFEC	4.15334513759911
ATP7B	4.234478762811
RAB38	3.57881767828415
POLD2	6.08986535947574
PPM1H	4.24627306965463
DCX	3.25669920821069
NFYC	5.03835891031043
ZNF228	4.57856203487084
KIN	5.32078856948053
PLSCR4	7.82922654143023
HIST1H4I	3.8581885929024
PPARGC1A	3.04383182456694
HIG2	6.81218915715563
KCNK10	3.85372996922578
EXOC1	8.43846598646892
OR6A2	3.48339880800879
ETFA	8.98176402072313
PDAP1	5.18987883841063
C19orf6	3.27773080054549
POLRMT	3.79739159682831
ZNF146	8.26865007525279
MIA2	3.31750259831972
LY6G6E	3.07681380333436
EIF4E2	7.38063835347114
NENF	4.98964985007937
HOXB5	4.21791363266566
ZNF324	4.31761741708627
CUGBP1	4.75047106303494
ENTPD7	4.20989015402745
TTC13	6.3834923118885
GJB5	3.19146395518615
PRSS22	3.93471022135544
CYP3A5	3.23745550201668
MBOAT5	3.46640262375680
CUL4B	4.97317182981813
CENPJ	3.57485276140726
KIAA0664	7.06698211495415
PITX1	3.6907923808018
PDGFRB	6.69797959283056
RDX	6.44919638834716
CELSR3	3.81576693446815
JUND	6.08166108150455
ITSN1	5.58266045443189
CHRNB1	3.21094774349765
EHBP1L1	3.59778933338433
C19orf2	7.21870807829374
FETUB	3.02830235883268
CAMK2B	2.96929543302382
DCTN1	5.46707575402586
TNKS2	6.90345777688634
MRTO4	6.16728965620862
C1QBP	6.07215910634646
TTC3	7.78797776287648
NDUFB8	8.12433575270905
CADPS2	5.08821969008712
EDG2	5.17661465094032
MYF5	3.00677617243597
SEMA3G	6.28250322614767
IL23A	3.44703364704675
GJA9	3.43631466773960
R3HDM2	6.78202187611234
C5	4.04213861310773
SLC2A10	6.11595440357971
TRIM45	4.39659263109226
TSP50	3.7201014422084
PAQR3	4.7915554059359
ANKRD26	3.59334928888032
TCP1	8.24639732388316
TMED7	7.86903198832217
CMA1	2.8442629788985
PTCRA	4.23166871259371
HCRTR1	3.51224013137822
FST	4.59378443902336
PAWR	4.24554385719699
LDLR	5.01150470475194
ASTN2	3.82584591182479
SCRN1	5.94669312428871
GPATCH8	6.25107638978485
KIF4A	5.44950271198808
TANC2	4.23270929167346
ZMYM5	3.64446639274205
PGM1	9.07468390444443
ZNF586	4.8992830653793
POLR3G	3.70647209385131
CPD	5.21927341452337
SNCAIP	5.52677788428495
DCT	3.31144483587035
HLA-DOA	3.69172403405002
TANK	7.22587685360765
RCAN1	4.54426382962843
UPK1B	4.1655826757909
DNAJB4	5.91992542036175
UGT1A8	3.10316180404184
LIMD2	3.53526030511366
HIST1H4L	3.43776908647809
PECR	3.91468056560321
HSPA2	6.99918087211127
SERP1	8.89172567836367
TACR2	3.40805887620258
NUP85	6.21311401175314
CD177	3.35890548541609
GPR135	3.16415458029682
PIGG	7.5217806120052
LGR5	3.4260270630984
