Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D04_547316
Composite Element REF	Signal
ITSN1	5.0083581762569
CHRNB1	4.08531619644739
EHBP1L1	3.59154311898287
C19orf2	7.35735091352237
FETUB	3.01828050458175
CAMK2B	3.38475608853480
DCTN1	6.52432254695683
TNKS2	6.261940668971
MRTO4	7.27093531311792
C1QBP	7.30202484746162
TTC3	8.39205231582994
NDUFB8	8.6210788623355
CADPS2	5.86161892590767
EDG2	3.99388727373218
MYF5	3.08372440002129
SEMA3G	3.97959039279931
IL23A	3.67167138887768
GJA9	3.62870050475552
R3HDM2	7.76138434414257
C5	4.25764622966799
SLC2A10	6.89209195588459
TRIM45	5.30862566690254
TSP50	3.96838476076824
PAQR3	6.0481301193546
ANKRD26	3.45690733288083
TCP1	8.67292315596505
TMED7	6.80799956553926
CMA1	2.93264631070725
PTCRA	4.32829937747017
HCRTR1	3.49912399508738
FST	4.18455818859006
PAWR	4.06482185597421
LDLR	3.98714697643572
ASTN2	3.70226242902624
SCRN1	7.37898775140834
GPATCH8	6.41811189370426
KIF4A	5.96156485918252
TANC2	3.72231121093282
ZMYM5	4.13511962682401
PGM1	8.9083645821393
ZNF586	3.87270587533892
POLR3G	3.57504268286294
CPD	8.0091868936382
SNCAIP	4.05606693891503
DCT	3.62048989559355
HLA-DOA	3.61556049324337
TANK	6.28192776368961
RCAN1	4.59578833279133
UPK1B	6.69942884693517
DNAJB4	4.02928790107425
UGT1A8	2.99310406728884
LIMD2	3.36785062821629
HIST1H4L	3.46623681302332
PECR	4.2244439434779
HSPA2	4.06798310319084
SERP1	9.7236451141897
TACR2	3.26056683949869
NUP85	6.34287616748769
CD177	3.47753100953355
GPR135	3.23170122832212
PIGG	7.03359288413707
LGR5	6.9391937647694
JAK2	3.8485125330426
DPYSL4	3.29266117382155
TM9SF4	6.83806121476056
PTHR1	3.37403825275641
SIRPG	3.05798445365051
ZNF264	4.02422897773365
BICD1	5.45970401343926
RAB5A	8.08198916859313
FLJ13224	3.49031351195769
METTL5	8.98697587389735
HERC6	6.3283621128763
CASP1	5.27432482861298
USP9Y	2.82435863709844
LRP1B	3.22064756080119
XAF1	7.44406121093681
PLA2G4C	3.75578387748214
APOA2	3.22188208312754
SPAG6	3.01559948841738
KALRN	3.37071986180259
SECTM1	5.83041791270448
THOC7	8.24058988292074
IFNAR1	4.5117800350303
TCTA	5.91532961327490
NY-REN-7	3.26132896414935
TALDO1	9.19772063437628
B2M	11.5512062425187
LPPR4	2.94603804138174
SQLE	5.46822814449755
SEPHS1	7.13260813728994
EIF5A	6.71841685813422
FAM49A	4.49169483303578
YTHDC2	3.8655713082976
EHD2	4.39599270749074
NCF1	3.48905279591314
SPG7	5.50290863026265
ZNF614	3.35013985659425
HOXA5	6.2937143939176
NUP133	8.2983481765383
FGF12	4.89952481720413
SLMO2	8.04758292417738
INPP5B	4.47490384190934
PPID	6.42017779254925
SNTA1	4.68150963036464
IL20RA	4.89768355103462
UBE2J1	6.39318945518223
CACNG2	3.09089258705887
GCM1	3.12441653453204
ELF1	6.11444341659029
TLR5	4.41595769989169
TCFL5	7.21431482180716
C1orf107	6.28199764038475
C19orf22	6.63499346225953
SAFB2	6.08236835016063
MAP3K7IP1	3.837636690539
NCK2	7.32466044273717
OXA1L	9.27904246765683
KIAA0652	6.12261301374237
KLRG1	3.5531057894876
FRAG1	6.60475816747346
ZSCAN12	3.10590930761919
PSMD12	7.06501964726838
E2F4	5.12583988748086
CLEC4M	3.68523000793408
KIAA0999	5.158750199774
CLDN10	6.54349751652254
MGC13053	4.15043868248165
TAC1	2.70041601079936
GYPA	3.28861462709186
HPCAL4	4.39354796602925
TRAIP	4.02346300608890
MEX3D	4.40439293036254
KIAA0232	6.11762281131841
ERCC8	5.05901332898323
NFAT5	4.74074343631822
GPX4	9.0356794129176
CSPG4LYP1	3.1643870930731
KIAA0368	5.96139740796486
FBXO3	5.54255322151532
DVL1	6.96834599787347
CMKLR1	3.59245464198441
GPR157	3.41843453963132
TYMS	8.73451510038667
OR52A1	3.02823473195585
PEF1	6.83790092632229
ZNF750	5.28061234716227
ALG9	6.17257965131944
MCM5	5.20416364522949
SDK2	3.44365345528900
BAIAP3	3.84446030006674
RABGGTB	6.14289139177573
KCNK7	3.58836294403663
PTP4A3	4.93764231616534
ANKRD40	4.60816321015806
CALCOCO2	7.25191604759615
TMSL8	5.36973178546944
SNCA	4.22005338026803
ZNF551	3.93941313746771
HBQ1	3.29426652192713
ARHGAP26	4.86877461809125
GEMIN6	6.5954558906485
HRAS	5.48296362928253
KLRC4	3.00093184496088
BSDC1	5.53579661146658
DSC1	4.19963026346083
RNF43	5.66826143228296
NDUFAF1	6.9980550276009
MAP2K4	5.68283946121859
FOLR2	4.66972040054603
LYZL6	3.71123225079293
EPB41L3	3.77659768712165
TEKT2	5.66500165941273
CDKN2B	3.3607748972662
WSB1	5.72574557838822
ZNF480	3.39492330765113
MAP3K6	4.11222026708593
PROS1	5.70032287104226
PSMB8	7.71853559349461
HN1	7.48427135366251
MAS1	3.17105750209250
APOL1	5.90071583529383
CSHL1	3.07850917442968
ZBTB7C	3.03070282927549
AHCTF1	6.56099816752529
SAE2	9.01658524281289
ITGA2	3.96884798905333
AP2S1	8.182263249898
P15RS	7.63358994562842
MME	3.39273640994509
VAT1	6.87937244409605
MAST4	5.31761189716236
TUFM	9.50040986472585
KRT33B	3.46158773228133
THEG	3.713393332768
KCTD2	5.13060685268278
WDR26	7.94254054579438
MFI2	3.14159032280233
KRT34	3.15373694333458
NR4A3	3.41370358730232
SGSM3	4.81981617647709
ARSA	3.73598017547492
TOMM22	5.70565727458109
SOCS3	3.71486910662412
UNKL	3.78753425472669
POP4	8.08516688812783
BHLHB3	9.63807061025765
MALL	5.53397698827635
SOX15	3.41216213858496
CCNA2	5.45912126601685
PARK2	3.35806521022965
GPR124	4.07104052015135
TMEM132A	4.28353901740965
CGRRF1	6.00045843290333
RUVBL2	7.39554132628543
MCAT	4.94277640974399
WNT10B	3.33228696111967
ISCA1	7.06472911655361
RPAP1	4.93083377995438
C12orf48	4.57943414529328
RAI16	5.00623155637223
RPL27	9.177145613426
EPN1	3.91938810674650
MAGI1	3.09158130346478
GBX2	3.31090506730478
SLC35A1	8.00045275926784
GAL	7.89350734848746
SLC14A2	3.30427235192352
RDH11	7.10630270511883
ZNF518	4.38820875966196
PCYT1B	3.17331099402486
AUH	6.6026438224413
EIF3H	10.7667608055046
KIF1B	8.79222641296727
MBD2	4.72530301077831
AMOTL2	7.58663801427314
C6orf120	7.02167658412936
PIGT	7.88441444377417
PSRC1	5.87267685270388
PLA2G10	5.67888077070077
ALAS1	7.8519919349224
FOXO1	5.61093155946453
C17orf62	7.17969060568968
KIF5C	6.37814956757654
DUSP10	4.10218653913083
CRLF3	7.2844194487459
CLCNKB	3.6475352804952
PSMA5	9.0710999489555
FARS2	6.12354410396888
CCDC28A	6.43890680179734
AMPD3	4.49284227651772
PIAS1	7.24607441464339
ADCYAP1R1	4.11124394371186
TMEM134	7.17568811753392
CDH20	2.92200033526425
FBXO7	8.1612853752677
FLJ14213	4.71031668847514
ZNF3	6.04092361203925
LRRFIP1	7.03794637230966
TMEM49	7.72963443403634
CNOT2	8.56718170188737
CBX2	2.83079834820023
ZC3H14	7.82986351964037
ALDH5A1	6.63589189557707
HNT	3.10085190969842
SERPINA4	3.98039866309515
FLJ20920	5.29857737797905
CRTAP	6.07715652574635
DDX50	8.08073524291771
STYXL1	8.43315522489808
TK2	4.23404380019243
BLVRB	5.73819020988005
STMN1	6.59926363006606
GUCA2A	3.11094298703924
DPP6	3.23160543664317
GALNT10	4.52338248473693
STK39	5.86783609446321
MMP24	4.45828331828734
CKS2	9.28349676918763
RHO	3.77877668718276
BANF1	9.13842508762744
CR1	2.97871813881864
RPS6KA2	5.59556345049494
HMBS	6.54229555773593
C20orf112	3.64245995081384
SLC25A24	7.58106412452636
MRPL22	7.64535389006195
SLC25A15	5.32957245422708
GADD45B	4.54578404375933
TDP1	7.5145872925363
ZNF287	3.53071280065449
DAAM2	4.76836941041531
C11orf57	6.35209085485707
RFK	6.59530722860198
ZFYVE9	4.51019637530144
TCTN3	7.02226722348404
STCH	6.1836668780587
LOC283871	3.75488118337964
