Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C08_452026
Composite Element REF	Signal
USP9Y	2.90139448952260
LRP1B	2.87080690299406
XAF1	5.74880572635331
PLA2G4C	3.90850339553929
APOA2	3.30911562277356
SPAG6	3.08165051777801
KALRN	3.11487864655700
SECTM1	5.10198977251874
THOC7	8.56529665832875
IFNAR1	4.09333954181736
TCTA	6.04553538247885
NY-REN-7	4.16394996875298
TALDO1	8.80196455929196
B2M	11.2486071735867
LPPR4	3.79499633819634
SQLE	4.82285514656938
SEPHS1	5.63145818286
EIF5A	6.25995526989582
FAM49A	4.07988675395828
YTHDC2	4.30393121426492
EHD2	5.14415891814395
NCF1	3.61446149383207
SPG7	5.9428076346678
ZNF614	3.42837129137727
HOXA5	3.48191913239766
NUP133	6.78255146743339
FGF12	3.50576855525046
SLMO2	6.08842885792507
INPP5B	4.79426473681446
PPID	6.0784023253111
SNTA1	3.90873179010519
IL20RA	5.0174259012137
UBE2J1	5.32828074809062
CACNG2	3.04623759570278
GCM1	3.55672319417722
ELF1	6.62747866807083
TLR5	4.97820027757078
TCFL5	5.3290531176199
C1orf107	5.72986621909021
C19orf22	6.44302269267406
SAFB2	6.03538996080028
MAP3K7IP1	4.30975069334547
NCK2	7.41743419243668
OXA1L	8.5344477534585
KIAA0652	5.08907315661679
KLRG1	3.67066024670718
FRAG1	5.90450131558767
ZSCAN12	3.05012448447532
PSMD12	6.14311536454407
E2F4	5.12677204844355
CLEC4M	3.515144334525
KIAA0999	4.62038854133031
CLDN10	7.60041941058534
MGC13053	4.38151733972375
TAC1	2.83856524720779
GYPA	3.48272217581631
HPCAL4	3.37894146292311
TRAIP	3.69279958101119
MEX3D	4.16212836883261
KIAA0232	6.29702973611665
ERCC8	5.18607251668536
NFAT5	5.05436203219817
GPX4	9.34666007848762
CSPG4LYP1	3.49631474282056
KIAA0368	6.60173338999674
FBXO3	5.77737281757742
DVL1	6.31862458762694
CMKLR1	3.69335603869782
GPR157	3.38729373771999
TYMS	7.28155441768472
OR52A1	3.06703580090939
PEF1	6.34244081684991
ZNF750	3.21815124348456
ALG9	5.30463805550251
MCM5	4.67670390866914
SDK2	3.77217178565938
BAIAP3	3.97644333208381
RABGGTB	7.04225035318086
KCNK7	3.44116649720042
PTP4A3	4.45296435560217
ANKRD40	3.71176379418911
CALCOCO2	6.9401888357992
TMSL8	4.36789047706294
SNCA	4.47650135904143
ZNF551	3.98727789261538
HBQ1	3.76579476069872
ARHGAP26	4.5051973386719
GEMIN6	5.82598649309828
HRAS	5.09200783277641
KLRC4	2.80460992606727
BSDC1	5.39185217564694
DSC1	3.72632596304529
RNF43	5.00845803047019
NDUFAF1	5.41420275501598
MAP2K4	5.19604975350317
FOLR2	4.9411514234402
LYZL6	3.69087132891158
EPB41L3	3.6554487252978
TEKT2	4.59873212556245
CDKN2B	3.74158898284226
WSB1	6.48940038977151
ZNF480	3.25509097086815
MAP3K6	3.97952131569470
PROS1	7.34972261814408
PSMB8	7.44948835452026
HN1	6.01307062718459
MAS1	3.47993071450759
APOL1	5.53307790358943
CSHL1	3.71483924338241
ZBTB7C	2.93574381269527
AHCTF1	5.56449480617646
SAE2	8.40943159631004
ITGA2	4.60030415779699
AP2S1	7.77452850017561
P15RS	5.42431829444762
MME	3.84272678268034
VAT1	6.96081232426766
MAST4	6.36267452640041
TUFM	8.5357297027096
KRT33B	3.6723535795826
THEG	4.00825318509288
KCTD2	4.98101079863866
WDR26	7.73274481915256
MFI2	3.40364413902551
KRT34	3.17805433805828
NR4A3	3.59767989368843
SGSM3	4.34186000920221
ARSA	4.18182802209342
TOMM22	5.12941556525551
SOCS3	3.79442925304569
UNKL	3.94828978021738
POP4	6.9422127239253
BHLHB3	9.26049893202627
MALL	3.66258808613767
SOX15	3.65594577262963
CCNA2	3.63807061025765
PARK2	3.47751544606586
GPR124	4.71458973017744
TMEM132A	5.24497711426596
CGRRF1	5.71852514183048
RUVBL2	7.5725790372045
MCAT	6.06135569949095
WNT10B	3.80627840049842
ISCA1	6.33114848276635
RPAP1	4.15134548831626
C12orf48	4.14316613517722
RAI16	5.21924046974537
RPL27	9.4182732900364
EPN1	4.09687179563604
MAGI1	2.94350138728825
GBX2	3.61877206396373
SLC35A1	7.18974298496696
GAL	4.53159658454690
SLC14A2	3.53778572895017
RDH11	6.85774878800174
ZNF518	4.00319808174779
PCYT1B	3.33717910870602
AUH	6.94574003195802
EIF3H	10.5822971754813
KIF1B	5.46984051750136
MBD2	4.58433049805112
AMOTL2	8.80693237251726
C6orf120	5.80852137723139
PIGT	6.8268239726479
PSRC1	3.71105187434033
PLA2G10	3.84309660453554
ALAS1	5.93222565742275
FOXO1	6.47026179571397
C17orf62	6.50783165190233
KIF5C	4.87638345257831
DUSP10	4.01978497945952
CRLF3	6.17052169604656
CLCNKB	3.44529086025418
PSMA5	7.98955093754259
FARS2	5.70316209399136
CCDC28A	6.60894319120634
AMPD3	5.03971193701449
PIAS1	6.76922596786126
ADCYAP1R1	3.39916577294392
TMEM134	6.00659231687866
CDH20	3.0881708313584
FBXO7	7.52538555391827
FLJ14213	4.37991215203998
ZNF3	5.57193302372171
LRRFIP1	7.39581847251878
TMEM49	8.23976283117874
CNOT2	7.12572324618558
CBX2	3.30126871295848
ZC3H14	6.51448544181212
ALDH5A1	5.74680941398658
HNT	4.61787769560721
