Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C10_433694
Composite Element REF	Signal
CUGBP1	4.68483817065948
ENTPD7	4.35307923420703
TTC13	5.81576449185496
GJB5	3.28077954730208
PRSS22	4.41504708727977
CYP3A5	4.60687913006702
MBOAT5	4.7307681151936
CUL4B	5.7342683470013
CENPJ	3.34067854294849
KIAA0664	6.82700924841572
PITX1	3.36281121712611
PDGFRB	4.77788114845794
RDX	5.66312438657788
CELSR3	4.23766409901276
JUND	6.94535622512748
ITSN1	4.88690360081546
CHRNB1	3.54672399017791
EHBP1L1	3.88529494998631
C19orf2	7.56138957502288
FETUB	3.17581662262979
CAMK2B	3.23670795196051
DCTN1	6.15306088041869
TNKS2	7.42658775795367
MRTO4	8.08333908158209
C1QBP	6.93487486127056
TTC3	7.15502185729495
NDUFB8	7.92199134916049
CADPS2	5.35462671167047
EDG2	4.38502807082911
MYF5	2.99510438606502
SEMA3G	3.60110994037822
IL23A	3.64940563319382
GJA9	3.72646286318976
R3HDM2	6.50290365428224
C5	3.94426148444806
SLC2A10	6.95791787094782
TRIM45	4.94785030535844
TSP50	4.03710770068256
PAQR3	5.15521275827001
ANKRD26	3.58572544330099
TCP1	7.717232209694
TMED7	7.68527738917677
CMA1	2.96771562505252
PTCRA	4.4031078795063
HCRTR1	3.35148116483067
FST	3.8792651130904
PAWR	4.40887753526212
LDLR	5.38123149024792
ASTN2	4.03762587465836
SCRN1	5.77896913888528
GPATCH8	6.72434918273494
KIF4A	6.06234083279278
TANC2	5.20987156681696
ZMYM5	4.13088300288381
PGM1	7.93758987806912
ZNF586	6.03731100392634
POLR3G	3.59497797756524
CPD	7.01643579025485
SNCAIP	3.80536936793181
DCT	3.37444361015657
HLA-DOA	3.73285141189838
TANK	7.22153593924189
RCAN1	5.5953568602076
UPK1B	5.35633858892605
DNAJB4	4.61569563470508
UGT1A8	3.01753566394786
LIMD2	4.13257644732557
HIST1H4L	3.36666011953758
PECR	4.96469093034926
HSPA2	4.2317844183813
SERP1	8.86504754266773
TACR2	3.45662162667382
NUP85	7.5058309331825
CD177	3.49517750200216
GPR135	3.22357930121148
PIGG	5.68023814078705
LGR5	3.20495659507173
JAK2	3.58640001788591
DPYSL4	3.25547382076403
TM9SF4	5.72304625020367
PTHR1	3.45213790866989
SIRPG	3.09737827020325
ZNF264	5.50850132712392
BICD1	6.10631181175153
RAB5A	8.32308129348974
FLJ13224	3.55134543595739
METTL5	8.98773630925174
HERC6	6.52833701715034
CASP1	5.34323777480886
USP9Y	3.01088608683207
LRP1B	2.80842298110911
XAF1	8.74267466694405
PLA2G4C	3.50780588895416
APOA2	2.91333694119499
SPAG6	3.12625168192691
KALRN	3.33271965060459
SECTM1	6.34228590340862
THOC7	9.28266511756047
IFNAR1	3.80625617341702
TCTA	6.76034595657188
NY-REN-7	4.25299855990567
TALDO1	9.30069915279377
B2M	11.6482625561618
LPPR4	3.18295909900271
SQLE	6.16563542182242
SEPHS1	6.86918235867749
EIF5A	7.28803328714739
FAM49A	4.04640997302884
YTHDC2	4.74915990301767
EHD2	3.91235451236226
NCF1	3.53569672171953
SPG7	5.87693795720547
ZNF614	3.47563733390911
HOXA5	3.18596351758827
NUP133	6.96649515456892
FGF12	3.56644001180538
SLMO2	7.84711155490076
INPP5B	5.00279802241417
PPID	5.70393788708108
SNTA1	4.00227680062034
IL20RA	5.9237459359186
UBE2J1	6.34717784861297
CACNG2	3.13671988308111
GCM1	3.36908250138133
ELF1	5.79768695278152
TLR5	4.88005513664148
TCFL5	5.51180488277506
C1orf107	5.9426098952293
C19orf22	6.23229297441577
SAFB2	5.88508507059062
MAP3K7IP1	3.86729872638584
NCK2	7.70536092005984
OXA1L	8.2814307493935
KIAA0652	5.62102697670941
KLRG1	3.54499213393233
FRAG1	6.20136297054147
ZSCAN12	2.86039110280530
PSMD12	8.87961577916197
E2F4	5.29945077849923
CLEC4M	3.85265875271616
KIAA0999	5.14996987555228
CLDN10	9.2126682549826
MGC13053	4.41649410169713
TAC1	2.77050410460538
GYPA	3.44989786409401
HPCAL4	3.33016424812002
TRAIP	4.20621877394322
MEX3D	3.84149620537665
KIAA0232	7.0712962267012
ERCC8	4.40482752157904
NFAT5	5.3567733926831
GPX4	8.6298790747747
CSPG4LYP1	3.45702260182198
KIAA0368	6.78424064022846
FBXO3	7.15721353571676
DVL1	7.11424704359478
CMKLR1	3.67757749927262
GPR157	3.56501419493293
TYMS	6.57326764544045
OR52A1	3.31191499350527
PEF1	6.81439030618514
ZNF750	2.9760837825478
ALG9	6.30739497602486
MCM5	5.52774973637487
SDK2	3.50162207146908
BAIAP3	3.87307898491711
RABGGTB	7.9513631619386
KCNK7	3.29596310495317
PTP4A3	4.47386389339131
ANKRD40	4.53892977861215
CALCOCO2	8.20595906085114
TMSL8	3.95815158852444
SNCA	4.30992440084622
ZNF551	4.37057620300788
HBQ1	3.59823393910316
ARHGAP26	6.08870737775736
GEMIN6	7.76968220058814
HRAS	6.43547964239367
KLRC4	2.85330974579310
BSDC1	6.15190440642474
DSC1	3.43309420989743
RNF43	7.15060741569037
NDUFAF1	6.35285287457365
MAP2K4	5.70313515657175
FOLR2	4.65093668924085
LYZL6	3.53776085080245
EPB41L3	3.07825425453356
TEKT2	4.75432339071141
CDKN2B	3.46042252372166
WSB1	5.6427626812486
ZNF480	3.37497007301359
MAP3K6	4.66767528793154
PROS1	4.19990998422781
PSMB8	8.53827846480699
HN1	8.79850067458499
MAS1	3.57304223064352
APOL1	6.58839920368171
CSHL1	3.56480760129612
ZBTB7C	2.86160207846313
AHCTF1	6.1860572482371
SAE2	9.43960987343326
ITGA2	4.03531343505642
AP2S1	7.39530767156705
P15RS	7.3680865067005
MME	3.44096874881021
VAT1	6.89316754382432
MAST4	5.57395627175523
TUFM	9.41676699463807
KRT33B	3.5563554292912
THEG	3.76884902815403
KCTD2	5.28723003866103
WDR26	8.43222787517413
MFI2	3.62527864640235
KRT34	3.09195571355873
NR4A3	5.03488441296306
SGSM3	4.48206689738107
ARSA	3.92734096532857
TOMM22	4.56813379890781
SOCS3	4.31099975626316
UNKL	3.94748275523457
POP4	7.54042617694897
BHLHB3	9.53049504439528
MALL	3.96723268042366
SOX15	3.56880864712067
CCNA2	5.09866616539902
PARK2	3.25641862314750
GPR124	3.95170882924199
TMEM132A	5.17497001406716
