Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
PITX1	3.25846827142706
PDGFRB	5.93124203245165
RDX	5.68616525897876
CELSR3	3.78173830085063
JUND	6.03378542717048
ITSN1	4.68311723431863
CHRNB1	4.02881342106932
EHBP1L1	3.77576890185109
C19orf2	8.35296989656984
FETUB	3.20511877297803
CAMK2B	3.20739822516353
DCTN1	6.16397898145768
TNKS2	6.82795270950028
MRTO4	7.3222794470522
C1QBP	6.04172063853024
TTC3	7.02975582316677
NDUFB8	9.25076565609418
CADPS2	4.58750228207432
EDG2	5.32981015877120
MYF5	3.13455260014693
SEMA3G	4.01329165996905
IL23A	3.82293603598700
GJA9	3.61368527807675
R3HDM2	6.09759479411457
C5	3.9577128057099
SLC2A10	6.37909222567318
TRIM45	4.86593447173004
TSP50	4.08457177095032
PAQR3	5.15524318270975
ANKRD26	3.23913392546615
TCP1	8.699534011395
TMED7	6.83144197827155
CMA1	2.97490003668725
PTCRA	4.36898062898942
HCRTR1	3.92091379103089
FST	4.34003262416148
PAWR	4.10689803011816
LDLR	4.72563845931711
ASTN2	4.08465026912267
SCRN1	6.28067450087414
GPATCH8	5.63631440308711
KIF4A	5.93819504501514
TANC2	3.29836118284166
ZMYM5	3.47941677506219
PGM1	9.16343869680413
ZNF586	3.68434423776544
POLR3G	3.46365370622256
CPD	5.62032040846925
SNCAIP	4.66001766114516
DCT	3.39446845154557
HLA-DOA	3.89733097102192
TANK	6.10519446218823
RCAN1	4.43747346874482
UPK1B	4.46527456038498
DNAJB4	4.88993066822412
UGT1A8	2.82091078363717
LIMD2	3.85642600357215
HIST1H4L	3.47553591179665
PECR	4.34285121635843
HSPA2	4.82908492024699
SERP1	8.97145356653253
TACR2	3.22386781832042
NUP85	6.88570549529945
CD177	3.43939098509848
GPR135	3.34953082610095
PIGG	5.8870165958403
LGR5	3.9197782472428
JAK2	3.71227404282664
DPYSL4	3.44649990083757
TM9SF4	6.09532924934628
PTHR1	3.38477110487525
SIRPG	3.05801204302774
ZNF264	4.54359474380811
BICD1	5.47950534307943
RAB5A	7.01970439811588
FLJ13224	3.62622615771570
METTL5	9.268559132933
HERC6	5.75128998442471
CASP1	6.67120359960458
USP9Y	2.75384381427987
LRP1B	3.14611259700799
XAF1	5.68122736462579
PLA2G4C	3.87490791963312
APOA2	3.24992605142071
SPAG6	3.10017482585905
KALRN	3.52081935314288
SECTM1	5.2544877437477
THOC7	7.96557214428838
IFNAR1	4.1248183253409
TCTA	5.88505834462515
NY-REN-7	3.26615300514361
TALDO1	9.08463567267835
B2M	11.9059642519567
LPPR4	4.63830377002131
SQLE	7.02744742981258
SEPHS1	7.08932196907158
EIF5A	5.91209579988608
FAM49A	4.47602057090411
YTHDC2	3.83112889941875
EHD2	4.74529312884037
NCF1	4.35696570150976
SPG7	5.80598479838222
ZNF614	3.40433367549958
HOXA5	5.64362007267075
NUP133	7.16669223593167
FGF12	3.78676636046374
SLMO2	7.07034356340112
INPP5B	4.56589313693324
PPID	7.74212837970116
SNTA1	4.06337796393053
IL20RA	3.71012316175965
UBE2J1	5.46163181830763
CACNG2	4.87007484236894
GCM1	3.29836719646917
ELF1	6.33840139425875
TLR5	4.64803067121159
