Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_C05_586182
Composite Element REF	Signal
KLKB1	3.09956468099974
HDAC3	6.50029740295465
HP	10.1282870214307
SCHIP1	5.28287590264501
BTK	4.4095729915545
KRCC1	9.8321750650762
PRND	2.77690827106613
C6orf27	3.64831917739753
PIGL	4.18519076361314
CLCA1	3.78117118320569
C1orf112	4.72149183605394
OLFML2A	4.73485058420735
HUS1	5.05402876069973
SFRS6	7.73427279245025
CXCR7	5.40027373483144
UIMC1	6.51032642110884
FXYD2	3.42455690841709
GOT2	9.05843589492162
ZNF667	4.74225186241256
TFEC	5.46858389867161
ATP7B	3.92798642248339
RAB38	4.84177173021791
POLD2	7.69976072963454
PPM1H	6.13295762201151
DCX	3.28042884358864
NFYC	5.70315543891094
ZNF228	3.94379467381949
KIN	6.22607478022345
PLSCR4	6.919147114324
HIST1H4I	4.84566758593613
PPARGC1A	2.97376208164315
HIG2	9.98873582023526
KCNK10	3.97468048125235
EXOC1	8.67058277794739
OR6A2	3.71855921397663
ETFA	9.57053868478905
PDAP1	5.80615418016153
C19orf6	3.64766921632329
POLRMT	4.52827763203152
ZNF146	8.2500225144098
MIA2	3.18662781556630
LY6G6E	3.00364640766778
EIF4E2	7.62589430420034
NENF	5.32837457744655
HOXB5	5.21035758080392
ZNF324	5.22780819774043
CUGBP1	5.0407463980744
ENTPD7	4.07367791450944
TTC13	6.27810116599197
GJB5	3.794137593277
PRSS22	4.90677685326513
CYP3A5	6.18732533923796
MBOAT5	4.03906981346263
CUL4B	5.68924898872461
CENPJ	3.8587149489634
KIAA0664	6.46573528140161
PITX1	3.35776769668478
PDGFRB	5.06379464805385
RDX	6.53529911095852
CELSR3	4.15272118304686
JUND	5.62815047247788
ITSN1	4.85636273930611
CHRNB1	4.06575220885612
EHBP1L1	4.73011673322618
C19orf2	7.71294475570907
FETUB	3.09023698400292
CAMK2B	3.07277064793768
DCTN1	6.45602634899633
TNKS2	6.65286805310275
MRTO4	7.63517020388465
C1QBP	6.66699293897938
TTC3	7.79837973829437
NDUFB8	7.9662024858501
CADPS2	7.00701836722396
EDG2	4.70901984755854
MYF5	3.12163800984396
SEMA3G	3.3135861172242
IL23A	3.93764474048328
GJA9	3.79211815907591
R3HDM2	7.42454793868101
C5	4.57157652251927
SLC2A10	4.38749464270881
TRIM45	4.92179454852983
TSP50	3.56134388909175
PAQR3	5.65938852170586
ANKRD26	3.66188376004326
TCP1	8.1714437640076
TMED7	8.31499901747464
CMA1	2.87074285546308
PTCRA	4.29792757619618
HCRTR1	3.24675146945431
FST	4.57058547011980
PAWR	4.49913786699244
LDLR	6.31154184527508
ASTN2	3.8420661026564
SCRN1	7.88896662037831
GPATCH8	6.33283435711413
KIF4A	6.93023806166824
TANC2	3.38946920108569
ZMYM5	3.68043217654643
PGM1	8.57535077580025
ZNF586	6.06924094408951
POLR3G	4.0499356050908
CPD	7.91198548342579
SNCAIP	3.50418676731474
DCT	3.49312627610384
HLA-DOA	3.37053815763496
TANK	7.73157623263354
RCAN1	6.30480778510913
UPK1B	3.39012289384615
DNAJB4	4.45855355203292
UGT1A8	3.07921229179845
LIMD2	3.18519333510527
HIST1H4L	3.66651918754352
PECR	5.28741704768187
HSPA2	5.57135755633522
SERP1	9.2772805884372
TACR2	3.54377525767758
NUP85	7.39294677474734
CD177	3.56190670414677
GPR135	3.27264202864322
PIGG	7.76030179000897
LGR5	3.20315873554655
JAK2	5.48814353450866
DPYSL4	3.54172149404246
TM9SF4	6.3145456293482
PTHR1	3.42839570103691
SIRPG	3.16006051972197
ZNF264	6.53961818684207
BICD1	6.44693006777599
RAB5A	7.9301471754089
FLJ13224	2.90802340176569
METTL5	8.91010917790952
HERC6	7.13566091368239
CASP1	7.21693142796942
USP9Y	2.84277751055133
LRP1B	2.74330930929131
XAF1	8.81104762257453
PLA2G4C	3.7992337883196
APOA2	2.97873559255816
SPAG6	2.98619559039178
KALRN	3.14359745774753
SECTM1	6.34523427023313
THOC7	9.42577281645662
IFNAR1	4.49266040921115
TCTA	6.7206527928856
NY-REN-7	4.60775460928139
TALDO1	9.77942630920797
B2M	12.3125790223562
LPPR4	3.66330466562775
SQLE	6.38111528581722
SEPHS1	7.22577714477497
EIF5A	6.55845154390867
FAM49A	4.59793421740702
YTHDC2	5.39390429356409
EHD2	4.7089767116702
NCF1	3.92540412716459
SPG7	7.12009767855541
ZNF614	3.50977174302261
HOXA5	3.02433129076790
NUP133	7.85182089412717
FGF12	3.59254497564413
SLMO2	8.67648300717065
INPP5B	4.78251697391775
PPID	6.5583772689758
SNTA1	4.36402561754069
IL20RA	4.13975711191764
UBE2J1	6.26316631049684
CACNG2	3.36632461574701
GCM1	3.22820466892267
ELF1	6.82738786993838
TLR5	6.21952365208792
TCFL5	7.83207266594776
C1orf107	6.6248322612029
C19orf22	7.83845406740121
SAFB2	6.17626721356459
MAP3K7IP1	3.6722846195781
NCK2	8.13056616397038
OXA1L	7.72951349693884
KIAA0652	6.01027676623829
KLRG1	3.42497970413062
FRAG1	6.55445887084886
ZSCAN12	3.10846431643192
PSMD12	7.7851980088367
E2F4	5.92328168877656
CLEC4M	3.31901286607749
KIAA0999	5.73304822557311
CLDN10	4.86954922670314
MGC13053	4.44482899591046
TAC1	2.69943064739827
GYPA	3.32925271611437
HPCAL4	3.22442465959536
TRAIP	4.8312398718484
MEX3D	5.22453653196521
KIAA0232	7.56999730059423
ERCC8	5.04684723604905
NFAT5	8.1984759166184
GPX4	9.56085279052698
CSPG4LYP1	3.34243417029248
KIAA0368	6.91716945652481
FBXO3	6.65328977419224
DVL1	6.08278656898632
CMKLR1	3.64094159514104
GPR157	3.66205843367852
TYMS	7.74784478511339
OR52A1	3.21616487343721
PEF1	6.53643896742204
ZNF750	2.96357081908227
ALG9	6.30488366268261
MCM5	5.95613417372576
SDK2	3.40248333587907
BAIAP3	3.68742715925230
RABGGTB	7.66224547514925
KCNK7	3.49959568669251
PTP4A3	6.58180649458872
ANKRD40	3.66515686789938
CALCOCO2	7.64952733547659
TMSL8	3.96390907749275
SNCA	4.06507143352674
ZNF551	4.97448820060510
HBQ1	3.36593725529465
ARHGAP26	5.88600034555603
GEMIN6	6.86020172790975
HRAS	6.07499398949901
KLRC4	2.80191247449052
BSDC1	5.58696184619885
DSC1	3.68363332391613
RNF43	5.60623135125933
NDUFAF1	5.9391449708856
MAP2K4	3.75108910402373
FOLR2	4.29742694813639
LYZL6	3.50687484842576
EPB41L3	4.225182572377
TEKT2	3.31014303167604
CDKN2B	3.32286832715805
WSB1	6.99571514481245
ZNF480	3.74007111091631
MAP3K6	4.25839020046765
PROS1	4.95587494927834
PSMB8	9.6349281199612
HN1	7.61816086580132
MAS1	3.21625118482334
APOL1	8.10191413521466
CSHL1	3.33364318873476
ZBTB7C	3.24724043304830
AHCTF1	5.76334358222434
SAE2	9.26141448069898
ITGA2	4.17757282787318
AP2S1	7.86704236683629
P15RS	7.3905974886935
MME	3.38496380070541
VAT1	6.26614199337738
MAST4	6.92796183548602
TUFM	8.90010727085427
KRT33B	3.43211060797267
THEG	3.69720642226587
KCTD2	5.29713107896140
WDR26	8.47393781996819
MFI2	3.28135306217382
KRT34	2.9693467312992
NR4A3	3.42350809652768
SGSM3	4.94861444207864
ARSA	3.70525417533475
TOMM22	5.78384932386272
SOCS3	3.89813192974570
UNKL	4.67094858409621
POP4	8.00547721209704
BHLHB3	8.96462333928737
MALL	3.20732136296151
SOX15	3.19808438256782
CCNA2	6.45595638868108
PARK2	3.09093973893721
GPR124	4.18040514976188
TMEM132A	6.16555262195703
CGRRF1	5.63334881597911
RUVBL2	7.01296512619914
MCAT	5.80793502573904
WNT10B	3.53749924887736
ISCA1	7.19041458842991
RPAP1	3.91176528226921
C12orf48	5.80690592834057
RAI16	5.74611058473068
RPL27	9.41273289783744
EPN1	3.68224956503407
MAGI1	3.37902689708248
GBX2	3.03883076407233
SLC35A1	7.5030933362217
GAL	3.73559217511963
SLC14A2	3.56119819725054
RDH11	7.43048356204745
ZNF518	4.47304376014548
PCYT1B	3.09442438620999
AUH	8.55759411310334
EIF3H	11.0619678826876
KIF1B	7.28690627395271
MBD2	4.8231084941934
AMOTL2	7.8216133332491
C6orf120	6.21862132257622
PIGT	7.57939397647519
PSRC1	6.73273426293749
PLA2G10	3.89609612335057
ALAS1	7.83473769828629
FOXO1	5.02782856671657
C17orf62	7.74834929252459
KIF5C	5.87208002164751
DUSP10	6.69477137347922
CRLF3	6.93004779867595
CLCNKB	3.51750444053830
PSMA5	9.49596978667915
FARS2	4.99497814760254
CCDC28A	6.7383808329512
AMPD3	5.00443582945856
PIAS1	7.74698650221262
ADCYAP1R1	3.39221481919458
TMEM134	7.48913526054597
CDH20	2.88126083623067
FBXO7	7.8740025629961
FLJ14213	5.05931508131091
