Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_E02
Composite Element REF	Signal
SLC22A2	3.84742825807587
SERPINF1	4.93413833405246
C20orf27	6.89328856790389
OR7A17	3.13230674069573
RPS6KA5	3.82774265260975
LHB	3.52592494578451
TAOK3	4.87945396544742
STK25	6.79325789343863
SLC12A4	3.75043231806043
BRCA1	3.35669280873796
GBL	5.74725998292679
C14orf108	8.73533775465889
CDC25B	7.19849285271526
BMP3	3.25387474503643
MAP1LC3C	3.17297771004747
TMEM180	3.37061464643903
CRYGC	3.64520577349096
SLK	7.20811913030507
POU3F1	3.22033300775291
C20orf32	3.70845371793452
USP52	6.06721293397341
HIGD1B	3.87012894591292
BAZ1B	6.22785592689205
USP6NL	6.31821316870953
SLCO2B1	4.50439713407258
ABCD4	4.35446368505263
DIMT1L	5.80606536048887
SLC25A46	8.31020406482438
LARP7	7.67340872053236
TEK	3.42937941160307
CD160	3.65069833222653
TERF2IP	7.64973727519316
PHF20	6.01254781891084
COL1A1	5.81616326695679
KIAA0090	6.34404811308365
GTPBP1	4.52631368462514
GRK5	3.73171698526393
AP1S2	5.14628199231152
RAB33B	4.96220604588368
CA11	6.92054730871942
ALDOC	4.3829105235413
NUDT1	5.63079324868427
ZNF212	5.27383301148496
ACBD3	7.40089897500725
ZNF83	7.58377705335525
PRDM2	5.48249828453498
GDPD5	6.84236444367413
PDCD4	6.59244414831381
CEP350	5.89941805308634
FOXP3	3.2770208686459
SMYD3	7.23039694867043
CST7	3.69595910192225
SELL	4.0075960472947
CIAO1	6.70963097606509
LGI2	3.62732135653274
WDR45	7.36775066807197
ANKRD6	8.3520538010359
LTBP4	4.50213726982148
PSCD3	3.2517321794784
PYY	3.12167705426843
KCNC1	3.19892652891286
SIRT6	4.69388283216778
CCL19	3.81862245018942
ARHGEF9	4.47907491073187
ABR	5.14189430668716
C10orf22	7.40818083635078
STK17A	5.34642269942738
FOXE1	3.42394889037386
GML	3.04238630028398
CNGA3	2.89170306101505
CD38	3.41480702411809
ZDHHC6	7.82252755638931
NEFH	3.12499276267871
PGBD5	3.66636315027172
CTDSP2	6.60430391597966
RMND5B	5.45802780759679
ZNF257	3.25117450991595
DUSP4	3.34933252870192
FLJ22167	6.50136780514333
EXOSC7	7.39907878427314
ROR2	4.695462165624
FOXM1	5.18376045520338
ZBTB48	5.26124774743103
BUD31	8.24749716677612
MAOA	4.68466173960978
CCDC41	4.9985697715054
TNNT3	3.74997701221615
FBXO11	5.51892191783271
GYPC	6.10899321030861
PLIN	3.57158693763026
RFXAP	3.48452508606816
C6orf15	4.92538511058544
RNF4	8.4387926138615
F8A1	8.11663300691735
PPP1R3D	4.58278987127487
GRB2	6.60277157236302
TPM3	3.16910689647516
SYT13	3.62783675782905
EPB42	3.4351550624152
RP5-1077B9.4	6.4818851443106
EIF1	9.76847279762007
CETN3	6.95457040736325
FPGT	6.02199810350539
PRY	3.27704116537383
NTHL1	5.19563563524982
POLR2B	9.13090263612432
RPS28	11.9539033553558
GDF10	3.6733072422023
COQ9	8.58968360254594
P2RX3	2.90213457606861
GCC2	7.54636379490503
RARRES3	8.63181095767966
PLXNA1	6.56728442631792
WBP4	4.24176659492932
KIAA0100	6.42020234123192
PMF1	8.1223491798254
HS2ST1	5.86910232631286
CRELD2	6.72154210889462
C8G	2.98532862504204
CD82	5.46343120146296
PMM1	5.68394562962546
CBLL1	5.79941058537381
LIM2	3.56403979496273
VAX2	3.44478641508485
SETDB1	5.74616390327586
LRAP	4.72501482680766
GCLM	7.80382732711092
CPEB3	4.99407897230411
PPM1A	5.97518176075612
INTS1	4.60011254100231
MMP16	3.24571009437913
CAMTA1	5.50154602708833
SAMSN1	5.90089269005815
DRD3	2.81083430532543
GMPPA	5.5511285418582
C11orf73	7.24104194000082
AIPL1	3.87517310563855
PTP4A2	9.66104955670875
IL24	3.30880117603214
BDKRB1	3.14103035714824
HPCA	3.38698298989363
MLF1	6.77350396037727
SEC14L1	5.98221479023592
CHFR	5.29071931988799
EMILIN1	2.85718068617660
THADA	7.11292098530904
TAF12	6.96968960991145
NDUFS4	9.43819602527065
ID1	5.26685329522151
PIK3CB	4.57972829888432
COL18A1	8.04843432267254
PDZD3	3.2215526067859
TBC1D17	5.53354278381426
COX8A	10.7511721774898
CDCA4	5.54283114450378
C2orf44	4.22113763091105
