Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
ARID5A	4.53270263409338
RBM6	5.91527690500745
UBE2N	6.09733599039874
KLF4	4.87753877337691
MGC4172	4.62702115896805
LMO4	7.49924372713822
KLKB1	3.17563375826047
HDAC3	6.31998021205747
HP	3.51454286916842
SCHIP1	5.74987576816952
BTK	4.531203554412
KRCC1	6.91878846125995
PRND	3.09528352864356
C6orf27	3.73624924619515
PIGL	3.8130425132265
CLCA1	3.7150754080639
C1orf112	3.83808911428968
OLFML2A	5.07685538436998
HUS1	4.38137818497512
SFRS6	6.16515711037585
CXCR7	6.53832109749918
UIMC1	6.12907512899447
FXYD2	3.62122321532627
GOT2	7.49810879373104
ZNF667	3.20740180005001
TFEC	3.93567359294417
ATP7B	3.79764856487379
RAB38	3.37310675979475
POLD2	5.88636724200716
PPM1H	3.78092938002726
DCX	3.28436381088179
NFYC	4.74796870118735
ZNF228	4.03312452431224
KIN	5.61426062569784
PLSCR4	6.17330702862693
HIST1H4I	4.12490633524157
PPARGC1A	3.88140181522903
HIG2	6.78256466473429
KCNK10	4.86128951322057
EXOC1	7.82169721143352
OR6A2	3.61268664020438
ETFA	7.24420383162459
PDAP1	4.70327438064008
C19orf6	3.56124761757199
POLRMT	4.12846796243763
ZNF146	7.48316050332065
MIA2	3.43998847438155
LY6G6E	3.34728059624449
EIF4E2	7.10941876847834
NENF	5.27339794497708
HOXB5	4.35960735167079
ZNF324	4.89305141783367
CUGBP1	4.36916718981559
ENTPD7	4.25895457418877
TTC13	5.9411337777475
GJB5	3.24509669146944
PRSS22	4.6282787653423
CYP3A5	3.45965599164377
MBOAT5	4.31519448763703
CUL4B	4.35356092132448
CENPJ	3.96436713424494
KIAA0664	7.16397683238845
PITX1	3.61809935076578
PDGFRB	6.46400173761333
RDX	5.26520969279775
CELSR3	3.74862486931066
JUND	6.36560211727169
ITSN1	5.06695945789651
CHRNB1	3.12303852199558
EHBP1L1	4.14249273391481
C19orf2	5.72638999692432
FETUB	3.2608137488207
CAMK2B	3.44160002997405
DCTN1	5.58134415290291
TNKS2	6.45483442888533
MRTO4	5.6161987120966
C1QBP	5.36458741975465
TTC3	7.03618703041372
NDUFB8	8.16414352925186
CADPS2	4.76735473231407
EDG2	5.70958070710607
MYF5	3.14065458582953
SEMA3G	3.71939832626743
IL23A	4.10579823569828
GJA9	3.5592687827518
R3HDM2	6.02329497249744
C5	3.98705778352681
SLC2A10	5.26783653026806
TRIM45	4.78233469448786
TSP50	3.74524234308759
PAQR3	4.29931507825578
ANKRD26	3.29389411121344
TCP1	7.56023229625766
TMED7	6.37364685206548
CMA1	3.09611239384123
PTCRA	4.44505400901885
