Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B08_547200
Composite Element REF	Signal
CNTN2	3.42900453089995
ASNSD1	7.2079831970317
FUT4	4.47059098500852
DBH	3.26566011054413
CD53	7.7614440000505
HIST1H2BJ	3.88088133821347
TFAP2B	3.14824335303425
ACF	3.59827551801370
TMEM11	6.04908326384182
CDH8	3.19130866990849
C3orf32	4.06413126463023
AGPS	4.55646910145359
C4orf18	3.47190165949872
PCCB	7.07746607986124
IPO13	5.74578406819774
PECI	6.65415557837453
UNG	7.1111230908774
C6orf105	3.45419636023142
GSTP1	8.24410160594513
SUV420H1	8.06492905794656
ARHGAP15	5.04046582051216
LTBR	6.68433567591235
TDRKH	3.24020073259557
PSG4	3.32433686689124
SLC9A3R1	6.42915947637065
NBPF3	9.08981251638925
SLC9A3	3.43076441173409
OSBP	6.97451988447794
PRR5	5.07362578256711
CHMP7	6.24272855343929
ADRA1A	2.94000785889457
ASAH1	7.47753014490086
FKBP4	7.02844434809391
ZNF350	5.61331567600203
DOM3Z	4.98022588650896
GIPR	3.63321509637511
AHI1	4.85601663657142
BST1	6.24231264616158
NCR2	3.54960090947654
NADSYN1	5.57138498679539
UBE2W	7.04969402936641
RGS14	3.69515914161019
KRT15	3.75312542609172
SCN11A	3.72162471108608
GFI1	3.84586127035478
FHL1	5.47976275156056
SMC6	6.61732239966668
GATA1	3.65116635541283
OSGEP	4.88223284449237
ARMC6	5.00142795296674
HK3	3.52594907333273
PSMD5	7.61434994132465
RSU1	8.0598222065764
RPL4	11.6478311303326
MAD2L1	6.1184948683592
RBPMS	6.14506672340455
EIF4A3	9.23734448110818
E4F1	5.75689720315977
DLEC1	3.46020477050770
PRPF3	6.49618940244434
EMR1	3.89338995363656
CHMP2B	6.79320192054655
CAMSAP1	4.20013336250542
RPS21	8.89893760898975
XCR1	3.14574436558337
ARID5A	4.61096624284421
RBM6	7.17594389838478
UBE2N	7.4786705154985
KLF4	5.52652526739744
MGC4172	6.56722848013393
LMO4	7.5421720233993
KLKB1	3.26245935324033
HDAC3	5.7138459646626
HP	7.45993497094141
SCHIP1	4.82818763081431
BTK	4.63396569494656
KRCC1	8.40365115953043
PRND	3.2978011063566
C6orf27	3.31811150271348
PIGL	3.49803317281519
CLCA1	3.70312448710178
C1orf112	4.29942981637038
OLFML2A	8.04153015431335
HUS1	4.92537822833312
SFRS6	7.57594553571152
CXCR7	5.43581699081086
UIMC1	6.21536532239428
FXYD2	3.58991180268421
GOT2	7.42128630811831
ZNF667	4.58687871947797
TFEC	4.5854615080643
ATP7B	5.21266647405351
RAB38	3.83646330720701
POLD2	7.41815822942723
PPM1H	5.57800222488878
DCX	3.22512975214205
NFYC	6.36142123659714
ZNF228	5.33290112848959
KIN	6.13010782612279
PLSCR4	7.3977310288966
HIST1H4I	4.2029937971895
PPARGC1A	3.05207445973153
HIG2	6.77303746173371
KCNK10	3.93481800414508
EXOC1	7.49630413564241
OR6A2	3.49980125071863
ETFA	9.00726873506311
PDAP1	5.12822533896179
C19orf6	3.72247903255477
POLRMT	4.48154460351454
ZNF146	8.11476206863045
MIA2	3.29364339871570
LY6G6E	2.97844173070451
EIF4E2	7.58852250253323
NENF	4.96635107215621
HOXB5	4.90900530296269
ZNF324	4.33279229911958
CUGBP1	4.81451900224381
ENTPD7	4.06295012860159
TTC13	6.48244966144034
GJB5	3.15471444746192
PRSS22	4.52945033364447
CYP3A5	4.25393604220712
MBOAT5	4.63055542811621
CUL4B	5.39798634963342
CENPJ	4.10655543277816
KIAA0664	6.28561613178112
PITX1	3.59308834099997
PDGFRB	5.98840029965035
RDX	6.43867803621537
CELSR3	4.12302020277046
JUND	6.90367842223611
ITSN1	5.44531435377686
CHRNB1	3.68122908069379
EHBP1L1	3.95861483941233
C19orf2	7.28098112441528
FETUB	2.97196456086023
CAMK2B	3.18696717719859
DCTN1	6.67010177349258
TNKS2	7.57274671051469
MRTO4	6.81240638734722
C1QBP	5.64955035907794
TTC3	8.65390813384675
NDUFB8	8.70008089125254
CADPS2	4.03963062051722
EDG2	4.42582966098449
MYF5	3.16590464187061
SEMA3G	3.64998379202631
IL23A	3.59483962872526
GJA9	3.48776865590382
R3HDM2	7.680475315907
C5	4.5718461339496
SLC2A10	6.70690087777807
TRIM45	4.98828977139329
TSP50	3.90516974318801
PAQR3	4.34747038973063
ANKRD26	3.55955540716586
TCP1	7.65932089928829
TMED7	6.69956917041085
CMA1	2.81668594282077
PTCRA	4.36695633854126
HCRTR1	3.29629660819795
FST	5.28474278370849
PAWR	3.98408001972787
LDLR	6.0872187266338
ASTN2	3.71157812809862
SCRN1	7.65979669343182
GPATCH8	6.58002595900741
KIF4A	5.20863237508575
TANC2	3.90165927056464
ZMYM5	4.30173898897916
PGM1	9.13788624382287
ZNF586	5.97182567109839
POLR3G	3.54107569472032
CPD	5.76082226033121
SNCAIP	4.14208835520953
DCT	3.61748820377874
HLA-DOA	3.90495520405352
TANK	7.44343062661102
RCAN1	5.21070359314744
UPK1B	6.11245843810983
DNAJB4	5.9303349886683
UGT1A8	2.91010149023621
LIMD2	3.53620226833553
HIST1H4L	3.27403257462183
PECR	4.88847599358413
HSPA2	6.35268560686362
SERP1	9.89478344730266
TACR2	3.33213095347454
NUP85	7.22183858004413
CD177	3.21568229321199
GPR135	3.16363662506758
PIGG	6.99609915204839
LGR5	3.16482899425800
JAK2	4.03788003363156
DPYSL4	3.26850659221409
TM9SF4	6.46699015237329
PTHR1	3.47898705665144
SIRPG	3.53123985141865
ZNF264	7.03680897898491
BICD1	5.46561286029728
RAB5A	7.61826607396313
FLJ13224	3.14768674047189
METTL5	8.61996201468412
HERC6	6.66651929589688
CASP1	6.61295969836754
USP9Y	2.78309005917782
LRP1B	3.00119220694308
XAF1	8.1678236018089
PLA2G4C	4.09418982470168
APOA2	3.17781018215367
SPAG6	2.86621055821938
KALRN	2.97531385464998
SECTM1	5.34387521406244
THOC7	8.56523633437122
IFNAR1	4.35205514846426
TCTA	6.80691369452452
NY-REN-7	4.81424379776229
TALDO1	9.39268610646926
B2M	11.9088625075078
LPPR4	4.39492409243851
SQLE	7.15127224006299
SEPHS1	6.55603354347243
EIF5A	6.51041564724501
FAM49A	5.19880126472761
YTHDC2	4.35723881119137
EHD2	5.21864792624693
NCF1	4.24293420951691
SPG7	6.19006970520952
ZNF614	3.48834264532273
HOXA5	4.4668397150703
NUP133	7.76768640431217
FGF12	3.9649632012512
SLMO2	7.36326947792412
