Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C12
Composite Element REF	Signal
FBXO3	6.4434334090201
DVL1	5.70030540666836
CMKLR1	3.64599874013798
GPR157	3.43557578137783
TYMS	8.77495280680153
OR52A1	3.23698378655361
PEF1	7.84517675127753
ZNF750	3.21263768206141
ALG9	5.0154885573946
MCM5	5.46315664016857
SDK2	3.51212195549496
BAIAP3	3.86363040228074
RABGGTB	7.13301941615645
KCNK7	3.31700361016345
PTP4A3	7.15440542684422
ANKRD40	4.53112905343267
CALCOCO2	7.03053428981046
TMSL8	4.68677182684574
SNCA	5.28275050972954
ZNF551	4.46155613438552
HBQ1	3.78189664974746
ARHGAP26	4.51380468729219
GEMIN6	8.44714138178399
HRAS	5.46936905656599
KLRC4	2.88358989077034
BSDC1	6.11690137729013
DSC1	3.71879581551909
RNF43	4.57534581266627
NDUFAF1	6.51534962030624
MAP2K4	5.02327314192372
FOLR2	4.09241068468623
LYZL6	3.59650781166125
EPB41L3	3.10066875466432
TEKT2	4.17015291777825
CDKN2B	3.60337404161931
WSB1	6.08053991994969
ZNF480	3.56771520890190
MAP3K6	3.79836836600396
PROS1	6.42038265199901
PSMB8	9.89786640817162
HN1	8.17058511090758
MAS1	3.04270307079280
APOL1	5.33258608796251
CSHL1	3.08778540417428
ZBTB7C	2.84901626970041
AHCTF1	5.75200989963732
SAE2	9.78175270601722
ITGA2	4.05457302017472
AP2S1	7.99017470060001
P15RS	7.72514425662182
MME	3.59228091628381
VAT1	6.32728537033123
MAST4	5.02728390994453
TUFM	9.64586607803476
KRT33B	3.58295865840763
THEG	3.82474931530919
KCTD2	5.26327665172217
WDR26	8.5086431306907
MFI2	3.10582460606512
KRT34	3.20293881354647
NR4A3	3.7086590445192
SGSM3	4.24311106483073
ARSA	3.96246307625285
TOMM22	6.55102231288485
SOCS3	3.75358310581765
UNKL	4.09066811006872
POP4	8.2867292086222
BHLHB3	8.64583903852876
MALL	3.49103089202383
SOX15	3.17966205908096
CCNA2	5.31269991086621
PARK2	3.19505945580137
GPR124	3.75155274199216
TMEM132A	4.12925848709663
CGRRF1	6.91156571022139
RUVBL2	8.26647802890696
MCAT	6.02550491939673
WNT10B	3.26006485167542
ISCA1	6.86715504242207
RPAP1	4.47570263608128
C12orf48	5.50658555301200
RAI16	4.3124813902206
RPL27	10.1910028702084
EPN1	3.72190825510081
MAGI1	3.26276227495239
GBX2	3.35438108862955
SLC35A1	7.34472853234245
GAL	3.86082025424674
SLC14A2	3.53892693767073
RDH11	7.00492559231208
ZNF518	5.00759741593014
PCYT1B	3.34069796357753
AUH	7.0817251122839
EIF3H	10.1621963034573
KIF1B	6.11783013703841
MBD2	4.58314154625341
AMOTL2	5.85279903098922
C6orf120	6.68543770378279
PIGT	7.81301285251618
PSRC1	7.00897599877082
PLA2G10	3.73422906104302
ALAS1	7.25109575422733
FOXO1	5.93678726556493
C17orf62	7.51270598769818
KIF5C	4.37433030731426
DUSP10	5.41182412508948
CRLF3	7.46491599546554
CLCNKB	3.8385230268197
PSMA5	9.86083730022228
FARS2	6.59080597190292
CCDC28A	6.86118783445952
AMPD3	4.75047965017074
PIAS1	6.5406625387914
ADCYAP1R1	3.28696125000825
TMEM134	7.42527225747376
CDH20	3.00080001341892
FBXO7	6.95399488799906
FLJ14213	3.39540665582982
ZNF3	6.07872675731447
LRRFIP1	6.92427591987691
TMEM49	9.35484822079443
CNOT2	7.44891519854596
CBX2	3.00326723562868
ZC3H14	5.70847150494031
ALDH5A1	4.95733571418592
HNT	3.77584464003299
SERPINA4	3.16519652837582
FLJ20920	6.21192007125353
CRTAP	6.4074678520566
DDX50	8.54112108146323
STYXL1	7.75503975610274
TK2	4.63875373917061
BLVRB	6.66944111712782
STMN1	7.07429273318636
GUCA2A	3.27442066934181
DPP6	2.97574478155772
GALNT10	3.64751453030780
STK39	5.20336249204419
MMP24	4.71743534942796
CKS2	10.3666391778465
RHO	3.85842319556401
BANF1	10.0853272196847
CR1	3.19875661051046
RPS6KA2	4.24116548150358
HMBS	7.44122273842844
C20orf112	3.93755862980411
SLC25A24	8.52735494075442
MRPL22	9.44903148574135
SLC25A15	5.74388082390192
GADD45B	4.51365074142277
TDP1	5.37347812813875
ZNF287	3.55760930364119
DAAM2	5.55377856393092
C11orf57	7.08484827962639
RFK	8.0052885643832
ZFYVE9	4.04397646418675
TCTN3	6.24920519498046
STCH	6.73407593897952
LOC283871	4.14368666469763
NDUFB3	7.96130643211966
DEFB4	5.12505947228759
FPR1	3.84190549098139
FMNL1	3.59326276748724
SEPT7	9.82844285247138
PTCD2	4.91439535198777
GNLY	4.05077449239341
GRAMD1C	6.86107866855768
ZNF165	4.06585342661773
TR2IT1	4.34707509366332
ARMCX3	7.51321362872058
NDE1	4.87314001807566
MAGEF1	6.66191365279998
