Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
RPL4	11.1253366862697
MAD2L1	8.44016201943396
RBPMS	5.4459375502888
EIF4A3	8.77552488536327
E4F1	4.45497897171602
DLEC1	3.55868765673785
PRPF3	5.62641478319138
EMR1	3.29274050088078
CHMP2B	8.02501161471687
CAMSAP1	4.61942420104162
RPS21	9.88688276784464
XCR1	3.23854512500762
ARID5A	4.38882086016207
RBM6	5.78572174700551
UBE2N	7.55682000190431
KLF4	4.20033590017317
MGC4172	4.70481762113563
LMO4	8.46743104612646
KLKB1	3.28972257996992
HDAC3	6.17889382172537
HP	8.16885020645623
SCHIP1	5.2575150278112
BTK	4.35328132543949
KRCC1	8.11249152756604
PRND	2.88674139330957
C6orf27	3.61957051068095
PIGL	4.10587191169710
CLCA1	3.44156672488916
C1orf112	4.52854413045256
OLFML2A	6.18083534498929
HUS1	5.26395828738847
SFRS6	7.53942176895731
CXCR7	4.79331148247063
UIMC1	6.94913269802460
FXYD2	3.35075564305042
GOT2	7.98471006300946
ZNF667	3.91389705088055
TFEC	4.48455237439583
ATP7B	3.46054876053459
RAB38	3.57319089276667
POLD2	6.80537438689166
PPM1H	5.04182054914262
DCX	3.37468305585855
NFYC	5.68594409107939
ZNF228	3.64877524843835
KIN	5.69830862929625
PLSCR4	5.55369455751043
HIST1H4I	3.96876459960582
PPARGC1A	3.94623424046239
HIG2	8.53248089749671
KCNK10	4.03381297922015
EXOC1	7.83428238944625
OR6A2	3.54223804354336
ETFA	8.3050661701894
PDAP1	4.67781070431562
C19orf6	3.55350414828214
POLRMT	3.98468850978272
ZNF146	7.65758798755857
MIA2	3.49738895572395
LY6G6E	3.32955548360806
EIF4E2	7.41813184398964
NENF	4.74741212191494
HOXB5	3.76514483935939
ZNF324	4.39067908700672
CUGBP1	4.4642080727257
ENTPD7	4.19790132043619
TTC13	6.87032389003035
GJB5	3.17741482345885
PRSS22	3.90533071842809
CYP3A5	3.44185530121442
MBOAT5	4.50376485011468
CUL4B	5.01897896341325
CENPJ	3.49427917516058
KIAA0664	6.43968684423073
PITX1	3.40825250418946
PDGFRB	5.41965934506263
RDX	6.25868391510833
CELSR3	4.23762384068258
JUND	6.31285235719115
ITSN1	4.49839382825229
CHRNB1	3.86489844050169
EHBP1L1	3.43777302255987
C19orf2	7.19705932538283
FETUB	3.3904185334682
CAMK2B	3.18760896585817
DCTN1	5.21497804951096
TNKS2	6.31782370909809
MRTO4	7.04009553513502
C1QBP	6.5776253250919
TTC3	7.579431498099
NDUFB8	8.51041854488899
CADPS2	6.9392587908178
EDG2	5.39985419387844
MYF5	2.84369241564347
SEMA3G	3.61177374698297
IL23A	3.76775509321472
GJA9	3.75048578380788
R3HDM2	6.53531845415497
C5	4.35949126899689
SLC2A10	4.64671525629851
TRIM45	4.17963609332396
TSP50	3.45604302362456
PAQR3	4.69075114707562
ANKRD26	3.52376138232780
TCP1	8.43322489858017
TMED7	7.158709372716
CMA1	2.89081430786892
PTCRA	4.20528152934553
HCRTR1	3.66727551239683
FST	4.49723544126205
PAWR	3.82375915842783
LDLR	4.58732235005533
ASTN2	3.82536313546522
SCRN1	6.35362176024136
GPATCH8	5.24832052173121
KIF4A	6.24049933804433
TANC2	3.71946663742270
ZMYM5	3.91010414431853
PGM1	9.86994846740446
ZNF586	5.77938733211831
POLR3G	4.29290335338613
CPD	5.69959331526283
SNCAIP	4.15505830959412
DCT	3.32237421769265
HLA-DOA	3.49383993875538
TANK	6.46246657582179
RCAN1	4.41994269526613
UPK1B	3.65402880114446
DNAJB4	4.63608302417487
UGT1A8	2.98805975878492
LIMD2	3.68334997406442
HIST1H4L	3.45830109343766
PECR	4.35310562480905
HSPA2	6.61107479192966
SERP1	8.95146054765227
TACR2	3.32152188347714
NUP85	5.84463097068792
CD177	3.44211445154987
GPR135	3.32060996822195
PIGG	7.93955688652054
LGR5	3.69500882743106
JAK2	3.93008679199755
DPYSL4	3.28149767874365
TM9SF4	5.8859231021035
PTHR1	3.58037704306707
SIRPG	3.30615391482604
ZNF264	5.7663849398922
BICD1	4.8515533818765
RAB5A	7.81960707525611
FLJ13224	3.05505913560222
METTL5	9.95506168940489
HERC6	7.08491492569748
CASP1	6.42991403879675
USP9Y	2.78784249339477
LRP1B	3.07185397463466
XAF1	7.41701136910109
PLA2G4C	3.82262489801565
APOA2	3.23380572142305
SPAG6	3.20916819950877
KALRN	3.26037775303526
SECTM1	5.63149259829778
THOC7	9.56875484712356
IFNAR1	4.61132293779123
TCTA	6.88330582900168
NY-REN-7	3.38306588346229
TALDO1	9.17393342635499
B2M	12.0314799438749
LPPR4	4.50462577461709
SQLE	7.39055235838381
SEPHS1	6.26639209705635
EIF5A	6.21688422388701
FAM49A	3.90309271860876
YTHDC2	4.64576220399572
EHD2	4.49076838772606
NCF1	3.71572879810903
SPG7	6.59761238468936
ZNF614	3.57905796482054
HOXA5	3.55602289849223
NUP133	7.43113207502157
FGF12	4.03025626610908
SLMO2	8.17025975549586
INPP5B	4.67233501790247
PPID	7.04446849733185
SNTA1	4.5258907843083
IL20RA	3.90712465647397
UBE2J1	5.82000235434086
CACNG2	3.13601106834516
GCM1	3.43396346196520
ELF1	6.36031169008938
TLR5	5.05326336940026
TCFL5	6.90307809596274
C1orf107	5.37040046756749
C19orf22	6.19134105376573
SAFB2	5.89772472129609
MAP3K7IP1	4.05710197612215
NCK2	8.0277730643301
OXA1L	8.46536076215025
KIAA0652	4.83108085382885
KLRG1	3.70014038435976
FRAG1	5.465009943605
ZSCAN12	3.17448716841091
PSMD12	6.9530109851735
E2F4	4.85386205495398
CLEC4M	3.41556048970553
KIAA0999	5.14638206606192
CLDN10	3.80738047353946
MGC13053	4.17759335653166
TAC1	3.00795732198388
GYPA	3.51709986065061
HPCAL4	3.31559502195886
TRAIP	4.01176845396239
MEX3D	3.78505010244198
KIAA0232	8.35078504314567
ERCC8	5.10328188469197
NFAT5	4.91382968488771
