Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C10_547276
Composite Element REF	Signal
HUS1	4.98873374026534
SFRS6	8.2776861119591
CXCR7	5.59004114196763
UIMC1	6.28071244305396
FXYD2	3.39740450234132
GOT2	7.51609807633813
ZNF667	4.81409903517519
TFEC	4.52181594900878
ATP7B	3.63234328674731
RAB38	5.48088447676238
POLD2	7.34694799189028
PPM1H	5.87715295773608
DCX	3.20483498698151
NFYC	5.85179945304289
ZNF228	3.48738865008126
KIN	5.67329893813352
PLSCR4	5.56893537065068
HIST1H4I	3.98352233055583
PPARGC1A	2.97272251952312
HIG2	8.0188682919493
KCNK10	4.03813213788105
EXOC1	8.43628784968146
OR6A2	3.58441182184409
ETFA	8.85044201273585
PDAP1	5.31560165513164
C19orf6	3.33077931961904
POLRMT	4.08876026133768
ZNF146	7.67500932187098
MIA2	3.13408690772919
LY6G6E	3.0538634215164
EIF4E2	7.74186256298289
NENF	5.01737679412885
HOXB5	3.97355513999075
ZNF324	4.32883322613217
CUGBP1	5.78170458819716
ENTPD7	4.04220024659505
TTC13	5.92652059477
GJB5	3.20798170809689
PRSS22	3.97896107588701
CYP3A5	3.36944425669797
MBOAT5	4.19354776888819
CUL4B	5.68397175017944
CENPJ	3.31937292300775
KIAA0664	6.37506754505621
PITX1	3.30191491932575
PDGFRB	5.72440945302748
RDX	6.09862199589675
CELSR3	4.25976825791212
JUND	7.6372002932185
ITSN1	5.40537327103773
CHRNB1	3.36069038443468
EHBP1L1	4.14931499561947
C19orf2	7.8201399994478
FETUB	3.00407058477928
CAMK2B	3.1659080144683
DCTN1	7.71286343880722
TNKS2	6.75802289067978
MRTO4	8.04098897509135
C1QBP	6.08765852400226
TTC3	8.00435095690002
NDUFB8	8.55081558414106
CADPS2	5.3066883721898
EDG2	4.4634444229962
MYF5	2.9742914299265
SEMA3G	3.97088149771199
IL23A	3.89108317057057
GJA9	3.51766037837336
R3HDM2	7.29220169309544
C5	3.81419098066358
SLC2A10	6.82195669693039
TRIM45	4.75327735594721
TSP50	4.99969211820517
PAQR3	5.98408428005034
ANKRD26	3.47885600593221
TCP1	8.58742044554766
TMED7	7.41715846334284
CMA1	2.82636868072598
PTCRA	4.18540085453535
HCRTR1	3.2250497088803
FST	5.61336233112063
PAWR	4.63860428057554
LDLR	4.58140771499381
ASTN2	3.78877587349634
SCRN1	6.75384911771894
GPATCH8	6.5229198243713
KIF4A	6.47980357254831
TANC2	4.09987732822364
ZMYM5	3.86946968536008
PGM1	9.40083827383543
ZNF586	5.18240950911102
POLR3G	4.08194026088672
CPD	6.50809518164818
SNCAIP	4.38157899128466
DCT	3.25037447007525
HLA-DOA	4.22207082707626
TANK	6.63548221738105
RCAN1	6.10728588946341
UPK1B	6.84222074885329
DNAJB4	5.23406748892819
UGT1A8	2.90311304292089
LIMD2	3.48993062455797
HIST1H4L	3.24751324733454
PECR	4.66957854905828
HSPA2	6.67067774953287
SERP1	8.98688267868458
TACR2	3.25792125448679
NUP85	7.53833270284724
CD177	3.63777076224811
GPR135	3.32117915685624
PIGG	7.45672764531604
LGR5	3.21043457870157
JAK2	3.6054222076237
DPYSL4	3.24415925398739
TM9SF4	6.49846663026278
PTHR1	3.53447826951174
SIRPG	3.12871101702842
ZNF264	3.95980193760895
BICD1	6.16251948705706
RAB5A	7.95759449920567
FLJ13224	3.15364139831291
METTL5	9.18202086649479
HERC6	8.08492384403791
CASP1	6.63444925888328
USP9Y	2.79994697105852
LRP1B	2.90217414711829
XAF1	8.33274409478022
PLA2G4C	3.92021290551013
APOA2	3.10659153311571
SPAG6	2.96360477195600
KALRN	3.22242819328434
SECTM1	5.36575187793343
THOC7	8.70791421490278
IFNAR1	5.18470436665624
TCTA	7.13848274199645
NY-REN-7	3.43948546878364
TALDO1	9.77601769790511
B2M	12.1455421014151
LPPR4	4.33530475058518
SQLE	5.73004664342192
SEPHS1	6.69210964145097
EIF5A	6.82873124219187
FAM49A	5.52850108862713
YTHDC2	4.80529949432414
EHD2	4.94993506167275
NCF1	3.74302408360596
SPG7	6.16275210984677
ZNF614	3.55206020450104
HOXA5	5.05361355441264
NUP133	7.51558146425385
FGF12	4.37516991676415
SLMO2	7.62203852173145
INPP5B	4.64725946526437
PPID	7.29161533373578
SNTA1	3.86016989457142
IL20RA	3.28371181247588
UBE2J1	5.85035091802411
CACNG2	2.97971379883813
GCM1	3.25087680527452
ELF1	6.42869382339571
TLR5	4.49598685961945
TCFL5	5.22900990418661
C1orf107	5.62627841378735
C19orf22	6.63942627691818
SAFB2	5.95495088384855
MAP3K7IP1	3.62187782188613
NCK2	7.9183235258431
OXA1L	8.53573563446234
KIAA0652	6.2860544412927
KLRG1	3.44453684343514
FRAG1	6.79530457244229
ZSCAN12	2.96168275225716
PSMD12	7.5779969252379
E2F4	5.00530278664188
CLEC4M	3.41164351715988
KIAA0999	5.23561971530131
CLDN10	4.94781410734414
MGC13053	4.37530290957214
TAC1	2.70235829741759
GYPA	3.22205903130286
HPCAL4	3.38430855619861
TRAIP	4.63388412465021
MEX3D	4.67350706466411
KIAA0232	6.80648000219003
ERCC8	6.48905549171118
NFAT5	5.53770813140497
GPX4	9.17877531454313
CSPG4LYP1	3.06040617817085
KIAA0368	6.1216794253533
FBXO3	6.06261076611633
DVL1	6.88711554059402
CMKLR1	3.78378219614886
GPR157	3.22572272849359
TYMS	8.63797810942836
OR52A1	3.03597769758131
PEF1	7.57000089195891
ZNF750	3.35590123517636
ALG9	5.88122460893869
MCM5	5.43690492006892
SDK2	3.46604857233735
BAIAP3	3.64584948067447
RABGGTB	7.67643813410188
KCNK7	3.28598856935078
PTP4A3	5.25942591434601
ANKRD40	4.21173237065134
CALCOCO2	7.32183109341134
TMSL8	4.32019952842764
SNCA	5.11857566106339
ZNF551	3.74365641534385
HBQ1	3.36522217333638
ARHGAP26	4.68437548809801
GEMIN6	6.76490073972181
HRAS	6.28143923954644
KLRC4	2.75341294671871
BSDC1	6.13079252945914
DSC1	3.98877923892262
RNF43	5.73382900704951
NDUFAF1	6.55704106862578
MAP2K4	4.97762834557269
FOLR2	5.99247664263504
LYZL6	3.50109818286496
EPB41L3	4.35041007959675
TEKT2	4.42972099828341
CDKN2B	3.33995273019730
WSB1	6.68721451594931
ZNF480	3.25641631950400
MAP3K6	5.42210699607015
PROS1	6.15681511398213
PSMB8	8.4954603103479
HN1	8.74996596775633
MAS1	3.19251948214480
APOL1	6.14994088975991
CSHL1	3.21560661164942
ZBTB7C	3.17861941719348
AHCTF1	5.97064667416772
SAE2	8.15553828192426
ITGA2	4.27601717288026
AP2S1	8.47912944666911
P15RS	7.78997017310757
MME	3.93189304904747
VAT1	7.04675832886517
MAST4	6.3049464500975
TUFM	9.77709615494169
KRT33B	3.43493536987203
THEG	3.79599087559085
KCTD2	5.40472073730446
WDR26	8.64261870493503
MFI2	3.25326451590263
KRT34	3.01239334369271
NR4A3	3.69675320750062
SGSM3	4.4344560517943
ARSA	4.19257576726920
TOMM22	5.8379151663521
SOCS3	3.85931610118116
UNKL	3.67309164446089
POP4	8.08736329021076
BHLHB3	9.34566444795062
MALL	6.45017319770283
SOX15	3.8329051726963
CCNA2	6.98193983497451
PARK2	3.14349578934952
GPR124	4.45718233431474
TMEM132A	4.55100270955642
CGRRF1	6.48384615350027
RUVBL2	8.00702024985104
MCAT	6.06622455242192
WNT10B	3.62686413165141
ISCA1	6.65989411932906
RPAP1	4.81687516104616
C12orf48	5.12601372855805
RAI16	5.46731909377171
RPL27	9.06091918525304
EPN1	3.49964847930265
MAGI1	3.353858765272
GBX2	3.44258844834331
SLC35A1	7.80712316910677
GAL	3.52218615689664
SLC14A2	3.17497945910461
RDH11	7.99787703276384
ZNF518	4.25696261194035
PCYT1B	3.25420269064818
AUH	6.63370390000848
EIF3H	10.9385407407596
KIF1B	7.22269218052213
MBD2	4.48283515448695
AMOTL2	8.71336711016485
C6orf120	6.14600892970464
PIGT	7.34351376649829
PSRC1	6.78202917731424
PLA2G10	4.54920147130603
ALAS1	7.87430994700991
FOXO1	5.89302891386912
C17orf62	7.73623241784001
KIF5C	5.33808755266543
DUSP10	4.74355811648314
CRLF3	7.50232328870134
CLCNKB	3.38089024517019
PSMA5	9.4647588616284
FARS2	6.13863585081657
CCDC28A	6.69774093083832
AMPD3	4.81287168658703
PIAS1	7.61547854914898
ADCYAP1R1	3.35234414276405
TMEM134	6.89632150092663
CDH20	2.92658447540641
FBXO7	7.23776984471026
FLJ14213	3.35358541871902
ZNF3	5.8627581327232
LRRFIP1	7.32984956713867
TMEM49	9.7408859731051
CNOT2	7.63246499461408
CBX2	2.91956332388457
ZC3H14	6.5326842068811
ALDH5A1	5.53747720959223
HNT	4.09481770665671
SERPINA4	2.99632047246113
FLJ20920	5.68404582721093
CRTAP	5.79482187419796
DDX50	8.17338236932391
STYXL1	7.55699676447193
TK2	4.42329495940548
BLVRB	7.19385769081092
STMN1	7.24632976106768
GUCA2A	3.20045130249102
