Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C08_491130
Composite Element REF	Signal
CD53	7.9078031449885
HIST1H2BJ	3.54430581408914
TFAP2B	3.291087209692
ACF	3.70219752663133
TMEM11	6.31241615996318
CDH8	3.34388063440906
C3orf32	3.45950416222249
AGPS	4.0010645237366
C4orf18	3.30484245260573
PCCB	7.18770576069072
IPO13	4.84287857740063
PECI	6.29623666453696
UNG	6.69434205103017
C6orf105	3.80355224311811
GSTP1	8.2581381303909
SUV420H1	7.78640644066383
ARHGAP15	4.51004904834012
LTBR	6.99939389182777
TDRKH	3.44708272159571
PSG4	3.6479154281962
SLC9A3R1	7.13927576352186
NBPF3	9.61431747376792
SLC9A3	3.69388006790799
OSBP	6.59696281853646
PRR5	5.20023605699767
CHMP7	6.34858998751559
ADRA1A	3.13613940058188
ASAH1	7.93408873880704
FKBP4	7.42867389086062
ZNF350	5.02029686275052
DOM3Z	4.92520670475576
GIPR	3.6248647160442
AHI1	4.46751201958209
BST1	5.4000292455237
NCR2	3.57293297849386
NADSYN1	4.99606017820675
UBE2W	6.3713023314209
RGS14	4.00780560447560
KRT15	4.74377257809036
SCN11A	3.71950340294411
GFI1	3.69022768530666
FHL1	5.04579764870987
SMC6	6.18158586883723
GATA1	3.58807969853812
OSGEP	4.67097245658345
ARMC6	4.66083288069349
HK3	3.41109056378361
PSMD5	8.01215904176126
RSU1	7.29918230047302
RPL4	12.3405084994228
MAD2L1	5.7759354402515
RBPMS	6.5482867773972
EIF4A3	9.10465521650375
E4F1	4.80597860111075
DLEC1	3.3779310782456
PRPF3	5.04654969180588
EMR1	3.40536820672526
CHMP2B	7.49854186326318
CAMSAP1	4.40053316617760
RPS21	10.3424216909591
XCR1	3.4822728811402
ARID5A	4.25487522182503
RBM6	5.66440898033475
UBE2N	6.37883922623468
KLF4	4.75941126613774
MGC4172	5.57395453875706
LMO4	6.31040046306933
KLKB1	3.1157377608376
HDAC3	7.44092871444686
HP	7.07188408165171
SCHIP1	5.32569152820499
BTK	4.40292734770559
KRCC1	8.57796800723474
PRND	2.89651303032959
C6orf27	3.30960804886440
PIGL	3.53172316909516
CLCA1	3.79725314955639
C1orf112	4.04864069201204
OLFML2A	6.41112664929131
HUS1	4.76630486119147
SFRS6	7.14791679992106
CXCR7	5.87783529726524
UIMC1	6.86263962750632
FXYD2	3.37137612071847
GOT2	7.2970157379266
ZNF667	3.85800044682730
TFEC	3.92974989824500
ATP7B	4.42078367590058
RAB38	3.70182888060817
POLD2	7.41950826220365
PPM1H	3.84590461612275
DCX	3.31068710658408
NFYC	5.49758630746099
ZNF228	4.41360352644659
KIN	5.52210292529072
PLSCR4	7.69099192686019
HIST1H4I	4.12489718750908
PPARGC1A	2.96227745760966
