Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
UIMC1	5.55774495973694
FXYD2	3.60159149387517
GOT2	9.12834933063487
ZNF667	3.98380741987977
TFEC	3.54310169608233
ATP7B	5.92628223893154
RAB38	4.59624697945911
POLD2	7.13467918232907
PPM1H	8.32921383901214
DCX	3.23471029950332
NFYC	5.29549234338744
ZNF228	4.37335094159321
KIN	6.05102402161719
PLSCR4	6.36417220154215
HIST1H4I	4.11589758760478
PPARGC1A	3.11630112297687
HIG2	7.52490309627376
KCNK10	4.15279466717245
EXOC1	8.61492783145002
OR6A2	3.82106897960991
ETFA	7.583628330532
PDAP1	5.07091395974684
C19orf6	3.40733260455290
POLRMT	4.38727703820565
ZNF146	7.75003571005606
MIA2	3.30247479588819
LY6G6E	3.10954215527697
EIF4E2	7.59323004987721
NENF	5.52594489284585
HOXB5	3.76564818975248
ZNF324	5.5378184252919
CUGBP1	3.82643017049774
ENTPD7	4.03944805999829
TTC13	5.10256077028161
GJB5	3.12165713700174
PRSS22	4.56524726028468
CYP3A5	3.25584432617247
MBOAT5	4.98103101280823
CUL4B	4.68668464039464
CENPJ	3.28848790143174
KIAA0664	5.79011598466347
PITX1	3.97420966766856
PDGFRB	4.72638604686469
RDX	5.57756908702602
CELSR3	4.98255436340138
JUND	7.52923048000043
ITSN1	5.07193185888911
CHRNB1	4.34143738268789
EHBP1L1	4.44236380973059
C19orf2	7.50554651637589
FETUB	3.18815265417174
CAMK2B	3.93188141988766
DCTN1	7.20249707542013
TNKS2	7.11033323793071
MRTO4	7.6201210258494
C1QBP	5.924349687054
TTC3	8.42115286368677
NDUFB8	9.20963600893884
CADPS2	4.92386505650955
EDG2	4.32414675283942
MYF5	3.0357263909719
SEMA3G	3.3182879307186
IL23A	3.49449099146078
GJA9	3.32829513108865
R3HDM2	8.44859400568979
C5	4.70890548202648
SLC2A10	8.91782312070137
TRIM45	4.89150162119919
TSP50	3.66295527304048
PAQR3	6.44786201360617
ANKRD26	3.5004001386487
TCP1	7.9715070685006
TMED7	6.89669511213167
CMA1	2.91325311145445
PTCRA	4.17656413086158
HCRTR1	3.35986146773677
FST	5.15717436168586
PAWR	3.70633792121727
LDLR	3.69138241606013
ASTN2	3.90398763667982
SCRN1	7.42576564671746
GPATCH8	5.94132401738942
KIF4A	4.9978902948683
TANC2	3.51358412282048
ZMYM5	3.48467147821549
PGM1	9.55879927724397
ZNF586	3.73505632142567
POLR3G	3.57849558319667
CPD	8.37046405939597
SNCAIP	4.26696392654331
DCT	3.42852387692144
HLA-DOA	3.46959723010894
TANK	6.96139873281342
RCAN1	4.8138696349793
UPK1B	6.80850497834371
DNAJB4	4.61587363395638
UGT1A8	3.13065131046584
LIMD2	3.63374568841557
HIST1H4L	3.52482480269476
PECR	4.53256567267002
HSPA2	8.48242294881495
SERP1	9.618225403347
TACR2	3.50871856015712
NUP85	6.65379161037409
CD177	4.11181033630478
GPR135	3.29185108614943
PIGG	8.3914761987875
LGR5	10.0324597872747
JAK2	3.38012875582244
DPYSL4	3.61377013380043
TM9SF4	7.0687526975011
PTHR1	4.51686621726174
SIRPG	3.30911617802728
ZNF264	6.36352508863223
BICD1	6.07610315310775
RAB5A	7.71511553335777
FLJ13224	3.05749419991258
METTL5	9.23374400171771
HERC6	5.27085577576136
CASP1	4.36226798889661
USP9Y	2.81183601483922
LRP1B	2.88691243613634
XAF1	5.40219328191377
PLA2G4C	3.54759061010888
APOA2	3.27029718026279
SPAG6	3.06900225182823
KALRN	3.38364932288808
SECTM1	4.9836483577688
THOC7	8.83183074329018
IFNAR1	4.54917208784472
TCTA	6.64261363741204
NY-REN-7	3.13311774808224
TALDO1	9.66320149663946
B2M	11.4383007411824
LPPR4	3.16983281579626
SQLE	7.17500581347888
