Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
TFAP2B	3.32401184458083
ACF	3.72348711490714
TMEM11	6.32560534664826
CDH8	3.31476024252503
C3orf32	4.95708423553835
AGPS	5.14674298870605
C4orf18	3.58486802182474
PCCB	8.14549094787463
IPO13	5.3064543367751
PECI	7.4261678652223
UNG	7.23838462063152
C6orf105	4.04044374654121
GSTP1	8.05626560325257
SUV420H1	7.08013992137846
ARHGAP15	3.72414618136296
LTBR	6.13934946723388
TDRKH	3.26104468563002
PSG4	3.20599678327815
SLC9A3R1	5.49670300939959
NBPF3	10.0815486144747
SLC9A3	3.4709593099203
OSBP	6.15741586653114
PRR5	6.29533917265254
CHMP7	6.17240827984356
ADRA1A	3.18005194477877
ASAH1	7.15155313386741
FKBP4	7.3829531238941
ZNF350	4.42330816917971
DOM3Z	5.15008612287889
GIPR	3.62109160981153
AHI1	4.65487176974166
BST1	3.84577074717819
NCR2	3.41876676249963
NADSYN1	4.06465890029634
UBE2W	6.17353227645722
RGS14	3.65107819508768
KRT15	4.08787133325907
SCN11A	3.83119008997619
GFI1	3.50935592672788
FHL1	4.47278353890731
SMC6	5.52820226426461
GATA1	3.43760414230049
OSGEP	5.43097989266631
ARMC6	5.08164401698477
HK3	3.15661362463514
PSMD5	7.24919897289758
RSU1	8.14643101265098
RPL4	12.1141857112755
MAD2L1	7.7701345578517
RBPMS	4.79631107831122
EIF4A3	8.60628433659443
E4F1	4.76712626567312
DLEC1	3.33145864350591
PRPF3	5.60067892252589
EMR1	3.06706108351135
CHMP2B	7.49521142240863
CAMSAP1	5.03069996713124
RPS21	10.4913212432381
XCR1	3.35734138180672
ARID5A	3.90996530180396
RBM6	5.71423975214097
UBE2N	7.48743784304675
KLF4	4.19420512720493
MGC4172	6.4700216834503
LMO4	7.09270424237047
KLKB1	3.02878880790251
HDAC3	6.6033420053297
HP	3.42357977636602
SCHIP1	8.40997936098693
BTK	3.60105608436119
KRCC1	8.27974673064994
PRND	2.99574024250093
C6orf27	3.45965574152607
PIGL	3.50609289104938
CLCA1	4.11092085071009
C1orf112	4.94015432734377
OLFML2A	6.20435457210447
HUS1	5.1225536158235
SFRS6	8.08066693980751
CXCR7	5.70752638497675
UIMC1	6.27595197737
FXYD2	3.29570308422223
GOT2	7.67281668093713
ZNF667	4.05227251353207
TFEC	3.37367472744747
ATP7B	4.72341732724941
RAB38	5.12453154615901
POLD2	6.65279268591033
PPM1H	5.10249269178645
DCX	3.2962107535387
NFYC	5.92943559174602
ZNF228	4.3033617288871
KIN	6.09937670696175
PLSCR4	5.22188341031964
HIST1H4I	4.20609578132046
PPARGC1A	3.62940631699814
HIG2	7.68493819929902
KCNK10	3.94120086605899
EXOC1	7.59659482107322
OR6A2	3.81634913547042
ETFA	9.41423166453407
PDAP1	5.2906836083549
C19orf6	3.74150370985531
