Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_B06_433720
Composite Element REF	Signal
TMED7	7.07149198674359
CMA1	3.13397014767061
PTCRA	4.29319166954681
HCRTR1	3.45030889379453
FST	3.98910366774970
PAWR	4.2564383479444
LDLR	5.15193397196184
ASTN2	4.06844274405417
SCRN1	7.8359725099221
GPATCH8	6.45555938114225
KIF4A	6.53611984145139
TANC2	3.06990697515351
ZMYM5	3.96932354189377
PGM1	8.17716052015401
ZNF586	6.02687089335476
POLR3G	3.35162875932891
CPD	7.02331240287339
SNCAIP	5.23561022082921
DCT	3.47882651170934
HLA-DOA	4.71924456210843
TANK	8.10079112789981
RCAN1	5.18103196294795
UPK1B	3.51133837336987
DNAJB4	6.02271525022887
UGT1A8	3.10899528339525
LIMD2	3.42958041483011
HIST1H4L	3.43992774769799
PECR	5.3439394438608
HSPA2	6.50263128420026
SERP1	9.72982100577957
TACR2	3.38692025358338
NUP85	6.57019573905442
CD177	3.37838535600372
GPR135	3.08595427078151
PIGG	7.36414681431291
LGR5	3.28796990017131
JAK2	4.72816175524624
DPYSL4	3.44471628665351
TM9SF4	6.86648828980928
PTHR1	3.72875434884295
SIRPG	3.16146945219092
ZNF264	5.38123888475857
BICD1	5.43591628566455
RAB5A	8.42138545229274
FLJ13224	3.04798123760181
METTL5	9.28026443514787
HERC6	7.25421307293297
CASP1	6.0831895684948
USP9Y	2.79765291819303
LRP1B	6.81247376319525
XAF1	7.86535769001569
PLA2G4C	3.97098064565439
APOA2	2.99789683975805
SPAG6	2.99339962283507
KALRN	3.15983223485028
SECTM1	5.8312149327951
THOC7	9.7865825234523
IFNAR1	4.92637246405362
TCTA	7.43917307832527
NY-REN-7	4.18856364376558
TALDO1	8.73364822773558
B2M	12.4291421049120
LPPR4	3.27985566940913
SQLE	7.58783118375103
SEPHS1	6.95467361087942
EIF5A	6.74068960829438
FAM49A	3.81764691042084
YTHDC2	4.44263084100315
EHD2	4.48981391369181
NCF1	3.79927084930687
SPG7	5.95941300959244
ZNF614	3.4208544634821
HOXA5	3.27154424150329
NUP133	8.15767506142472
FGF12	3.82689668967916
SLMO2	8.8993176433518
INPP5B	5.26590042842546
PPID	7.60930049936292
SNTA1	4.55203439827347
IL20RA	3.69921446985542
UBE2J1	6.3778794617609
CACNG2	3.10604018571352
GCM1	3.05811793507985
ELF1	6.80184785910266
TLR5	3.38937401026724
TCFL5	6.8918614676944
C1orf107	6.6208915509071
C19orf22	6.47381274933819
SAFB2	6.02428038882641
MAP3K7IP1	3.71889393525286
NCK2	8.06236735074982
OXA1L	7.71803299176595
KIAA0652	6.84723860777914
KLRG1	3.81522828702481
FRAG1	5.90241155062615
ZSCAN12	3.13317655583987
PSMD12	7.12556797253211
E2F4	5.38333581121022
CLEC4M	4.22837497123475
KIAA0999	4.34514153104324
CLDN10	9.18410397361568
MGC13053	4.20264921836667
TAC1	2.68778594378956
GYPA	3.31837634351891
HPCAL4	4.04603904479573
TRAIP	4.42723827992292
MEX3D	4.18411774898144
KIAA0232	7.68772220198356
ERCC8	4.16578935560865
NFAT5	5.21800619760045
GPX4	8.61649982372806
CSPG4LYP1	3.33295724682606
KIAA0368	7.76014074828314
FBXO3	6.6979786386853
DVL1	6.12236750757304
CMKLR1	3.79864068300798
GPR157	3.14775396136501
TYMS	9.53104871659606
OR52A1	3.30774001989361
PEF1	7.68386405337522
ZNF750	2.80229773915596
ALG9	6.03497674069705
MCM5	6.393342402773
SDK2	3.30171945534148
BAIAP3	3.81953759549574
RABGGTB	6.58279320128
KCNK7	3.20003245729843
PTP4A3	6.1576366708299
ANKRD40	4.1048994372517
CALCOCO2	7.24227309892697
TMSL8	10.1546237567731
SNCA	5.36340009637622
ZNF551	5.6030906712384
HBQ1	3.17229183328989
ARHGAP26	4.69395310637822
GEMIN6	6.65850471572234
HRAS	5.28260276677431
KLRC4	2.85495263224072
BSDC1	6.12378404340316
DSC1	3.2199126601951
RNF43	5.14458294285136
NDUFAF1	6.29439330198243
MAP2K4	5.54356878570798
FOLR2	4.70423917855272
LYZL6	3.47720105277275
EPB41L3	5.0739187755766
TEKT2	5.9904033375091
CDKN2B	3.22593082291837
WSB1	5.91256484769074
ZNF480	4.11198874052906
MAP3K6	3.87998897521494
PROS1	6.69330615667876
PSMB8	9.4013067529321
HN1	7.05180636370793
MAS1	3.22762005607439
APOL1	5.59098672594916
CSHL1	3.40471021433864
ZBTB7C	3.21075501229782
AHCTF1	7.0094268046074
SAE2	9.84999754965698
ITGA2	4.58375972609932
AP2S1	8.33588738518534
P15RS	8.18277819839881
MME	3.38985200170164
VAT1	6.19184464215801
MAST4	4.84235609863875
TUFM	9.32013423294361
KRT33B	3.39576317825302
THEG	3.73601621279876
KCTD2	4.7815605252532
WDR26	8.61486179857885
MFI2	3.25711933592863
KRT34	2.9727008740943
NR4A3	3.37987501292118
SGSM3	4.43943461323347
ARSA	4.15883092610292
TOMM22	5.87141695190606
SOCS3	3.46041539913659
UNKL	3.95552992411665
POP4	9.5187433088116
BHLHB3	8.872703527251
MALL	3.68452498802908
SOX15	3.54468255815244
CCNA2	5.85648755533049
PARK2	3.25318544132462
GPR124	4.16577157126934
TMEM132A	5.08704937618191
CGRRF1	6.08328258985894
RUVBL2	7.88360219543145
MCAT	6.76108196844156
WNT10B	3.55336727246283
ISCA1	6.85161218736212
RPAP1	4.47182614040952
C12orf48	5.36104541218742
RAI16	4.71942548399479
RPL27	9.21010827563481
EPN1	3.61907331088975
MAGI1	3.50038445521118
GBX2	3.1997172702171
SLC35A1	7.48245384678383
GAL	10.8833577604539
SLC14A2	3.54117202165373
RDH11	7.70177844479072
ZNF518	4.61236976947615
PCYT1B	3.27373058775179
AUH	6.43381005016821
EIF3H	9.80219043562832
KIF1B	6.59979607365295
MBD2	5.10696861582535
AMOTL2	8.3676785591878
C6orf120	6.478792450685
PIGT	8.41801780186537
PSRC1	5.45306222603462
PLA2G10	4.54407453058073
ALAS1	7.50273494625507
FOXO1	4.88424049560504
C17orf62	7.24797559537084
KIF5C	7.73844742652991
DUSP10	3.62939808988602
CRLF3	6.81300932843086
CLCNKB	3.65562155954892
PSMA5	8.70646134363663
FARS2	6.22922324703199
CCDC28A	7.31197068726539
AMPD3	4.63431852201845
PIAS1	7.79248062870124
ADCYAP1R1	3.61088144726473
TMEM134	6.6110853761545
CDH20	2.88567356818693
FBXO7	7.8652466677594
FLJ14213	3.52378470873499
ZNF3	6.15955448829633
LRRFIP1	6.6056386641039
TMEM49	8.09894271604978
CNOT2	7.85344691484735
CBX2	2.88088554087886
ZC3H14	7.54652429838214
ALDH5A1	7.27247302838595
HNT	2.90348048652808
SERPINA4	3.05403754070768
FLJ20920	4.58110229251257
CRTAP	5.8679900760598
DDX50	8.15699251239278
STYXL1	8.44506222051234
TK2	4.46529312160482
BLVRB	5.65645606958653
STMN1	7.43369634940664
GUCA2A	3.40588350677619
DPP6	2.99176064770444
GALNT10	3.96743331864768
STK39	6.66113602223871
MMP24	4.55444153918684
CKS2	9.11087546221043
RHO	3.66798857734586
BANF1	9.9022398510686
CR1	3.07426757699992
RPS6KA2	5.87678033846636
HMBS	6.31924611381937
C20orf112	4.031912839163
SLC25A24	6.98673289424936
MRPL22	7.70056914912391
SLC25A15	5.30259597623443
GADD45B	4.46498851300304
TDP1	7.03368680668032
ZNF287	3.80355638158969
DAAM2	4.8348940961665
C11orf57	5.03562924537773
RFK	6.66015153152227
ZFYVE9	4.19586868523689
TCTN3	6.60450843734142
