Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F02_491266
Composite Element REF	Signal
TNNT3	3.79582505138683
FBXO11	5.02766036598509
GYPC	7.63125922333473
PLIN	3.58793839818903
RFXAP	3.32598365635633
C6orf15	3.95491894471823
RNF4	8.87592826232589
F8A1	9.09348317101102
PPP1R3D	4.578318670925
GRB2	7.97836762303207
TPM3	3.05774967478806
SYT13	3.83672698760668
EPB42	3.36537611208309
RP5-1077B9.4	5.81490228418996
EIF1	10.7796827902684
CETN3	6.89977242791417
FPGT	5.18311271034916
PRY	3.54621823119101
NTHL1	3.99986980325864
POLR2B	9.3868973679609
RPS28	11.7120289150272
GDF10	2.95609401648922
COQ9	6.8747988491485
P2RX3	2.84545712561178
GCC2	7.25813036484042
RARRES3	7.3952913260883
PLXNA1	6.470989585818
WBP4	4.32734088510732
KIAA0100	6.39614065345209
PMF1	6.46898914270737
HS2ST1	5.82544825169134
CRELD2	8.01143867460238
C8G	2.7809806264693
CD82	5.46877180886402
PMM1	5.02069854188703
CBLL1	4.5904494215396
LIM2	3.30839736200311
VAX2	4.36679656655306
SETDB1	5.11640916814796
LRAP	6.11585521222262
GCLM	6.9776675585322
CPEB3	3.44262185639419
PPM1A	5.94901493297831
INTS1	3.85393741833713
MMP16	3.20273828478726
CAMTA1	3.96673241470910
SAMSN1	6.87466238220066
DRD3	2.79017893966830
GMPPA	4.91629279579868
C11orf73	6.12714688590385
AIPL1	3.81066439360866
PTP4A2	9.51316398130672
IL24	3.17293331721764
BDKRB1	3.22398459317124
HPCA	3.32302300240884
MLF1	7.0347902325869
SEC14L1	6.91453997310378
CHFR	5.8884750645603
EMILIN1	3.77941168039802
THADA	5.91341893986679
TAF12	4.86254854305806
NDUFS4	7.74828305206985
ID1	5.44801734243473
PIK3CB	3.77455665041691
COL18A1	7.86967977795773
PDZD3	3.32817061066715
TBC1D17	4.18927094182335
COX8A	9.57444142936701
CDCA4	6.54706420321575
C2orf44	5.12639002352514
C9orf16	8.25286289336331
ERBB2IP	8.43991215358599
EMX2	8.93527819464331
FUS	5.63726774414504
NIPSNAP3B	3.85985483928704
TF	3.2212482831452
CXorf56	4.8691633396236
CLCN4	3.65910646844081
PWP2	5.64730821988219
MMP15	4.49942780795068
MTMR14	6.46906729535965
NPR1	5.25956398210095
DNAL4	5.46144922095764
ELAC2	4.71702747196999
ASS1	10.5023699110844
IPP	5.6256696078458
TMEM59	9.95332925733127
POLR2J	8.93737058716025
SEC23IP	5.6910132328704
RGS4	4.20244296964052
UQCRC1	8.9595879428975
SNX6	7.28759571941353
DDX18	7.10016535951144
POLG	4.17073408666287
ADAM23	3.96393737967126
ZNHIT2	4.18531479507077
TFR2	3.6125187085116
NCDN	4.64669899826140
RAG1	3.2447954076011
POMT1	4.81546450751488
CYP1A1	3.3869291972912
SNAPC1	5.39430201451275
GNA11	5.8649262979984
CCDC52	2.87019763096752
CAPN1	5.76671804789283
DDHD2	6.91355443748011
UPF3A	6.17535583921577
LAGE3	6.8421841034244
GNRHR	3.08726357041296
UNC13B	4.89922441924316
TTLL4	4.62118989577868
PPBP	2.75565064846681
HTR3A	4.08536985288336
SDC2	5.99500041055332
ANKRD49	7.03527114277223
BTF3	10.1099262765765
COX7A2	10.6998511528465
SARS	7.98588691909373
C13orf18	3.89561697506735
CACNB1	4.13301063339366
QKI	6.21116347679688
SETMAR	5.28586302348848
LAMB4	3.11456558015299
MAN2B1	7.25200674531083
EML3	4.85346538074687
