Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_E01_452050
Composite Element REF	Signal
ZNF146	8.58732292239377
MIA2	3.22551784013579
LY6G6E	2.99818056663024
EIF4E2	8.15827900065648
NENF	5.27359571874538
HOXB5	5.75670697543651
ZNF324	4.50416833602779
CUGBP1	3.95568786029218
ENTPD7	3.94882009178231
TTC13	6.31601630607383
GJB5	3.19821360654798
PRSS22	4.92211469896838
CYP3A5	3.17474422879831
MBOAT5	4.15875959753697
CUL4B	4.73212973903044
CENPJ	3.37022457766162
KIAA0664	6.03431806288256
PITX1	3.31815937077101
PDGFRB	6.64539765136501
RDX	4.95635107439632
CELSR3	4.14846773784864
JUND	6.44064742905318
ITSN1	5.38318865608095
CHRNB1	3.19382205543303
EHBP1L1	3.51192983873194
C19orf2	7.3174954218434
FETUB	3.20436367744615
CAMK2B	3.12495932786088
DCTN1	5.96011712407339
TNKS2	6.28611720726129
MRTO4	7.10738615066859
C1QBP	5.63516765700998
TTC3	8.70591698295535
NDUFB8	7.69894920827083
CADPS2	4.63552937891585
EDG2	5.05003810471188
MYF5	3.08917161969734
SEMA3G	3.54919042319478
IL23A	3.70105978077008
GJA9	3.81984004677671
R3HDM2	7.0757299909147
C5	3.98563324691347
SLC2A10	6.7329549959437
TRIM45	5.08957348632491
TSP50	4.07952759002325
PAQR3	5.49127756581609
ANKRD26	3.36039113439033
TCP1	8.76520373283856
TMED7	6.66847320833722
CMA1	2.85424206704041
PTCRA	4.55107936057662
HCRTR1	3.56917893146582
FST	4.1674571958335
PAWR	4.18229068410295
LDLR	4.24019505397993
ASTN2	3.90216264401807
SCRN1	7.26490900218086
GPATCH8	7.05212787390301
KIF4A	5.93680882769038
TANC2	4.06880795733789
ZMYM5	3.67218565243487
PGM1	8.63899860570792
ZNF586	4.50451897513979
POLR3G	3.69301406230883
CPD	6.63112508781357
SNCAIP	4.44532685823777
DCT	3.40953829144065
HLA-DOA	3.40033302636868
TANK	5.95592867746015
RCAN1	4.73434805285587
UPK1B	3.56215145436025
DNAJB4	4.86466800532584
UGT1A8	3.02934570449252
LIMD2	3.28595316370244
HIST1H4L	3.51098142258161
PECR	4.25567651572116
HSPA2	6.65282856512285
SERP1	8.88357749278596
TACR2	3.41335276282141
NUP85	6.65236392591653
CD177	3.44876173045679
GPR135	3.3048648676922
PIGG	7.49347179057125
LGR5	3.76328451143568
JAK2	3.62671354756154
DPYSL4	3.39923071758715
TM9SF4	5.2542149475042
PTHR1	3.46489144832555
SIRPG	3.02012167595702
ZNF264	6.18457589417523
BICD1	5.19860120905446
RAB5A	6.73072645379553
FLJ13224	3.10911025530587
METTL5	9.57563595419378
HERC6	6.6962690694997
CASP1	5.20296197267329
USP9Y	2.80112544948884
LRP1B	2.77253416636906
XAF1	6.3052688364438
PLA2G4C	4.03002518444455
APOA2	3.26486964013152
SPAG6	3.30207283376772
KALRN	3.23209707051429
SECTM1	5.56837946674489
THOC7	9.23135362359342
IFNAR1	4.22712689391945
TCTA	5.92605959312564
NY-REN-7	3.07907570086201
TALDO1	8.68069131524525
B2M	11.2715445264552
LPPR4	6.3035224114613
SQLE	6.49236079149776
SEPHS1	6.15497119324781
EIF5A	5.56370705278358
FAM49A	4.26011468493459
YTHDC2	3.98917202765931
EHD2	5.3428093137629
NCF1	3.84936653754091
SPG7	5.6471398777046
ZNF614	3.38415491138259
HOXA5	5.24055087071255
NUP133	7.91555446809252
FGF12	3.58670993230913
SLMO2	7.74431280196091
INPP5B	4.43599548779916
PPID	6.56233466949001
SNTA1	4.32058710786801
IL20RA	3.62627016881865
UBE2J1	6.03288045312399
CACNG2	3.26391818323586
GCM1	3.2383487561776
ELF1	7.13446016307189
TLR5	6.05209137996259
TCFL5	7.3237522961678
C1orf107	5.79029599088184
C19orf22	6.72752851452127
SAFB2	6.2599413381951
MAP3K7IP1	4.18244527594711
NCK2	7.95128133506962
OXA1L	8.44130228308859
KIAA0652	5.34746106285634
KLRG1	3.44608993043793
FRAG1	6.04985104157437
ZSCAN12	2.87217783505772
PSMD12	7.45850373970546
E2F4	5.23311378309626
CLEC4M	3.45845405082113
KIAA0999	5.27096039925982
CLDN10	4.07554835147927
MGC13053	4.26329986529508
TAC1	2.84732741386963
GYPA	3.26590657889346
HPCAL4	3.24577043402800
TRAIP	4.08138201063698
MEX3D	4.600657714167
KIAA0232	6.91616183856234
ERCC8	5.26072647407494
NFAT5	5.25977802565106
GPX4	9.53921029402814
CSPG4LYP1	3.21226140398420
KIAA0368	5.64204441927042
FBXO3	6.27727576346842
DVL1	6.75212671919112
CMKLR1	3.67112961626539
GPR157	3.48044508728314
TYMS	8.88833644750115
OR52A1	3.2787347229239
PEF1	6.0513546685082
ZNF750	4.93569517172057
ALG9	5.31253720060489
MCM5	4.97203058141817
SDK2	3.39730095409793
BAIAP3	4.01413372825404
RABGGTB	7.36287367325455
KCNK7	3.44598224340071
PTP4A3	6.43881481777908
ANKRD40	4.58739194474432
CALCOCO2	7.00537955014767
TMSL8	4.84458021217492
SNCA	4.65759921721487
ZNF551	4.07832853616318
HBQ1	3.712731328417
ARHGAP26	4.18803565996481
GEMIN6	6.47169840618722
HRAS	5.08412746216103
KLRC4	2.66932108325249
BSDC1	5.39350698664752
DSC1	3.67386620103198
RNF43	5.23254228149376
NDUFAF1	5.46771175954928
MAP2K4	4.46905052209475
FOLR2	4.57660682297911
LYZL6	3.90138454547689
EPB41L3	3.69051650793749
TEKT2	3.56111275671095
CDKN2B	3.55084012078828
WSB1	6.87181642800389
ZNF480	3.55699594617661
MAP3K6	4.19393031208416
PROS1	6.34495156632477
PSMB8	6.85644053686303
