Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D04_298068
Composite Element REF	Signal
PLA2G4C	3.49390967356444
APOA2	3.36805226007087
SPAG6	4.29529530649148
KALRN	3.28223723234101
SECTM1	4.65104851505802
THOC7	8.75280865854223
IFNAR1	3.99214519006149
TCTA	5.34780246826337
NY-REN-7	3.28380773800623
TALDO1	9.67314201460147
B2M	10.2983139120595
LPPR4	3.23800639529631
SQLE	7.02046083730794
SEPHS1	7.36837124194258
EIF5A	6.25797360682802
FAM49A	3.74552015520453
YTHDC2	4.39167848861232
EHD2	4.29349859134753
NCF1	3.32191736313003
SPG7	7.05717041222518
ZNF614	3.92118573086514
HOXA5	6.27263320182408
NUP133	8.21181672014577
FGF12	4.14856331580107
SLMO2	6.77833485326952
INPP5B	5.31594736704305
PPID	7.10796475157025
SNTA1	4.18292667794979
IL20RA	3.81534029378356
UBE2J1	6.578025612246
CACNG2	2.96008980769148
GCM1	3.46365108725177
ELF1	7.7630075658667
TLR5	3.60764140828679
TCFL5	6.12579134062798
C1orf107	6.09873715500205
C19orf22	6.57424022427271
SAFB2	6.00688041531801
MAP3K7IP1	3.89213245201652
NCK2	8.64239175058426
OXA1L	9.30100196902278
KIAA0652	5.68080375515637
KLRG1	3.75426690625701
FRAG1	6.55865975026189
ZSCAN12	3.40958969392369
PSMD12	7.21347523485993
E2F4	5.32392762355915
CLEC4M	3.86395455622584
KIAA0999	4.54248497225394
CLDN10	6.91008044044486
MGC13053	3.81322242222344
TAC1	3.09106907573324
GYPA	3.34833968703181
HPCAL4	3.00819401732485
TRAIP	4.34921912651659
MEX3D	4.32419964112779
KIAA0232	7.79603109053681
ERCC8	5.81957608750148
NFAT5	5.37557575175057
GPX4	9.13908289806844
CSPG4LYP1	3.07699300089772
KIAA0368	5.87282017563806
FBXO3	5.54961171944632
DVL1	6.38379722190266
CMKLR1	3.48584318621989
GPR157	3.20578549515770
TYMS	9.3578613724293
OR52A1	3.23714751103526
PEF1	6.64444856901098
ZNF750	4.01336101331538
ALG9	5.86126972713311
MCM5	6.06692727769581
SDK2	3.52689987905931
BAIAP3	3.749583347742
RABGGTB	6.25839379498766
KCNK7	3.20188968885026
PTP4A3	4.46222853313204
ANKRD40	4.12830842085471
CALCOCO2	6.19283323618981
TMSL8	9.9335549644592
SNCA	5.20182808380585
ZNF551	4.38657482621087
HBQ1	3.55373650275024
ARHGAP26	3.72348888559484
GEMIN6	7.06444921783063
HRAS	6.02198692437124
KLRC4	2.82977353522084
BSDC1	5.13914895934149
DSC1	4.20388728644639
RNF43	5.30861761296493
NDUFAF1	6.4569028221698
MAP2K4	5.54495570976598
FOLR2	4.57240486760213
LYZL6	3.66534274903154
EPB41L3	3.15494323458193
TEKT2	4.60100483424233
CDKN2B	3.36692859976589
WSB1	6.05463412474463
ZNF480	3.87026452518560
MAP3K6	3.76128054915788
PROS1	6.2671218544927
PSMB8	5.75057400307058
HN1	7.984663219094
MAS1	3.51097345715505
APOL1	3.88412197150211
CSHL1	3.31210811142558
ZBTB7C	3.01887015917632
AHCTF1	6.01759360035194
SAE2	9.25457727080695
ITGA2	3.77457173067738
AP2S1	9.2929169703921
P15RS	7.16307516897611
MME	3.47323431145247
VAT1	6.49453737935223
MAST4	4.65997434107839
TUFM	9.84009338955179
KRT33B	3.51227075905822
THEG	3.70867935458178
KCTD2	5.34802813532164
WDR26	9.50612389169918
MFI2	3.51851941614051
KRT34	3.49038892646974
NR4A3	3.47325103614595
SGSM3	4.70189898029392
ARSA	3.42167347113445
TOMM22	5.91679364083318
SOCS3	3.45191223754935
UNKL	4.84281020942441
POP4	8.12911114198734
BHLHB3	4.82812369725573
MALL	3.58690768842443
SOX15	3.30893445984056
CCNA2	7.30570608655492
PARK2	3.38344603586517
GPR124	4.29272168742412
TMEM132A	5.12649511015567
CGRRF1	6.34513421996308
RUVBL2	8.84696804530425
MCAT	6.25964270785033
WNT10B	3.89189631668349
ISCA1	6.60127886515682
RPAP1	5.58241238259998
C12orf48	5.95338139290901
RAI16	5.1745179510254
RPL27	9.5429069323914
EPN1	3.84868921900596
MAGI1	3.59581939930011
GBX2	4.87555776375561
SLC35A1	7.66644453014898
GAL	4.47105869685962
SLC14A2	4.67702987296226
RDH11	7.31308798730026
ZNF518	4.88782906237567
PCYT1B	3.41936217896544
AUH	6.31072412895173
EIF3H	11.8242719996095
KIF1B	8.24354490066253
MBD2	4.35611999580604
AMOTL2	8.41763120149866
C6orf120	6.83504883817091
PIGT	8.23815906795777
PSRC1	6.74037853972723
PLA2G10	3.56592648039663
ALAS1	7.33796319428495
FOXO1	5.89707269003256
C17orf62	6.99178633317453
KIF5C	5.87486768737035
DUSP10	3.69772110241052
CRLF3	6.14821433253247
CLCNKB	3.65172279105366
PSMA5	9.6271337403751
FARS2	5.1659225778678
CCDC28A	6.21870541805967
AMPD3	4.48071157171059
PIAS1	7.39280780119008
ADCYAP1R1	3.54639888816631
TMEM134	6.76261358937088
CDH20	3.07845135309952
FBXO7	7.65605251776039
FLJ14213	3.31930386851672
ZNF3	5.12320796380134
LRRFIP1	6.11561109308719
TMEM49	7.31374386633456
CNOT2	8.7047127356087
CBX2	3.3703513748873
ZC3H14	7.24231657174705
ALDH5A1	7.54148625094625
HNT	3.44773579661774
SERPINA4	3.17465494093313
FLJ20920	4.97140699189249
CRTAP	5.09319299628695
DDX50	9.00604746012885
STYXL1	7.74608207900779
TK2	4.87007700654965
BLVRB	5.05046696255302
STMN1	7.98776952470294
GUCA2A	4.37900441489947
DPP6	3.1856478121568
GALNT10	4.30518114780874
STK39	5.88396001008989
MMP24	4.48029986829577
CKS2	9.21048883150904
RHO	3.76857637932278
BANF1	9.85788933139317
CR1	3.00923628028244
RPS6KA2	4.77813489574506
HMBS	6.14088452145446
C20orf112	3.90131613226761
SLC25A24	7.22637426537831
MRPL22	8.56704367980917
SLC25A15	6.86422714827854
GADD45B	4.01031740700231
TDP1	6.75717980124876
ZNF287	4.4126433641715
DAAM2	4.31433983621705
C11orf57	5.38318522755672
RFK	5.64472195202857
ZFYVE9	4.35721075068199
TCTN3	8.01859021789565
STCH	6.57940916939749
LOC283871	3.81943780384274
NDUFB3	7.92476204315511
DEFB4	3.74549194555768
FPR1	3.47258673091441
FMNL1	3.60511787027263
SEPT7	9.56719760433987
PTCD2	5.18647926307307
GNLY	3.36146233436124
GRAMD1C	5.39453203798411
ZNF165	6.18544789013983
TR2IT1	5.45584893406314
ARMCX3	6.00967231320336
NDE1	5.63624491585396
MAGEF1	7.67758792925684
ITGA10	3.55161991047666
ARHGDIB	6.80276729545144
FSHB	3.85400240657827
ANXA2	10.1391480223233
HLCS	3.99656908333896
MCF2L	4.87179725567828
AK1	4.71171664482668
FH	7.06298305618066
LGALS2	4.26540387042356
SYNPO2L	2.69843687382986
KIAA1045	3.33107998963093
C1orf183	4.85274341652368
MAGEA8	2.97572449318429
DGCR8	4.68421291475666
GSR	5.68291723879256
NEU2	3.39821121897091
HIST1H4B	3.3360780021212
CACNA1C	3.13109424252353
FAM20B	6.52190422784237
HES2	3.17321017802432
PDCD6	8.41469478314365
INTS7	5.58445185119541
AMPH	4.37383320866897
UCKL1	6.94517026802414
ASB4	3.06136525912544
C10orf97	4.24201019857669
ALDH1L1	4.30998003277236
CCL23	3.27588209132915
OBSL1	5.62884509817123
SLC12A7	6.44199089569162
THAP4	5.70822173003835
RBM4B	6.29648216565869
OGFRL1	3.88610029058462
KIAA0831	6.87754541962417
C12orf11	7.17352602428379
PPP1R15A	4.00059837551604
KIAA0240	5.2898138861987
CD1B	3.38012505572578
FCGR2A	3.64443448590725
MDC1	6.47780890033524
MAN1A1	4.07861145550165
KRT9	3.59531849831364
HTR1A	3.30932743655626
OCEL1	4.83481049965542
ATP11B	5.10013343018602
NLGN4X	4.36555005778548
FBXO34	7.68251716454727
ALOX12	3.29460602622525
RB1CC1	6.12988968347522
PCDH12	4.39751927159659
RPE	5.76295304196116
EIF4E	6.32920288752662
CSDC2	3.74536535438733
ABHD5	5.11820255107387
TMBIM1	4.73255262184434
PET112L	5.15464847711716
P2RXL1	3.21593759663213
F2RL2	3.37968190052748
TRMT1	6.47273991627774
IMPG2	5.06692235209155
LRRC32	4.48120915691103
BGLAP	5.54484631386094
HTR4	3.41051281408995
MRAS	4.97951922239747
TRAF6	5.15468246689868
AXL	5.02734635005881
ATP2C2	3.81165857840407
LMNB1	6.66566185780478
TELO2	4.84859457532422
PNPLA3	3.9306213996815
CSNK1E	6.19757246991634
SRP14	10.654682568075
KCNQ4	3.51056100520751
PIK3C2B	5.50190616988274
C15orf15	9.27127878431723
TUBB2B	8.75612300592041
USP15	4.47431816618523
C12orf41	7.64996428266915
CEND1	3.35271173530411
RNF31	5.20273350283725
TCEAL2	5.13096907302838
PTGER2	4.51543540811247
UBN1	7.31483711937585
SLC5A7	3.50210132607191
SLC31A1	6.28857393528765
ADAM29	3.5476742667549
ST7L	4.69429060877983
GFOD1	4.0425210656643
CTNNA1	9.79635306683972
HRBL	3.65052666011141
CBX4	4.07314179709883
NTRK2	4.23043330453316
FOXN3	5.33955292216603
MFGE8	4.67684011260854
PFKFB2	3.63193082375960
TAS2R4	3.5926227584301
SH3TC2	3.21269036800241
IL10	3.41101877810076
PXMP4	5.250114777321
RNF167	5.74269388705987
PRMT5	8.90226313200248
TSKU	5.49276540126675
ATPIF1	7.24670581086692
ETV3	3.52889914672394
PAK7	3.27877370849963
PDLIM1	8.74958979206272
CEP63	5.5629827824161
WDFY3	4.68390601968636
RNF126	4.81474438827298
DPM1	8.95023113778635
CLIC4	6.71629417422912
ACR	3.75572500562707
KLK7	4.50603839610497
ALOX5AP	5.84159409901655
LRP1	4.81441690691964
TNK1	4.09827630275975
TAS2R9	3.20826428039393
ZNF16	6.08148815169631
POLR1B	5.02256930970567
SLC8A2	3.7101504946463
OLFM4	6.90831601720206
TACC1	4.40529133087595
SAMHD1	4.34773719390393
ATP13A2	5.46441574944894
KRT4	4.00913784709688
PAX6	3.45331196028544
SCG2	4.53923940769387
SLC17A6	3.72396449693991
TUBB4	3.99179688397587
PADI4	3.03667250528117
FMO3	3.01051410578053
NLK	4.50752597450365
POU4F3	3.21365336540034
MDM2	4.19803640784247
CAPNS1	9.2291867139416
SDF4	6.21324916577156
ITGBL1	3.12238062124958
TAP2	3.7665599449137
OR2C1	3.49946600816383
KLHDC3	7.30836847413682
EFHD2	5.6186047271594
GALR3	3.76572527032592
NBEA	4.91639011748525
ABCA6	3.41031923042912
ABBA-1	4.07525013904298
GNAI1	5.40260563815164
CLDN3	6.8870367759133
AKT2	3.68919469795821
EGFR	4.00379067275484
VPS4B	6.47359267300523
RBM16	8.12694687971392
GALNT6	3.40091616886642
ZDHHC3	5.38088443379653
SLC25A4	6.32029801707972
CYB5B	6.42121772513023
NDRG1	5.63669198777276
SESN1	5.836805947524
GBE1	6.4669125092725
MRPL46	6.73810896318772
CLASP1	5.98872516035773
FARP2	4.2110667573856
ACOT11	3.65523109719987
LDHAL6B	2.86968871939221
MAPKAPK3	6.02369446442622
NCAM2	3.06011389199351
AFAP1	4.30692403793999
PRKD2	6.30843694299602
OR2H2	3.36730476148003
ZFP36L1	6.53605781063306
DZIP1	6.18668977088562
GPR161	4.69932505173417
RNF146	4.75560470808674
NKX3-1	4.10130969558131
CCNB2	9.35929889434829
ZNF10	6.39123755734425
WDR74	5.69524486148297
FAM134A	7.50303982004262
