Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_D12_586150
Composite Element REF	Signal
AP2S1	9.15981006635731
P15RS	7.67256928764111
MME	3.88722833305570
VAT1	7.54506380080462
MAST4	4.76499010603158
TUFM	9.32618889280066
KRT33B	3.45144381016044
THEG	4.00341359755073
KCTD2	4.82161313863048
WDR26	8.93276830244743
MFI2	3.20917965484227
KRT34	2.89701035215577
NR4A3	3.67156762877127
SGSM3	4.7738529307187
ARSA	3.82171725584613
TOMM22	6.7786782462318
SOCS3	3.60304436211771
UNKL	3.77909411850654
POP4	8.66917951695618
BHLHB3	8.03556766611287
MALL	9.31381526289325
SOX15	3.20934611883954
CCNA2	5.74445857948225
PARK2	3.21584741630405
GPR124	4.31261682706814
TMEM132A	5.23861028381347
CGRRF1	7.72790321725567
RUVBL2	8.84873448533283
MCAT	6.89566245662412
WNT10B	3.53752887104205
ISCA1	7.10370608962694
RPAP1	4.10117550160012
C12orf48	4.96407341635108
RAI16	5.10672873810436
RPL27	9.94676771704612
EPN1	3.7595100146293
MAGI1	2.88078084416779
GBX2	3.35044339864844
SLC35A1	7.32504449185066
GAL	3.86926342222905
SLC14A2	3.78858621907729
RDH11	7.89702365112884
ZNF518	4.18175266629411
PCYT1B	3.23433125573105
AUH	6.84274413967626
EIF3H	10.6519197147834
KIF1B	4.8971183104162
MBD2	4.58083969473757
AMOTL2	7.61260689477146
C6orf120	6.693557995386
PIGT	7.44175932655261
PSRC1	4.89681768800218
PLA2G10	4.55192659363098
ALAS1	7.10160160854974
FOXO1	5.82221603849551
C17orf62	6.65916375476324
KIF5C	3.68057575479328
DUSP10	6.38175917828143
CRLF3	7.21459941718406
CLCNKB	3.73962189585544
PSMA5	9.6060364524204
FARS2	6.55190078501331
CCDC28A	6.9345839846952
AMPD3	4.95802605856313
PIAS1	6.43910648208739
ADCYAP1R1	3.30178447342481
TMEM134	8.03766273634937
CDH20	3.01936624669365
FBXO7	7.89829341531921
FLJ14213	4.86781686916859
ZNF3	5.69507192942484
LRRFIP1	7.39598290488142
TMEM49	10.1115602786259
CNOT2	7.35832939162048
CBX2	2.80519448072076
ZC3H14	6.3360818169279
ALDH5A1	5.27557921269283
HNT	4.02945624918656
SERPINA4	3.1163517354521
FLJ20920	7.38137607246564
CRTAP	6.49733279081974
DDX50	8.3943571031094
STYXL1	8.24304378389334
TK2	5.25404233253885
BLVRB	8.26766639467538
STMN1	7.20886422801717
GUCA2A	3.25969600331871
DPP6	3.15041962322041
GALNT10	4.47581727876783
STK39	6.26979157752404
MMP24	4.52756863774393
CKS2	9.41169200039183
RHO	3.75461475011631
BANF1	9.6166615723592
CR1	3.22985443382801
RPS6KA2	5.85412181365082
HMBS	7.0205756253648
C20orf112	3.71081589066185
SLC25A24	7.9771767520595
MRPL22	8.61322427256505
SLC25A15	5.59526761315933
GADD45B	4.99321725122294
