Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G05_297928
Composite Element REF	Signal
ANKRD26	3.60742705824357
TCP1	8.1454656036553
TMED7	6.80794091990452
CMA1	3.15469838002118
PTCRA	4.45682212817851
HCRTR1	3.88660865605439
FST	3.87155711011684
PAWR	3.94195698367903
LDLR	4.63372429556262
ASTN2	3.88121629894191
SCRN1	7.10220031819754
GPATCH8	5.07865738190421
KIF4A	6.05741900302337
TANC2	3.11550092437210
ZMYM5	3.69026392452854
PGM1	6.97684831898628
ZNF586	5.50116258573636
POLR3G	4.34995108868497
CPD	6.45317152149422
SNCAIP	3.75923498531033
DCT	3.42422204316433
HLA-DOA	3.65780558746994
TANK	6.19143398386877
RCAN1	4.65819622559635
UPK1B	3.35908436971636
DNAJB4	4.40582548142399
UGT1A8	2.91892518381122
LIMD2	4.11514639070685
HIST1H4L	3.56063953665337
PECR	4.04152413861262
HSPA2	4.53232928851862
SERP1	9.3834656802843
TACR2	3.55620607478051
NUP85	7.11899998609545
CD177	3.30136850243427
GPR135	3.4290303350104
PIGG	6.06089973026034
LGR5	3.07889725031064
JAK2	3.64842967019243
DPYSL4	3.44487321798948
TM9SF4	6.3502434727948
PTHR1	3.44337409195534
SIRPG	3.48717186209342
ZNF264	5.33094285687493
BICD1	6.08163117783206
RAB5A	6.89674545540358
FLJ13224	3.18613842615222
METTL5	9.39413725957745
HERC6	5.78333050125651
CASP1	5.64377539694244
USP9Y	2.82083007267071
LRP1B	2.95399675232815
XAF1	5.80021197808554
PLA2G4C	3.7626201784912
APOA2	3.32318989558976
SPAG6	3.30414142254869
KALRN	3.23418811997461
SECTM1	6.00231904101844
THOC7	9.28226523399865
IFNAR1	3.8666699562099
TCTA	5.99668104768569
NY-REN-7	5.25262328086032
TALDO1	8.83000458069256
B2M	11.1047518221872
LPPR4	3.70376768342883
SQLE	7.37842372421205
SEPHS1	7.0698781376573
EIF5A	5.16393461787955
FAM49A	4.39435854245071
YTHDC2	4.36156848701198
EHD2	4.11436985928685
NCF1	3.58924527019115
SPG7	6.09470287847763
ZNF614	3.59418174935302
HOXA5	3.51184987299095
NUP133	8.52452150944315
FGF12	4.08013731834055
SLMO2	7.0606415145776
INPP5B	4.58848658911312
PPID	5.66697528307293
SNTA1	4.58254297017308
IL20RA	3.8162152305082
UBE2J1	5.13993911750119
CACNG2	3.05801898159048
GCM1	3.3015937361018
ELF1	5.59741972800354
TLR5	6.66522703704503
TCFL5	6.57189981879412
C1orf107	6.78549217972152
C19orf22	6.48977423229591
SAFB2	6.5408249781552
MAP3K7IP1	4.1551906731225
NCK2	8.34077849528443
OXA1L	8.65842953346284
KIAA0652	4.61019050976639
KLRG1	3.12858564058266
FRAG1	6.25458159564499
ZSCAN12	3.38329348586938
PSMD12	6.7861950331632
E2F4	5.13763253623904
CLEC4M	3.62218423129083
KIAA0999	5.08574539206931
CLDN10	6.7083208873246
MGC13053	4.30351418963045
TAC1	2.4883262172686
GYPA	3.67394079875396
HPCAL4	3.08167099508526
TRAIP	3.86611743447132
MEX3D	3.68592730701756
KIAA0232	6.32558160464615
ERCC8	4.25392248493956
NFAT5	4.33838996819417
GPX4	10.0443254080474
CSPG4LYP1	3.4889695913058
KIAA0368	5.98657189769332
FBXO3	4.20751380867276
DVL1	7.60365464005488
CMKLR1	3.7368199519063
GPR157	4.90395914466073
TYMS	7.1825171100492
OR52A1	3.25634432879096
PEF1	6.345502435718
