Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_D02_433686
Composite Element REF	Signal
RICS	6.49126728858343
PIR	6.19967683743739
PPCS	8.72790809771906
IPO9	6.05755518088529
LONP1	7.46457466552499
EVC	4.87700575699887
CXCL13	5.18984310461599
SCYL3	5.44909485390759
KIAA1199	4.20025656508035
SORL1	7.93785608943274
NAT10	6.89156410485066
CHD1	7.01518974981881
SYN3	3.46710262791571
DMC1	3.91173173269184
SLC22A2	3.82228548664961
SERPINF1	8.46779657226678
C20orf27	5.5044293835554
OR7A17	3.02855597354443
RPS6KA5	4.44343201781623
LHB	3.23801397827397
TAOK3	5.65794663921753
STK25	5.18907348244078
SLC12A4	3.82381075195013
BRCA1	3.94745733891898
GBL	6.1837659061121
C14orf108	8.1052823983294
CDC25B	7.57310118868393
BMP3	3.22230495322254
MAP1LC3C	3.290340507642
TMEM180	3.62578998524503
CRYGC	3.56140204516601
SLK	7.48676236659158
POU3F1	3.24495549063096
C20orf32	3.8605877459722
USP52	4.63131074227292
HIGD1B	3.95396443694957
BAZ1B	6.9785023058801
USP6NL	5.8436486200207
SLCO2B1	4.02192255797423
ABCD4	4.10262532174624
DIMT1L	5.80159548609315
SLC25A46	7.59057711370027
LARP7	7.61076612628767
TEK	3.49958084602567
CD160	3.57097335934835
TERF2IP	8.07789794275995
PHF20	6.67339329973704
COL1A1	7.49056312381927
KIAA0090	4.87920920057058
GTPBP1	4.84024133097165
GRK5	3.60653262999877
AP1S2	4.86173420258084
RAB33B	5.93604497260617
CA11	4.14416872269143
ALDOC	5.25082564013553
NUDT1	5.32138273802818
ZNF212	5.01209884014253
ACBD3	7.5903936811675
ZNF83	7.40879242568831
PRDM2	4.92287172140312
GDPD5	4.63846331356601
PDCD4	6.67075618551402
CEP350	7.24289119130639
FOXP3	3.35243857543799
SMYD3	6.0414937255194
CST7	5.33864308873058
SELL	4.26107468030287
CIAO1	6.53948779674812
LGI2	3.61429455505264
WDR45	6.78153871447037
ANKRD6	6.44939905793803
LTBP4	3.62627640825876
PSCD3	3.31033000688726
PYY	2.95296203449537
KCNC1	3.14994600494206
SIRT6	4.70202563745394
CCL19	4.01237595140705
ARHGEF9	4.79912062288008
ABR	4.1756864426289
C10orf22	6.75486793422693
STK17A	5.87902658154264
FOXE1	3.23652987198838
GML	3.27586106803660
CNGA3	2.99917700029873
CD38	5.90183711427317
ZDHHC6	7.62524932281006
NEFH	3.21412609818737
PGBD5	4.20587630661729
CTDSP2	6.68889067457958
RMND5B	6.20981208613408
ZNF257	3.23052228457389
DUSP4	6.9198721525168
FLJ22167	6.32190250364194
EXOSC7	7.10067212287394
ROR2	3.59517619751256
FOXM1	4.43384735428883
ZBTB48	4.59885022936273
BUD31	8.2285920775307
MAOA	5.63296303559556
CCDC41	4.49920685948624
TNNT3	3.88978736443339
FBXO11	5.60024618760935
GYPC	8.83616027525647
PLIN	3.62171945132779
RFXAP	3.18098083878817
C6orf15	3.86761461108382
RNF4	8.12687868228826
F8A1	9.38857113770457
PPP1R3D	5.60901265279784
GRB2	7.17862519146981
TPM3	3.18495885668471
SYT13	3.43431198348937
EPB42	3.47118971337346
RP5-1077B9.4	5.16347201944455
EIF1	10.1947380712118
CETN3	6.5112305010036
FPGT	5.47555842317384
PRY	3.59411476004092
NTHL1	5.9856867467095
POLR2B	7.88396308547592
RPS28	11.9431702058567
GDF10	3.27864965982901
COQ9	7.65855592458345
P2RX3	2.91375738617641
GCC2	7.29296989299902
RARRES3	8.2948889555506
PLXNA1	6.4854955940227
WBP4	4.87339970877186
KIAA0100	6.2756726970298
PMF1	6.22141527818065
HS2ST1	6.13565512140662
CRELD2	7.58288207512866
C8G	3.1289033865496
CD82	7.30034613599133
PMM1	5.78937414196932
CBLL1	4.58140932412432
LIM2	3.26255283137262
VAX2	3.18034853956963
SETDB1	4.87291371294128
LRAP	7.5132962902842
GCLM	6.29671012358764
CPEB3	4.55106316207865
PPM1A	6.02435817844399
INTS1	4.49941235725872
MMP16	3.21840197139418
CAMTA1	4.33021718987003
SAMSN1	5.69397872744004
DRD3	2.79166837152718
GMPPA	6.3115045667184
C11orf73	5.15141486166823
AIPL1	3.64117737907229
PTP4A2	9.62622047517163
IL24	3.49287490754003
BDKRB1	3.71755562981441
HPCA	3.4942079930191
MLF1	5.42872436052751
SEC14L1	7.12047441212895
CHFR	5.62820210254791
EMILIN1	3.96697456286512
THADA	7.56417729047484
TAF12	5.06353069625378
NDUFS4	6.91410670512162
ID1	5.23046584811704
PIK3CB	3.71445547191176
COL18A1	6.48873061177418
PDZD3	3.32093520702971
TBC1D17	4.68289988382957
