Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
RP5-1077B9.4	4.80268911241053
EIF1	9.43181510334053
CETN3	6.69500298451424
FPGT	4.990350185474
PRY	3.69867605652077
NTHL1	5.89450333898054
POLR2B	7.87083934889605
RPS28	12.0318595124021
GDF10	2.91163053073914
COQ9	6.87726297392465
P2RX3	3.08820998318664
GCC2	5.32661504929034
RARRES3	5.36678202882449
PLXNA1	5.73265426087526
WBP4	4.23671627155289
KIAA0100	5.33881280831157
PMF1	5.64036851705871
HS2ST1	5.70230122108314
CRELD2	8.4216362360899
C8G	2.93666246843384
CD82	5.67422330804893
PMM1	5.36293920247406
CBLL1	4.76707684906653
LIM2	3.50108068422962
VAX2	3.45414438863301
SETDB1	5.08851442519834
LRAP	3.18868255685022
GCLM	7.45514005968213
CPEB3	3.68850804745245
PPM1A	5.13615066823311
INTS1	4.41001663922953
MMP16	3.22801790051737
CAMTA1	3.69018206522723
SAMSN1	3.84967301180391
DRD3	3.18055539124359
GMPPA	5.54871245261892
C11orf73	4.6449797757025
AIPL1	3.87205014072433
PTP4A2	9.15627059603379
IL24	3.38521309485023
BDKRB1	3.3394651180737
HPCA	3.66254853735809
MLF1	7.58081830770006
SEC14L1	6.49570732577134
CHFR	5.12972338255742
EMILIN1	3.40422516522014
THADA	7.27421888449357
TAF12	4.49779824777937
NDUFS4	6.2347570700813
ID1	3.56247093011854
PIK3CB	4.73950508938576
COL18A1	6.6043592346288
PDZD3	3.29868350590913
TBC1D17	4.26429655020075
COX8A	9.21759374995725
CDCA4	6.23043726257582
C2orf44	4.33490747013549
C9orf16	6.3014737274956
ERBB2IP	7.91433859450352
EMX2	2.74597810012209
FUS	6.22509193813983
NIPSNAP3B	3.70564092920978
TF	3.27498975247971
CXorf56	5.57704048036658
CLCN4	4.32017459526881
PWP2	5.08167392039114
MMP15	3.98407219461299
MTMR14	5.53024272034199
NPR1	8.92911362972867
DNAL4	5.0636616908391
ELAC2	4.54554804824945
ASS1	10.2362643168429
IPP	5.4315227262089
TMEM59	8.32521677955743
POLR2J	9.31115584777232
SEC23IP	4.21090064040828
RGS4	3.7559701533902
UQCRC1	8.40302346939417
SNX6	7.15522804778947
DDX18	5.95987673984317
POLG	4.36710969233767
ADAM23	4.18352347217742
ZNHIT2	4.95854616659336
TFR2	3.73229362730144
NCDN	4.39129092729165
RAG1	3.48468462942765
POMT1	4.07202675418883
CYP1A1	3.58146702176107
SNAPC1	4.96289238783793
GNA11	5.44220951652863
CCDC52	3.2022458101428
CAPN1	7.2481763056275
DDHD2	6.62189257393938
UPF3A	4.09844064583941
LAGE3	6.35062980926764
GNRHR	3.28307506695798
UNC13B	5.30287246358781
TTLL4	4.81967041293556
PPBP	3.02901233399365
HTR3A	3.24585252670934
SDC2	4.67189874965667
ANKRD49	6.55043914670908
BTF3	9.3296414295272
COX7A2	10.3500158581564
SARS	6.02223013567027
C13orf18	3.57510721583056
CACNB1	4.15819993876925
QKI	6.05666483418081
SETMAR	4.43552275312727
LAMB4	3.44181098653074
MAN2B1	7.0928469672448
EML3	5.04991018671593
ACADL	4.46518112779967
OFD1	9.02440011545416
CGA	3.787745067605
EIF3EIP	10.2480064422695
PEX16	5.40708814137341
GNG12	7.20034173786617
HABP4	5.12085120551402
CNTN2	3.59434829773337
ASNSD1	6.31391515679888
FUT4	3.93692382025046
DBH	3.49098585971562
CD53	4.98612135902245
HIST1H2BJ	3.28875626504456
TFAP2B	3.24068173212577
ACF	3.97053749803978
TMEM11	5.73527638953732
CDH8	3.38257310541372
C3orf32	3.77226744931569
AGPS	3.85094726932544
C4orf18	3.24898103836728
PCCB	6.3587350285386
IPO13	5.32230902056178
PECI	5.15938371844471
UNG	8.24077255665115
C6orf105	3.91491035603020
