Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A04_491166
Composite Element REF	Signal
PECI	8.29027342472903
UNG	7.33868280055003
C6orf105	4.06894798317386
GSTP1	9.73665337747706
SUV420H1	6.93330164739194
ARHGAP15	5.21430311069061
LTBR	6.5185491904666
TDRKH	3.28125428440375
PSG4	3.20859844226288
SLC9A3R1	7.28551454120973
NBPF3	8.8994516136432
SLC9A3	3.58585756469032
OSBP	6.3006439996121
PRR5	4.91019877289082
CHMP7	4.99105294990914
ADRA1A	3.02322338728878
ASAH1	7.58347810032587
FKBP4	6.919610693416
ZNF350	4.88825858569752
DOM3Z	5.47098152057946
GIPR	3.78255906589411
AHI1	4.73598637106745
BST1	5.18048087949465
NCR2	3.55863452888198
NADSYN1	5.44051500320374
UBE2W	6.58113505639408
RGS14	3.89386715789007
KRT15	3.40973275668381
SCN11A	3.64182718450420
GFI1	3.61326216128531
FHL1	5.06333253611118
SMC6	6.33372452459203
GATA1	3.51631452931463
OSGEP	6.16938816282952
ARMC6	4.48503622626745
HK3	3.24776022798804
PSMD5	7.88194179605594
RSU1	7.71972867575088
RPL4	11.6085643637095
MAD2L1	10.1430384264984
RBPMS	4.64902203937161
EIF4A3	9.78510898737133
E4F1	4.56524935247144
DLEC1	3.47640358250774
PRPF3	5.38309304994722
EMR1	4.66682427833493
CHMP2B	8.22724472755118
CAMSAP1	4.11096783028473
RPS21	10.4629169644509
XCR1	3.56338063493166
ARID5A	4.22101619875920
RBM6	5.10826585145502
UBE2N	8.70978892277657
KLF4	4.74142614717646
MGC4172	4.77190923185337
LMO4	6.37816849029227
KLKB1	3.16205966246307
HDAC3	6.6572329545256
HP	4.18479106776593
SCHIP1	6.00710992851342
BTK	4.38186701570424
KRCC1	8.7840208249831
PRND	3.08215212815357
C6orf27	3.63033523419111
PIGL	3.53626227688882
CLCA1	3.67370653600843
C1orf112	5.32605774239751
OLFML2A	5.41002971227397
HUS1	4.87920237498079
SFRS6	6.64097578509696
CXCR7	6.45419962408575
UIMC1	6.24751513063146
FXYD2	3.49381832150145
GOT2	7.91138138095753
ZNF667	3.97827806026998
TFEC	5.57148694946083
ATP7B	5.24854188567294
RAB38	6.09517469466254
POLD2	6.75588898527057
PPM1H	4.73832856617834
DCX	3.25892640386388
NFYC	5.41714081797764
ZNF228	3.57931927561328
KIN	7.06931634689763
PLSCR4	5.03716033098117
HIST1H4I	3.95745413047757
PPARGC1A	2.86975827244824
HIG2	8.2229412364196
KCNK10	3.78778979662191
EXOC1	8.42707468558488
OR6A2	4.03379953926166
ETFA	9.52690716022158
PDAP1	4.49263755195345
C19orf6	3.44168195974346
POLRMT	4.27513031826036
ZNF146	7.62302568423094
MIA2	3.35918573658029
LY6G6E	3.2928258603485
EIF4E2	8.71860206430642
NENF	5.13757844370121
HOXB5	4.3286768445454
ZNF324	4.05478265270442
CUGBP1	4.21747660456614
ENTPD7	4.333982012412
TTC13	5.96367752542338
GJB5	3.17438673937405
PRSS22	4.28095507951883
CYP3A5	3.41178081744633
MBOAT5	4.79204962718444
CUL4B	5.39560146631186
