Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_D05_443142
Composite Element REF	Signal
CAMSAP1	4.4560425221348
RPS21	9.76700256938769
XCR1	3.1903725375906
ARID5A	4.78896281549904
RBM6	6.19439181527506
UBE2N	6.07995346690822
KLF4	4.37568935448752
MGC4172	3.46287641152337
LMO4	8.25557365915263
KLKB1	3.34386965818602
HDAC3	5.49271064501297
HP	8.77785286239876
SCHIP1	5.44257338915833
BTK	4.44336726211541
KRCC1	7.14011267262155
PRND	3.04277937253406
C6orf27	3.72403082221481
PIGL	3.67038881768879
CLCA1	3.48222055691081
C1orf112	3.83686737920228
OLFML2A	5.3883847043874
HUS1	4.48251096319915
SFRS6	5.42705319566164
CXCR7	5.90033672196356
UIMC1	5.34651386842695
FXYD2	3.66653836596021
GOT2	6.17726714440108
ZNF667	3.73586658489631
TFEC	3.45267485142833
ATP7B	3.26312159840289
RAB38	3.59856801336612
POLD2	6.28588672286979
PPM1H	4.71295199531427
DCX	3.40722808053861
NFYC	4.70155648509391
ZNF228	3.13015905657264
KIN	5.14934802580234
PLSCR4	6.42044009481579
HIST1H4I	4.16042696224128
PPARGC1A	3.13008189590721
HIG2	9.191395125656
KCNK10	4.50862270119817
EXOC1	7.34088102071685
OR6A2	3.66328435821008
ETFA	6.59146196791647
PDAP1	4.79579731310009
C19orf6	3.52138729465479
POLRMT	3.94748855187542
ZNF146	7.66290574085236
MIA2	3.34196354331733
LY6G6E	3.3805017561522
EIF4E2	7.93910855378658
NENF	5.31415130505194
HOXB5	3.56952872460957
ZNF324	4.31808570572417
CUGBP1	5.21260087496667
ENTPD7	4.76112316832329
TTC13	5.64018733510856
GJB5	3.30118217663627
PRSS22	4.58165779831365
CYP3A5	4.26645386555942
MBOAT5	3.98816883077517
CUL4B	5.30850540860592
CENPJ	3.30301340573510
KIAA0664	6.42022046328986
PITX1	4.20010327133502
PDGFRB	5.13438730594929
RDX	4.72904728602951
CELSR3	4.45997648185121
JUND	6.73427372289132
ITSN1	4.55072295160131
CHRNB1	3.28704300539605
EHBP1L1	3.52171316982997
C19orf2	5.17433461714859
FETUB	3.31866209635513
CAMK2B	3.49336672774186
DCTN1	6.22372040050328
TNKS2	6.32559381878851
MRTO4	5.76055174477393
C1QBP	4.76011911898976
TTC3	7.44553714429717
NDUFB8	8.54242970924076
CADPS2	5.18666121132507
EDG2	4.95366557417601
MYF5	3.13108136485833
SEMA3G	3.26929735611992
IL23A	3.90758340465985
GJA9	3.71567821755925
R3HDM2	6.01216484008483
C5	4.60018333667242
SLC2A10	5.28575256230754
TRIM45	4.56380176413998
TSP50	3.7715680520188
PAQR3	4.53326199601014
ANKRD26	3.49055149499576
TCP1	6.59416295164573
TMED7	6.35264183393122
CMA1	3.51684025454934
PTCRA	4.37724283897205
HCRTR1	3.69216211952608
FST	3.98779398049935
PAWR	3.93009789406997
LDLR	5.74328085090352
ASTN2	4.43762052328163
SCRN1	5.98333470443436
GPATCH8	5.80743540769308
KIF4A	5.94736913637176
TANC2	4.10600439117497
ZMYM5	3.67439380005329
PGM1	7.41679160142652
ZNF586	4.86681717787634
POLR3G	3.96210152593424
CPD	6.8080445550468
SNCAIP	6.13237154392362
DCT	3.58962508973602
HLA-DOA	3.53110263203344
TANK	5.61945218796574
RCAN1	4.04020492471715
UPK1B	6.02611645734882
DNAJB4	3.89803632176769
UGT1A8	3.15296900295532
LIMD2	4.23128740367212
HIST1H4L	3.92507392751985
PECR	4.23792093821556
HSPA2	4.86964382341966
SERP1	8.57409328755518
TACR2	3.23468428271302
NUP85	6.14055739035033
CD177	3.44141259971314
GPR135	3.39901500663786
PIGG	7.05827271181855
LGR5	3.37251439078705
JAK2	3.52000366221903
DPYSL4	3.39581768821778
TM9SF4	5.2119745651927
PTHR1	3.36193253261265
SIRPG	2.98054562023273
ZNF264	4.33478951922297
BICD1	5.52024123498568
RAB5A	6.7883027363075
FLJ13224	3.12106755622850
METTL5	8.0612235063268
HERC6	4.42398106638359
CASP1	3.94333942822824
USP9Y	3.09440263932249
LRP1B	2.82810887588988
XAF1	5.62312596010661
PLA2G4C	4.04212491641963
APOA2	3.17431724265496
SPAG6	3.15201662841618
KALRN	3.44708814618632
SECTM1	5.08189720123455
THOC7	8.99200252271162
IFNAR1	3.84272371401846
TCTA	5.64429782865228
NY-REN-7	5.42016044113415
TALDO1	9.04285750667777
B2M	9.58176742595446
LPPR4	3.67187219369305
SQLE	6.07547294726068
SEPHS1	6.18021148210367
EIF5A	6.15176771598733
FAM49A	4.00441405455103
YTHDC2	4.35322639604728
EHD2	4.83925223682392
NCF1	3.59015424720792
SPG7	5.7704636758614
ZNF614	3.61223262847458
HOXA5	3.23963814986618
NUP133	6.31950964390584
FGF12	4.00764343554099
SLMO2	5.71146102435716
INPP5B	4.69759830853686
PPID	4.40944959519239
