Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D05_543626
Composite Element REF	Signal
HOXA5	4.65469709771996
NUP133	8.03121910087301
FGF12	3.47526772727534
SLMO2	8.08276367159759
INPP5B	4.58101365386164
PPID	6.54812047124584
SNTA1	4.14076519037536
IL20RA	5.30691069152763
UBE2J1	6.0712440086237
CACNG2	3.06315591364210
GCM1	3.06610331863502
ELF1	6.78760987593269
TLR5	4.50328202255576
TCFL5	6.57611720193345
C1orf107	6.36843279172991
C19orf22	7.16435333116718
SAFB2	5.97554643297773
MAP3K7IP1	3.78349047397119
NCK2	8.46585096789314
OXA1L	8.44266323574831
KIAA0652	6.62674295279035
KLRG1	3.36374042422074
FRAG1	6.7364083315588
ZSCAN12	3.02654437973033
PSMD12	6.9464136348306
E2F4	5.23698743480595
CLEC4M	3.50059355369434
KIAA0999	4.92905500955689
CLDN10	8.93082403676886
MGC13053	4.31028479106805
TAC1	2.61825487005107
GYPA	3.26310769724514
HPCAL4	3.06192652936657
TRAIP	3.80392258931762
MEX3D	4.90416151770995
KIAA0232	7.29405823625682
ERCC8	4.60412640685002
NFAT5	5.60481335561958
GPX4	9.08668162620826
CSPG4LYP1	3.01893126709018
KIAA0368	6.0311339380424
FBXO3	5.5761375051895
DVL1	6.62132775320739
CMKLR1	3.51210531362363
GPR157	3.92255663854556
TYMS	7.13834493016409
OR52A1	3.3807007030739
PEF1	6.84073519174392
ZNF750	3.92512247504784
ALG9	6.64179323517243
MCM5	4.89186193111733
SDK2	3.54307584714206
BAIAP3	3.54404681181299
RABGGTB	7.98173571776423
KCNK7	3.35152537736949
PTP4A3	7.17915647794623
ANKRD40	4.13739238740738
CALCOCO2	7.34328942559955
TMSL8	4.81778009716346
SNCA	4.29737376893555
ZNF551	3.53799646519248
HBQ1	3.13700847275377
ARHGAP26	5.19578264732511
GEMIN6	6.60823744776944
HRAS	5.63130818857578
KLRC4	2.77787914237273
BSDC1	5.9829251824387
DSC1	3.4568151110964
RNF43	4.93034238878622
NDUFAF1	5.77595030522963
MAP2K4	5.60451658139715
FOLR2	5.56060094004667
LYZL6	3.49302399870129
EPB41L3	4.35750905026291
TEKT2	3.47506828838346
CDKN2B	3.21880118339623
WSB1	7.10426616920339
ZNF480	3.58927304852737
MAP3K6	4.96734263468168
PROS1	6.63152790102289
PSMB8	7.73829207109593
HN1	7.1666884055164
MAS1	3.22023247211492
APOL1	6.60399402444822
CSHL1	3.17615853660262
ZBTB7C	2.8673960160626
AHCTF1	6.57332220208716
SAE2	8.96570062987539
ITGA2	4.71358799447117
