Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_A02_451976
Composite Element REF	Signal
CRTAP	5.75319419954628
DDX50	7.57431645912576
STYXL1	6.97087465362031
TK2	4.79975848321499
BLVRB	6.19846377646204
STMN1	7.59431662995946
GUCA2A	3.41833699414492
DPP6	2.98957518993045
GALNT10	4.58049608395898
STK39	5.44260768337618
MMP24	4.47444975352336
CKS2	10.0209302746243
RHO	3.75136282986681
BANF1	9.12700310472807
CR1	3.05291409410171
RPS6KA2	4.71700895312418
HMBS	5.56535756088314
C20orf112	3.5816798624078
SLC25A24	7.70253754470483
MRPL22	7.8578718709739
SLC25A15	5.42962165917053
GADD45B	6.58353824019292
TDP1	5.65075770608493
ZNF287	3.51474980539725
DAAM2	5.95864882062923
C11orf57	4.75671165763982
RFK	6.77143284713559
ZFYVE9	3.99697173517096
TCTN3	6.99218660418328
STCH	6.6686042407
LOC283871	3.43261262309771
NDUFB3	8.27266053631448
DEFB4	3.89879639624344
FPR1	4.01065478359572
FMNL1	3.83671572102227
SEPT7	9.9791621835642
PTCD2	5.02672891796853
GNLY	3.58527352648011
GRAMD1C	5.06519357597326
ZNF165	5.44921251226567
TR2IT1	3.44491946019941
ARMCX3	8.34468262125088
NDE1	5.49623939358858
MAGEF1	7.46806788972938
ITGA10	3.60077101082123
ARHGDIB	7.92540195385394
FSHB	3.71883646443995
ANXA2	11.0944317961857
HLCS	3.99147928835794
MCF2L	3.71817632636994
AK1	5.71714590326085
FH	6.76255053503607
LGALS2	3.55667607405629
SYNPO2L	2.6969951095013
KIAA1045	3.51890427397420
C1orf183	4.4786206523927
MAGEA8	2.89628297023226
DGCR8	4.97982010271497
GSR	4.08851458694642
NEU2	3.18305317653172
HIST1H4B	3.52730589694605
CACNA1C	3.0968428488611
FAM20B	6.5594876074281
HES2	3.25571079961448
PDCD6	8.66082102348648
INTS7	5.89712883799217
AMPH	4.38702981018388
UCKL1	6.35062063767321
ASB4	3.0749895811738
C10orf97	5.91752587178921
ALDH1L1	4.02202977724841
CCL23	3.14536033486270
OBSL1	5.33303684646428
SLC12A7	7.32378074022548
THAP4	5.64279374387866
RBM4B	5.32893578243484
OGFRL1	4.67721207965273
KIAA0831	5.79119498955552
C12orf11	7.180662827072
PPP1R15A	6.49112413380226
KIAA0240	4.93581250066864
CD1B	3.28980333492674
FCGR2A	6.47984698212002
MDC1	5.57932387978441
MAN1A1	3.66981423974897
KRT9	3.3167697233956
HTR1A	3.43110133369380
OCEL1	5.46006750159313
ATP11B	6.40361202628041
NLGN4X	6.00682290293522
FBXO34	6.90649667863389
ALOX12	5.31632973680113
RB1CC1	7.20456472665859
PCDH12	4.67051956813693
RPE	5.43312312546994
EIF4E	6.846262336432
CSDC2	3.62622760620375
ABHD5	4.80366496295943
TMBIM1	6.84619039767002
PET112L	5.11979239050021
P2RXL1	3.29130632453193
F2RL2	3.16851436002692
TRMT1	6.05456904580411
