Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_G01_491276
Composite Element REF	Signal
SCN11A	3.80203124087633
GFI1	3.721595821716
FHL1	3.78439551945393
SMC6	6.83863122010122
GATA1	3.53031714802336
OSGEP	5.16268773516665
ARMC6	4.9772085516643
HK3	3.64050598830105
PSMD5	7.98633310367893
RSU1	7.80357746790344
RPL4	12.0073267430105
MAD2L1	8.25161300655651
RBPMS	7.31738735635498
EIF4A3	8.43939656551491
E4F1	6.41472161856173
DLEC1	3.29795807279489
PRPF3	6.6439311447461
EMR1	3.26032189815397
CHMP2B	6.84119240487986
CAMSAP1	4.39472147232439
RPS21	9.8114893517106
XCR1	3.38615233476941
ARID5A	3.87525880243347
RBM6	6.30693696715921
UBE2N	6.96462078363098
KLF4	4.93493954252262
MGC4172	4.74398618631281
LMO4	8.00362256222726
KLKB1	3.17859935900137
HDAC3	6.6307760327245
HP	6.31244108907217
SCHIP1	4.98620366445076
BTK	4.20423470462597
KRCC1	8.90403846136834
PRND	3.33352022095538
C6orf27	3.9424287743344
PIGL	3.39112477897138
CLCA1	3.80491680249363
C1orf112	4.83198088696771
OLFML2A	4.7554532268908
HUS1	5.0335186154715
SFRS6	7.67336817319296
CXCR7	6.48989462032407
UIMC1	6.80514959909856
FXYD2	3.37792141683895
GOT2	8.5569111916476
ZNF667	3.01060817705267
TFEC	3.50736276681609
ATP7B	5.42837193037886
RAB38	4.83773946534196
POLD2	7.56385249149871
PPM1H	4.92738826103994
DCX	3.27067387815752
NFYC	4.79969140010055
ZNF228	4.44357328139711
KIN	5.65062723374578
PLSCR4	4.48299673060897
HIST1H4I	4.40302555044244
PPARGC1A	3.05853944385662
HIG2	7.57612458496871
KCNK10	4.07687005974348
EXOC1	8.66250877018439
OR6A2	3.91818192278992
ETFA	8.54294069331496
PDAP1	4.84174879581429
C19orf6	3.41175328086579
POLRMT	4.30881047853098
ZNF146	8.14358079894494
MIA2	3.3997063675342
LY6G6E	3.26982024972441
EIF4E2	7.67264902347598
NENF	4.87496334266122
HOXB5	5.91460967804117
ZNF324	5.50220854751393
CUGBP1	5.06930110273469
ENTPD7	4.53521793790766
TTC13	6.57897311497013
GJB5	3.07443516773502
PRSS22	5.80180149207912
CYP3A5	4.52742498340007
MBOAT5	4.46348732977887
CUL4B	4.84905732484168
CENPJ	3.73047065546027
KIAA0664	6.32671611782921
PITX1	4.03240328563505
PDGFRB	4.24795025118119
RDX	6.16857908731128
CELSR3	4.31394517896167
JUND	6.66040704796872
ITSN1	5.31872042600601
CHRNB1	3.30407442111302
EHBP1L1	3.75912666606075
C19orf2	6.51594208981025
FETUB	3.21224937927955
CAMK2B	3.89636437319955
DCTN1	6.6110672478071
TNKS2	6.68590528432178
MRTO4	6.62477471061697
C1QBP	5.71665181724919
TTC3	8.05063634454896
NDUFB8	8.75853635598391
CADPS2	6.60842437875453
EDG2	4.89247287111975
MYF5	3.41467555938825
SEMA3G	4.87776566455497
IL23A	3.73643899038169
GJA9	3.84937608303464
R3HDM2	8.29009170859226
C5	4.64962293583561
SLC2A10	6.32770010316939
TRIM45	5.37289972392782
TSP50	3.71321889105134
PAQR3	4.11739468690034
ANKRD26	3.81218739410773
TCP1	8.27748634414747
TMED7	7.17167907496105
CMA1	2.89466421365095
PTCRA	4.19885730531285
HCRTR1	3.51294729613678
FST	3.93169182431651
PAWR	3.91847476002729
LDLR	6.14292129835706
ASTN2	3.79203085483748
