Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
MYF5	2.81252693696999
SEMA3G	3.69795213439803
IL23A	3.64182442890642
GJA9	3.67147897868991
R3HDM2	7.80032110771552
C5	4.09614087259004
SLC2A10	6.86076220171915
TRIM45	4.94125048611409
TSP50	3.58991180268421
PAQR3	5.28018441909422
ANKRD26	3.73741529310018
TCP1	9.25641142424935
TMED7	6.62923720706214
CMA1	2.89889988597096
PTCRA	4.07059955726921
HCRTR1	3.48513759706799
FST	4.19685632716678
PAWR	4.22140760745418
LDLR	4.01930532689834
ASTN2	3.86569976610406
SCRN1	9.25939760954257
GPATCH8	6.64972609379573
KIF4A	6.34857891199584
TANC2	3.94585029726271
ZMYM5	3.45903506595803
PGM1	9.7781010987816
ZNF586	4.09249795175341
POLR3G	3.888133143166
CPD	6.69622459536771
SNCAIP	4.33039187018423
DCT	3.39048006823089
HLA-DOA	3.46198770431032
TANK	5.97326775450893
RCAN1	5.220051313126
UPK1B	3.58857671409192
DNAJB4	5.37121697044422
UGT1A8	3.03202789713118
LIMD2	3.49599844471388
HIST1H4L	3.39196424184204
PECR	4.45056162206357
HSPA2	6.1365121253479
SERP1	9.55433485119526
TACR2	3.62989374523927
NUP85	7.03485100565448
CD177	3.47536805490463
GPR135	3.09923350278743
PIGG	6.89156762758722
LGR5	5.65074258898754
JAK2	3.72595854491474
DPYSL4	3.30443293311320
TM9SF4	7.38523153010753
PTHR1	3.51328122839881
SIRPG	3.08823473565380
ZNF264	6.24666580405973
BICD1	6.9759862962265
RAB5A	7.26382966369601
FLJ13224	2.97604522596514
METTL5	8.86195081830742
HERC6	6.40435823537626
CASP1	5.58953743036334
USP9Y	2.96763815019651
LRP1B	2.86496746944923
XAF1	6.96239705771255
PLA2G4C	3.94289101711219
APOA2	2.9769012717519
SPAG6	3.25981264313447
KALRN	3.57975925287534
SECTM1	5.18607569129292
THOC7	8.37716047713785
IFNAR1	4.23678005350062
TCTA	5.7132500466513
NY-REN-7	3.20348123714054
TALDO1	9.7713484132182
B2M	11.9121889271001
LPPR4	4.53391605309823
SQLE	5.99705807694491
SEPHS1	6.637933459355
EIF5A	6.09038528393749
FAM49A	5.24725014108017
YTHDC2	4.939876257667
EHD2	5.12978877348496
NCF1	3.56434291910531
SPG7	6.04465592615884
ZNF614	3.46876137005096
HOXA5	6.84865273751488
NUP133	7.86329558726033
FGF12	4.25556789666297
SLMO2	8.51814046015333
INPP5B	4.71612510811144
PPID	6.07927203609262
SNTA1	4.6474019910241
IL20RA	3.8876756965886
UBE2J1	6.09139260914301
CACNG2	3.16238963834354
GCM1	3.23879816375842
ELF1	6.82304083548304
TLR5	4.85717204664429
TCFL5	7.89999925954767
C1orf107	5.8512063139792
C19orf22	7.60129518972490
SAFB2	6.51244679531846
MAP3K7IP1	3.91907535446265
NCK2	7.98102238696879
OXA1L	8.99997446035029
KIAA0652	6.31859590382383
KLRG1	3.84687290615749
FRAG1	6.80292493033864
ZSCAN12	2.98172674778753
PSMD12	7.54795226377123
E2F4	5.11960006859136
CLEC4M	3.44143602982746
KIAA0999	5.39898018207642
CLDN10	3.81444966817966
MGC13053	4.162085485375
TAC1	2.7252067824607
GYPA	3.39687649838769
HPCAL4	3.2169323158057
TRAIP	3.9198805155168
MEX3D	4.6403937836227
KIAA0232	6.76410145961361
