Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_E08_586166
Composite Element REF	Signal
TMED7	7.69597237244677
CMA1	2.85628769251039
PTCRA	4.13298898992855
HCRTR1	3.26850759164780
FST	6.29623512389602
PAWR	4.06291390739658
LDLR	5.1254218266296
ASTN2	4.44370277140043
SCRN1	6.10231214807983
GPATCH8	5.5461983269204
KIF4A	6.13403315225856
TANC2	3.78794867801999
ZMYM5	4.47458281412044
PGM1	9.3084187497622
ZNF586	5.08509506548407
POLR3G	4.40080922494623
CPD	6.52111347864284
SNCAIP	3.83871373005711
DCT	3.36290630450325
HLA-DOA	3.75388103993075
TANK	6.86367085462204
RCAN1	5.13289551152362
UPK1B	4.29832971577737
DNAJB4	5.64804219500683
UGT1A8	3.01088318510234
LIMD2	3.47611280959114
HIST1H4L	3.59867693143320
PECR	5.70609093927598
HSPA2	7.65286903755382
SERP1	10.1558289983111
TACR2	3.88348250018227
NUP85	6.9779179199412
CD177	3.49050399945916
GPR135	3.19716958960377
PIGG	8.19718669105457
LGR5	3.46663562285115
JAK2	3.68100640381954
DPYSL4	3.20194650670488
TM9SF4	6.40486701157155
PTHR1	3.51437214550235
SIRPG	3.18772418268454
ZNF264	4.98409610455293
BICD1	6.00983852460237
RAB5A	7.3190910330858
FLJ13224	3.03055365348736
METTL5	9.4568795166048
HERC6	6.7648357609676
CASP1	6.62055220367586
USP9Y	2.78034662399105
LRP1B	2.93704688807073
XAF1	6.41900616772238
PLA2G4C	4.00770502082755
APOA2	3.05333828597719
SPAG6	3.07327110461944
KALRN	3.65841133658795
SECTM1	5.46462439331285
THOC7	9.65821366233226
IFNAR1	4.28198038370187
TCTA	7.16063545895969
NY-REN-7	3.13668452883236
TALDO1	9.38868332768056
B2M	12.3032479999618
LPPR4	5.63392380208239
SQLE	7.4460961162018
SEPHS1	7.88002495320319
EIF5A	6.76836688622098
FAM49A	5.78861170689555
YTHDC2	4.27301726087515
EHD2	4.89043870653962
NCF1	4.0004125273943
SPG7	6.7004147407522
ZNF614	3.81883734897950
HOXA5	6.2934396539547
NUP133	8.15579472677519
FGF12	3.95577936845792
SLMO2	8.23101164999267
INPP5B	4.29831209392157
PPID	7.4577969202155
SNTA1	4.74858095662498
IL20RA	4.84881412770066
UBE2J1	6.72482773650589
CACNG2	3.03266374650792
GCM1	3.11238700684043
ELF1	6.7276552264471
TLR5	5.39679093911464
TCFL5	6.11698971288069
C1orf107	5.98044372805552
C19orf22	7.23044415247602
SAFB2	6.24484867382681
MAP3K7IP1	3.91237032055737
NCK2	8.15417253607297
OXA1L	7.76629970445614
KIAA0652	5.99379348758427
KLRG1	3.6376330301124
FRAG1	7.45251952055634
ZSCAN12	2.94778486296488
PSMD12	7.9284321699304
E2F4	5.30227982616768
CLEC4M	3.47487686545353
KIAA0999	5.36709889142998
CLDN10	7.91669880613717
MGC13053	4.10481707534592
TAC1	2.80554029797092
GYPA	3.3011792454764
HPCAL4	3.28611537368745
TRAIP	3.92821898390401
MEX3D	4.78967154164824
KIAA0232	6.70121888015663
ERCC8	5.29020774514446
NFAT5	6.40551597345771
GPX4	10.3438612565761
CSPG4LYP1	3.20837458469540
KIAA0368	5.88354999311706
FBXO3	6.83306929946367
DVL1	5.5500263146554
CMKLR1	3.80140908847168
GPR157	3.3341180380336
TYMS	7.92499231689316
OR52A1	3.29576697296867
PEF1	7.53736025355824
ZNF750	3.42328392979258
ALG9	6.91489348104321
MCM5	6.47663212943213
SDK2	3.33374826943057
BAIAP3	3.67072733971920
RABGGTB	6.3461307575502
KCNK7	3.26270679901783
PTP4A3	7.1597800459801
ANKRD40	4.07674270514016
CALCOCO2	7.35754435346718
TMSL8	5.76511083790563
SNCA	4.48130020209607
ZNF551	3.95916127359088
HBQ1	3.23916889615058
ARHGAP26	4.13276014531238
GEMIN6	8.26022870614752
HRAS	6.33815557787833
KLRC4	2.79707569198819
BSDC1	5.33349974805427
DSC1	4.1127003872439
RNF43	4.46062199782024
NDUFAF1	6.69122616915488
MAP2K4	5.30715452212514
FOLR2	6.06399883199601
LYZL6	3.57944139627881
EPB41L3	3.97125910086508
TEKT2	3.46496857727356
CDKN2B	3.18057785024203
WSB1	5.88503329440312
ZNF480	3.54810447473548
MAP3K6	3.78804061205357
PROS1	7.74924738487272
PSMB8	8.66242108295273
HN1	8.42543861752444
MAS1	3.22280433468247
APOL1	5.75338468693945
CSHL1	3.16658743210220
ZBTB7C	2.92243822653584
AHCTF1	5.89417653887755
SAE2	9.6402291568356
ITGA2	4.35414255482279
AP2S1	9.26926453519371
P15RS	8.24756974517268
MME	5.48708560404993
VAT1	7.87899385167558
MAST4	5.80242702536042
TUFM	9.46237583213994
KRT33B	3.4610092437746
THEG	3.64811605486115
KCTD2	5.45658014444623
WDR26	9.27162117648533
MFI2	3.11179362469878
KRT34	3.00250498708952
NR4A3	3.60948267103668
SGSM3	4.60441240188354
ARSA	4.31207250985011
TOMM22	6.65950949367934
SOCS3	3.62996109409391
UNKL	3.61827189996302
POP4	9.20194052598345
BHLHB3	9.00308619301462
MALL	4.35639702708104
SOX15	3.21988962391253
CCNA2	6.65840665112792
PARK2	3.19868528077293
GPR124	4.67088819898284
TMEM132A	5.10764603103492
CGRRF1	8.25260436998656
RUVBL2	8.27216872105962
MCAT	6.48364961900433
WNT10B	3.50414820685331
ISCA1	7.82292038346081
RPAP1	4.41322542742667
C12orf48	5.93483014944711
RAI16	4.45377387983015
RPL27	9.99813949642173
EPN1	3.69639590346737
MAGI1	2.91875989616317
GBX2	3.05402611012079
SLC35A1	7.87150606815979
GAL	4.6936317945158
SLC14A2	3.56873154089856
RDH11	9.14139043798165
ZNF518	5.9738963194949
PCYT1B	3.14419580157165
AUH	7.10612087996444
EIF3H	10.0289294007520
KIF1B	6.64330496951887
MBD2	4.70880752237084
AMOTL2	7.31011251413358
C6orf120	6.78630393183896
PIGT	7.8232438992952
PSRC1	6.986850310596
PLA2G10	3.77015815520754
ALAS1	6.70458853030976
FOXO1	6.22678024268839
C17orf62	6.91544952196917
KIF5C	4.64579045407797
DUSP10	5.45383251971974
CRLF3	7.75313256888793
CLCNKB	3.55259299993999
PSMA5	9.37778376785387
FARS2	7.00758783545479
CCDC28A	6.41908977652157
AMPD3	4.53674521927744
PIAS1	6.80684291256803
ADCYAP1R1	3.58397785074372
TMEM134	7.63363672565561
CDH20	2.92913259722491
FBXO7	8.19849749886638
FLJ14213	4.55790139825972
ZNF3	5.87276946010692
LRRFIP1	6.85053939663686
TMEM49	9.25767399344359
CNOT2	7.98900029864184
CBX2	2.72156328137172
ZC3H14	6.97574889166758
ALDH5A1	5.87034392864202
HNT	4.84432447703122
SERPINA4	2.99388390582688
FLJ20920	6.37991254853787
CRTAP	6.50886046324007
DDX50	8.02091179839778
STYXL1	8.08072369666668
TK2	5.08034375720033
BLVRB	7.24007041001715
STMN1	7.3188958144369
GUCA2A	3.17615701445819
DPP6	2.97791320478069
GALNT10	5.97338574627099
STK39	5.20978606256416
MMP24	4.82390052611017
CKS2	10.9466235246973
RHO	3.74888739629639
BANF1	9.74861934191327
CR1	2.95331247051770
RPS6KA2	4.61620712702334
HMBS	7.97409043003146
C20orf112	3.73160720146193
SLC25A24	7.55822053164782
MRPL22	8.81387775509722
SLC25A15	4.97888367904166
GADD45B	5.23044576500111
TDP1	6.00131798876975
ZNF287	3.66463824788716
DAAM2	4.77705169531573
C11orf57	7.52631034108172
RFK	8.28079582739813
ZFYVE9	4.22937303770145
TCTN3	7.67038363064979
STCH	7.05717107342773
LOC283871	3.81060114957319
NDUFB3	8.92739386769452
DEFB4	5.51444077451011
FPR1	4.49831469146512
FMNL1	3.83966446582276
SEPT7	9.68999903746163
PTCD2	4.22857666538218
GNLY	4.17657036988272
GRAMD1C	6.173471278486
ZNF165	5.12025512433281
TR2IT1	4.48227522029673
ARMCX3	7.98859775572541
NDE1	5.39630008352817
MAGEF1	7.39298868685902
ITGA10	3.48573339052516
ARHGDIB	8.66352433669329
FSHB	3.69030410636620
ANXA2	11.3539424681368
HLCS	4.05314767199916
MCF2L	3.90186656867186
AK1	6.50861303033159
FH	6.44801784672188
LGALS2	3.60077305212079
SYNPO2L	4.68237120732968
KIAA1045	3.19211217728109
C1orf183	4.53231418620276
MAGEA8	3.06259100456019
DGCR8	4.22210783568932
GSR	5.10393862905937
NEU2	3.36186334425099
HIST1H4B	3.89748746846544
CACNA1C	3.13220898116640
FAM20B	6.00292589556775
HES2	3.09143651626967
PDCD6	9.65073031992249
INTS7	6.86122854469333
AMPH	4.16615449935415
UCKL1	5.32713636085193
ASB4	3.07366402373712
C10orf97	5.24436281882037
ALDH1L1	4.06475937262262
CCL23	3.46878025927642
OBSL1	4.5830869004621
SLC12A7	7.29932164694464
THAP4	7.06267992943124
RBM4B	5.27348274913613
OGFRL1	5.60492757028175
KIAA0831	6.94876280150472
C12orf11	8.35837513879088
PPP1R15A	4.46030002595759
KIAA0240	5.49204362523787
CD1B	3.419005524559
FCGR2A	6.23973486621423
MDC1	4.61321257970268
MAN1A1	3.91365349607848
KRT9	3.60019876603687
HTR1A	3.32556239117921
OCEL1	6.64974637371731
ATP11B	6.67947129396685
NLGN4X	4.76823289564668
FBXO34	7.9945662210329
ALOX12	3.39014572835932
RB1CC1	7.56817486244959
PCDH12	5.25009453204643
RPE	5.91549565908538
EIF4E	7.20676935418217
CSDC2	3.90763446954030
ABHD5	6.72752726811918
TMBIM1	7.39556015299805
PET112L	6.09712376885993
P2RXL1	3.14102302672193
F2RL2	3.11523483381657
TRMT1	5.38934446701198
IMPG2	3.96900781267794
LRRC32	5.6051313248774
BGLAP	5.13779183167188
HTR4	3.32352142509703
MRAS	5.90478619528447
TRAF6	5.29957850115594
AXL	5.14615906613976
ATP2C2	3.70603000423658
LMNB1	5.66169993314926
TELO2	4.02428968997972
PNPLA3	3.396665530095
CSNK1E	5.79331307026344
SRP14	10.7011605951173
KCNQ4	3.09589081962831
PIK3C2B	6.69168410470068
C15orf15	8.75678728329716
TUBB2B	2.97964655911807
USP15	7.00685011890213
C12orf41	8.46401807095455
CEND1	3.52218220500092
RNF31	5.57932077197051
TCEAL2	4.63370899892405
PTGER2	4.63917309055424
UBN1	5.59532168569086
SLC5A7	3.18295985649524
SLC31A1	7.19196147845457
ADAM29	3.62936362444693
ST7L	4.15802931677506
GFOD1	5.34588598410159
CTNNA1	8.49310220429714
HRBL	4.23927919396448
CBX4	3.51047637581618
NTRK2	3.52559273292036
FOXN3	5.45589933967633
MFGE8	5.9698921018808
PFKFB2	3.79493032191456
TAS2R4	3.34586541528686
SH3TC2	3.1614122478429
IL10	3.6522944414524
PXMP4	6.43019474408585
RNF167	6.56437141368713
PRMT5	7.73331711946735
TSKU	5.98137809470713
ATPIF1	9.33841771705117
ETV3	3.22869702254534
PAK7	3.0931052875509
PDLIM1	8.45082072326273
CEP63	6.13656547563282
WDFY3	5.01624686958932
RNF126	4.97208257157709
DPM1	8.9580704998971
CLIC4	7.62096457729967
ACR	3.6253349504885
KLK7	10.3497361141608
ALOX5AP	6.81969876782635
LRP1	5.44320105937715
TNK1	4.90415021424183
TAS2R9	3.00152021333442
ZNF16	6.69202905781022
POLR1B	5.11698463809195
SLC8A2	3.70351371322795
OLFM4	2.85635998449276
TACC1	4.84798024325077
SAMHD1	6.68679073791732
ATP13A2	5.60256385973062
KRT4	3.62209551111818
PAX6	4.08543420555371
SCG2	5.67032700426088
SLC17A6	3.38434413199617
TUBB4	3.70328124642632
PADI4	3.05039704516612
FMO3	3.42702901911536
NLK	4.92866980946123
POU4F3	2.97912431987912
MDM2	3.48118673353441
CAPNS1	9.19422752503613
SDF4	7.71251640020202
ITGBL1	5.70972698701254
TAP2	4.26319540127542
OR2C1	3.26597780798479
KLHDC3	7.59926340301772
EFHD2	5.98947185460285
GALR3	3.64058530964704
NBEA	3.07424438064709
ABCA6	3.32508375603861
ABBA-1	3.7880826427805
GNAI1	7.53608034603805
CLDN3	7.98064358334206
AKT2	3.24388449755670
EGFR	4.40173980122565
VPS4B	8.63391393824168
RBM16	7.48229959654432
GALNT6	7.11271295285579
ZDHHC3	6.73468998338765
SLC25A4	7.49305968053026
CYB5B	7.2755627315433
NDRG1	8.40024102570974
SESN1	6.27701448150461
GBE1	8.08728380631898
MRPL46	6.91312196932325
CLASP1	6.01069712083524
FARP2	5.28993852605148
ACOT11	3.70122871750814
LDHAL6B	2.96488284702871
MAPKAPK3	6.07272747725508
NCAM2	3.02070362786232
AFAP1	4.39202833192847
PRKD2	6.33111867976573
OR2H2	3.22657550447205
ZFP36L1	7.78565849743185
DZIP1	4.36783703404356
GPR161	4.35887115425793
RNF146	3.81496973909657
NKX3-1	3.85889702781440
CCNB2	7.85840090378518
ZNF10	3.75972821263497
WDR74	5.85459553874511
FAM134A	8.1959949549749
PCNP	9.00235132146458
PURA	5.66860791938898
DNPEP	7.63125611437443
ERBB2	5.27498406702346
CREB1	6.40465889754133
NEO1	7.29096027933185
DDX3Y	3.30754840080543
RPS3A	13.0067908935624
MXRA7	10.4700804115995
LGALS3	11.5016705385595
GLT8D1	6.91522720427159
TMPRSS3	7.00139221552207
UPB1	3.30449671495734
LAT	3.82531984752195
CLDN14	3.42026223312378
DHX38	5.47692465127386
