Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
TMEM11	5.58320411084687
CDH8	3.28325950618906
C3orf32	3.52091188808623
AGPS	5.14072182317191
C4orf18	3.37675018689539
PCCB	6.54713094148161
IPO13	4.15821165191483
PECI	5.92742054422023
UNG	8.15513414596014
C6orf105	3.6633011905819
GSTP1	8.66098614535971
SUV420H1	6.9806252811312
ARHGAP15	4.1933633781181
LTBR	6.52950335566059
TDRKH	3.11878047405683
PSG4	3.38226410998339
SLC9A3R1	7.09780469644548
NBPF3	7.71031227370634
SLC9A3	3.70210312754572
OSBP	6.48226524807673
PRR5	4.10030253525675
CHMP7	6.26271181630895
ADRA1A	2.97486459855357
ASAH1	6.63256927577605
FKBP4	7.38774139674203
ZNF350	4.96266808516236
DOM3Z	5.5804799823838
GIPR	3.78192655703185
AHI1	3.98900593084604
BST1	3.86333784516261
NCR2	3.54101080338125
NADSYN1	5.06082240231428
UBE2W	5.53202935308069
RGS14	3.90694333599076
KRT15	3.86144637226276
SCN11A	3.73679735092748
GFI1	3.54397344297226
FHL1	4.18033093380232
SMC6	7.52405167951884
GATA1	3.82227410671893
OSGEP	4.57655504288637
ARMC6	4.78731135335603
HK3	3.71469065146722
PSMD5	7.52533345578547
RSU1	7.4271981185275
RPL4	12.2413200026258
MAD2L1	6.77200501363393
RBPMS	5.52114571613713
EIF4A3	9.95992713632484
E4F1	4.69172371461961
DLEC1	3.4400024196056
PRPF3	5.78707326821596
EMR1	3.37272453695833
CHMP2B	7.0211248539073
CAMSAP1	4.19577949400574
RPS21	9.8496674765646
XCR1	3.36636637454541
ARID5A	4.43715111543174
RBM6	5.93775041882823
UBE2N	7.81411928324863
KLF4	3.98676266145581
MGC4172	5.0365096923669
LMO4	7.53234486633234
KLKB1	3.31388029156772
HDAC3	6.77681793356946
HP	4.43361600225578
SCHIP1	5.29975748948463
BTK	4.13017382820495
KRCC1	7.2871415285782
PRND	2.92249675322661
C6orf27	3.64473812235895
PIGL	3.60345712889274
CLCA1	3.74066830295772
C1orf112	4.98621521114477
OLFML2A	6.05388777627348
HUS1	4.59389109802308
SFRS6	8.0311675998411
CXCR7	5.60387962269114
UIMC1	6.67147822281927
FXYD2	3.78546783406884
GOT2	7.15405429909738
ZNF667	3.9626769979324
TFEC	4.58910168310287
ATP7B	3.29766706980183
RAB38	3.57673205623302
POLD2	7.32279421465048
PPM1H	4.69874090560533
DCX	3.14803724826602
NFYC	6.02129771592471
ZNF228	4.22893418483495
KIN	5.8832993957114
PLSCR4	4.94315258483876
HIST1H4I	4.13379930048915
PPARGC1A	3.06615769439831
HIG2	7.84412225134585
KCNK10	4.07869907269161
EXOC1	6.82000215950479
OR6A2	3.43809384059949
ETFA	8.63274553817602
PDAP1	4.7739145877895
C19orf6	3.62190553774044
POLRMT	4.36732382697372
ZNF146	8.32270607218507
MIA2	3.17753830865555
LY6G6E	3.16338464185188
EIF4E2	7.41775673245607
NENF	5.01412061463202
HOXB5	3.87842423309235
ZNF324	4.54028651726103
CUGBP1	4.40471320234909
ENTPD7	3.91255013800696
TTC13	5.71369485845172
GJB5	3.54719026179293
PRSS22	4.10102125128259
CYP3A5	4.75646439616091
MBOAT5	4.8683055268054
CUL4B	5.93281154667351
CENPJ	3.81663028567823
KIAA0664	6.5019743014584
PITX1	4.21085427876811
PDGFRB	4.90243501280508
RDX	7.00369478353768
CELSR3	4.04440796128965
JUND	5.6627344289237
ITSN1	4.46312832033368
CHRNB1	3.62162444300296
EHBP1L1	3.78129767335812
C19orf2	7.37837040535662
FETUB	3.08764072104463
CAMK2B	3.04708179818241
DCTN1	6.59750304523198
TNKS2	7.21776590092238
MRTO4	7.04130454836732
C1QBP	5.93312394769822
