Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C09_472018
Composite Element REF	Signal
CAPN1	5.7554606637969
DDHD2	5.39304146819245
UPF3A	6.51084733204008
LAGE3	6.19154708844589
GNRHR	3.1809521659887
UNC13B	4.34564928968281
TTLL4	5.36490075823591
PPBP	2.81115524954529
HTR3A	3.09026315568735
SDC2	4.67914426974864
ANKRD49	5.82588928100799
BTF3	10.7585573990792
COX7A2	9.88794170613215
SARS	9.02998745331082
C13orf18	3.36259320131137
CACNB1	4.06810942879867
QKI	5.63871342111902
SETMAR	5.69492011878275
LAMB4	3.31076531001981
MAN2B1	5.99285796959077
EML3	4.09589741746391
ACADL	3.40062488764518
OFD1	6.56076896184587
CGA	3.6880748286278
EIF3EIP	10.8734197047071
PEX16	4.64777196521846
GNG12	7.54156553605412
HABP4	4.96301537772682
CNTN2	3.49572549955682
ASNSD1	7.84740589134368
FUT4	3.60336645712032
DBH	3.47510317980715
CD53	5.14593945134573
HIST1H2BJ	3.51379589426938
TFAP2B	3.24566904456981
ACF	3.57605928994011
TMEM11	5.78157243100012
CDH8	3.30152382532527
C3orf32	3.75189460253368
AGPS	5.38246901485762
C4orf18	3.21362533465859
PCCB	7.21866950441952
IPO13	5.06960988855485
PECI	7.6158376093988
UNG	8.48582206286514
C6orf105	3.93099579587623
GSTP1	8.02780241844185
SUV420H1	6.32482151689704
ARHGAP15	3.72353960966668
LTBR	6.02533475763429
TDRKH	3.3176036172369
PSG4	3.36089034102602
SLC9A3R1	5.58285405864067
NBPF3	9.26123067124954
SLC9A3	3.84032778321982
OSBP	6.15762356537287
PRR5	4.07369360275029
CHMP7	4.68317186137697
ADRA1A	3.17686707266126
ASAH1	5.64844722536885
FKBP4	7.87519542104908
ZNF350	4.5913759039922
DOM3Z	5.17737695457524
GIPR	3.59479066258260
AHI1	4.26301095867519
BST1	3.70537389343577
NCR2	3.67486098713871
NADSYN1	4.75244986387154
UBE2W	5.76096069595133
RGS14	3.82238158026274
KRT15	3.42267434845997
SCN11A	3.84727627217078
GFI1	3.76989604154223
FHL1	5.68130480016207
SMC6	5.99520102048568
GATA1	3.72023715957660
OSGEP	5.31071705733693
ARMC6	4.86785956028446
HK3	3.34725666751554
PSMD5	7.2022453616826
RSU1	7.23493624582682
RPL4	11.7615973896305
MAD2L1	8.01722266519014
RBPMS	4.35055832323781
EIF4A3	9.21979777046187
E4F1	5.12801100335077
DLEC1	3.58779651184898
PRPF3	6.13305642864077
EMR1	4.14075505067837
CHMP2B	6.25280155057878
CAMSAP1	4.0497626516187
RPS21	9.93282731247516
XCR1	3.53182012249235
ARID5A	4.32397584859569
RBM6	5.94341240595804
UBE2N	8.10557254957232
KLF4	3.7307611717108
MGC4172	4.4890689706258
LMO4	5.61776876057157
KLKB1	3.68875773756143
HDAC3	5.96300743751975
HP	5.29001125110379
SCHIP1	5.15264258956609
BTK	3.49927463196877
KRCC1	7.53402758746247
PRND	3.09693579810994
C6orf27	3.51316241473431
PIGL	3.5896168611818
CLCA1	3.7557897849059
C1orf112	4.42055330315715
OLFML2A	4.91840151079268
HUS1	4.15940358360524
SFRS6	7.67378513092578
CXCR7	7.4689613098979
UIMC1	5.48629014284046
FXYD2	3.70526651677888
GOT2	8.4607843313821
ZNF667	4.70569776812266
TFEC	3.50319223277979
ATP7B	4.89583568015503
