Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E08_516348
Composite Element REF	Signal
ASNSD1	6.66529470853685
FUT4	4.41749342674772
DBH	3.37702368254445
CD53	3.8674880204185
HIST1H2BJ	3.41773742071201
TFAP2B	3.52576750959816
ACF	3.83162318305638
TMEM11	6.23489006562623
CDH8	3.10970346680186
C3orf32	3.54720379683966
AGPS	3.96757579794351
C4orf18	3.32170904115389
PCCB	7.8978237651165
IPO13	4.50005445560578
PECI	7.75439883581092
UNG	6.92249974755159
C6orf105	3.77253034065194
GSTP1	8.43239509191303
SUV420H1	6.91131078831635
ARHGAP15	3.46798732048390
LTBR	6.63824454438143
TDRKH	3.58426649105230
PSG4	3.24719667364598
SLC9A3R1	5.13452377294887
NBPF3	9.24319185593555
SLC9A3	3.66226221097279
OSBP	5.83811576264647
PRR5	4.05628197819321
CHMP7	6.31585659459748
ADRA1A	3.13468497852445
ASAH1	6.55871194310606
FKBP4	7.08411432060636
ZNF350	4.62727214444723
DOM3Z	5.73510488394242
GIPR	3.69945331185931
AHI1	4.10243165868688
BST1	3.60264110423496
NCR2	3.70339922721723
NADSYN1	4.19166696058201
UBE2W	6.16319312974273
RGS14	4.24491790246722
KRT15	3.94578708547109
SCN11A	3.84541769079428
GFI1	3.75537467859666
FHL1	6.04192279163598
SMC6	5.72752726811918
GATA1	3.69854497193739
OSGEP	5.36362748063571
ARMC6	4.87123691652035
HK3	3.20945217569444
PSMD5	7.1319360667806
RSU1	6.82007122724258
RPL4	12.3846824535153
MAD2L1	5.49484716339512
RBPMS	6.26775139355419
EIF4A3	8.74549194555768
E4F1	5.31558355202564
DLEC1	3.52029699475677
PRPF3	5.14150784638446
EMR1	3.09303337530758
CHMP2B	6.52216579853017
CAMSAP1	4.38460077879348
RPS21	10.5764029209067
XCR1	3.21312053979037
ARID5A	3.81525389492144
RBM6	6.1340267265435
UBE2N	6.81378236528479
KLF4	4.12334028195996
MGC4172	4.80249536190006
LMO4	6.69979810666107
KLKB1	3.12623261558682
HDAC3	7.07412937350208
HP	4.07874711331589
SCHIP1	4.9577555743115
BTK	3.74732534830968
KRCC1	8.06961546051565
PRND	3.19318994506353
C6orf27	3.88854873429277
PIGL	3.83717035894626
CLCA1	3.74094308678249
C1orf112	4.43345478512544
OLFML2A	6.41703172103725
HUS1	4.68483731476954
SFRS6	8.23803424796091
CXCR7	5.18630001254013
UIMC1	6.4189525269105
FXYD2	3.5684771191094
GOT2	7.76262697032219
ZNF667	4.38563862588956
TFEC	3.18565764119348
ATP7B	4.08101508927454
RAB38	5.56164874537016
POLD2	7.46850745994376
PPM1H	5.02046015906481
DCX	3.35946191173703
NFYC	5.57943310943522
ZNF228	3.45500042605815
KIN	4.94150608296924
PLSCR4	6.86897398279397
HIST1H4I	4.14248058083127
PPARGC1A	4.11910640415333
HIG2	8.35203641909732
KCNK10	4.20087765719492
EXOC1	7.17320804266218
OR6A2	4.11317287436491
ETFA	7.64679346807841
PDAP1	5.2103519321477
C19orf6	3.69351024725177
POLRMT	4.89424871514485
ZNF146	7.98424329410928
MIA2	3.24350538719259
LY6G6E	3.13681733743155
EIF4E2	7.67596370703055
NENF	5.57691804099527
HOXB5	3.97701966570677
ZNF324	4.63040278463975
CUGBP1	4.23090775249787
ENTPD7	4.05898724458214
TTC13	4.84216107964217
GJB5	3.23952380063859
PRSS22	4.2988633043205
CYP3A5	3.15605390435982
MBOAT5	4.76142766594000
CUL4B	4.96559574633706
CENPJ	3.62064168993007
KIAA0664	6.05895323509773
PITX1	3.62821434216427
PDGFRB	4.54883930776284
RDX	6.18265031192473
CELSR3	4.22401742979358
JUND	5.66412313151679
ITSN1	5.06452388472796
CHRNB1	4.4251033164365
EHBP1L1	3.18154280163421
C19orf2	6.97754982911614
FETUB	3.25407304999566
CAMK2B	3.6070481711139
DCTN1	6.78989845546917
TNKS2	7.10666277272452
MRTO4	7.37575801551516
C1QBP	6.05699667075337
TTC3	8.76333821225259
NDUFB8	9.18855036352335
CADPS2	4.52804102126297
EDG2	3.86589917867099
MYF5	3.04428054379926
SEMA3G	3.23657906512888
IL23A	3.86345969603076
GJA9	3.58738107079546
R3HDM2	7.4171150579329
C5	4.3988724423422
SLC2A10	5.96492452252952
TRIM45	5.04029691259382
TSP50	4.1384389936346
PAQR3	3.61739011372231
ANKRD26	3.28467487525858
TCP1	7.28291505919161
TMED7	6.41595421945946
CMA1	2.82508669146362
PTCRA	4.3941455043145
HCRTR1	3.39643427863219
FST	8.35967785460168
PAWR	3.75367898999381
LDLR	3.6338435594434
ASTN2	3.72931817145311
SCRN1	4.85420743813623
GPATCH8	5.45727465789424
KIF4A	4.57212645326294
TANC2	3.85435165633643
ZMYM5	4.17864251416016
PGM1	8.08873309203396
ZNF586	5.82248466953263
POLR3G	4.34354670304078
CPD	4.90373881801774
SNCAIP	3.60203051062477
DCT	3.53436130759348
HLA-DOA	3.5287249874682
TANK	5.1514292624147
RCAN1	3.85660656694626
UPK1B	3.16234000077725
DNAJB4	4.15235076607268
UGT1A8	3.03090030351730
LIMD2	3.90870962101784
HIST1H4L	3.60255038116018
PECR	4.65228634383255
HSPA2	5.68396340021771
SERP1	9.05486692765657
TACR2	3.13187563884608
NUP85	6.03401321977203
CD177	3.5470856257116
GPR135	3.40970854706010
PIGG	5.92562741738458
LGR5	3.99941169940207
JAK2	3.43729896489998
DPYSL4	3.22047132507311
TM9SF4	6.16723191638205
PTHR1	3.72717522029498
SIRPG	2.86431160829276
ZNF264	5.34109867638827
BICD1	5.17488089252432
RAB5A	7.12255203605823
FLJ13224	3.27542291835708
METTL5	8.06925750026112
HERC6	4.43299624931134
CASP1	4.40944325028827
USP9Y	2.82813173754081
LRP1B	2.85143185565249
XAF1	4.68495670651158
PLA2G4C	3.56448422344552
APOA2	3.42961923306549
SPAG6	3.03961372083452
KALRN	3.40480816589191
SECTM1	4.80172740040159
THOC7	7.85809400109452
IFNAR1	4.67448140915654
TCTA	7.129374056774
NY-REN-7	4.16649441998816
TALDO1	8.62320400966708
B2M	10.7469325991858
LPPR4	3.52422855633614
SQLE	6.19714618728996
SEPHS1	7.8253284858027
EIF5A	6.88414498755752
FAM49A	3.68900503755705
YTHDC2	4.33758039164145
EHD2	5.0336142230692
NCF1	3.31964621404453
SPG7	6.05161189655732
ZNF614	3.52467178923647
HOXA5	3.42600402144249
NUP133	7.45948990394377
FGF12	3.96573162674099
SLMO2	7.02104146599945
INPP5B	4.99072618971872
PPID	6.09050934014623
SNTA1	4.55518298426942
IL20RA	3.55528118282228
UBE2J1	4.3327942108732
CACNG2	3.25630847607587
GCM1	3.16337051351914
ELF1	6.14180841824562
TLR5	4.39870364261047
TCFL5	5.45676749428047
C1orf107	6.34465025237602
C19orf22	6.6586977745328
SAFB2	5.85937752976119
MAP3K7IP1	4.21729140077952
NCK2	7.24577652587153
OXA1L	8.47013156398023
KIAA0652	5.2436637250918
KLRG1	4.21360160450444
FRAG1	6.72866935168288
ZSCAN12	3.28763672060887
PSMD12	6.07506403108125
E2F4	5.20392894521061
CLEC4M	3.59702512772623
KIAA0999	5.1932815528047
CLDN10	3.51170416232624
MGC13053	4.17051481956881
TAC1	2.76687906463976
GYPA	3.52887423406017
HPCAL4	3.27525182769097
TRAIP	4.13877191654908
MEX3D	3.88122535590235
KIAA0232	6.67095042045541
ERCC8	4.43333010328487
NFAT5	5.80494121590918
GPX4	9.22518978167412
CSPG4LYP1	3.16870516711133
KIAA0368	5.75753894759603
FBXO3	4.83041946017965
DVL1	7.19774552691196
CMKLR1	3.45125237135441
GPR157	4.08702379379265
TYMS	6.96244983748292
OR52A1	3.45613880497396
PEF1	6.54866248344353
ZNF750	2.90468331068707
ALG9	6.50346765126474
MCM5	5.9703388710825
SDK2	4.28898586919969
BAIAP3	3.93371064278517
RABGGTB	5.95230428191547
KCNK7	3.53394361084649
PTP4A3	7.57505353476243
ANKRD40	3.9535101694814
CALCOCO2	6.95885437222808
TMSL8	4.4929861163417
SNCA	4.66277397260781
ZNF551	4.11210363326541
HBQ1	3.56917614947067
ARHGAP26	4.08675385574945
GEMIN6	6.66057482844693
HRAS	4.93907563409074
