Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_E05_298058
Composite Element REF	Signal
STK25	5.23041747225394
SLC12A4	3.49407257852967
BRCA1	3.33136966194370
GBL	5.81906401106263
C14orf108	8.47629838189616
CDC25B	7.47791967121316
BMP3	3.11684285396516
MAP1LC3C	3.84908959527217
TMEM180	3.70026825447883
CRYGC	3.563697627849
SLK	5.17725847482082
POU3F1	3.32190580576363
C20orf32	3.81373334714335
USP52	6.07346267422968
HIGD1B	3.98224865538788
BAZ1B	6.62871251768357
USP6NL	4.8378988095491
SLCO2B1	4.39700319516624
ABCD4	4.39184064085439
DIMT1L	5.66410598312792
SLC25A46	8.03618669496873
LARP7	5.96694983957124
TEK	3.84856544559544
CD160	3.69750933477042
TERF2IP	7.4541138826924
PHF20	5.60643616438901
COL1A1	7.59023935591063
KIAA0090	5.27760297331848
GTPBP1	4.50946708053012
GRK5	3.89085233564644
AP1S2	5.12267319903279
RAB33B	4.12188917190724
CA11	5.49787217595654
ALDOC	4.33021158114614
NUDT1	5.78403151191451
ZNF212	5.08485136065619
ACBD3	7.08521179572936
ZNF83	6.17950640939004
PRDM2	4.40799173539784
GDPD5	4.16036079093223
PDCD4	5.09864303681012
CEP350	5.66397486718984
FOXP3	3.16255283093544
SMYD3	6.91284247626236
CST7	4.22732567749915
SELL	6.21283654286253
CIAO1	5.98111352201981
LGI2	3.77203452240694
WDR45	6.75541970939992
ANKRD6	9.08739388467604
LTBP4	4.06148573805436
PSCD3	3.31427897778547
PYY	3.08249553399481
KCNC1	3.27244640227739
SIRT6	4.16056237313409
CCL19	4.03179625791542
ARHGEF9	4.86910863490749
ABR	4.23204845645802
C10orf22	6.57994657363872
STK17A	4.3387886027331
FOXE1	3.28272364849939
GML	3.40944596953631
CNGA3	3.00421017746547
CD38	3.83129622478811
ZDHHC6	7.55373380798099
NEFH	3.4589890237584
PGBD5	4.56814342690527
CTDSP2	6.89574629793131
RMND5B	5.46611169546325
ZNF257	3.81823781454822
DUSP4	3.69149306740219
FLJ22167	5.98186207529585
EXOSC7	6.89902292024777
ROR2	3.69773096364129
FOXM1	5.78395740091063
ZBTB48	4.50469474760322
BUD31	7.15640361995494
MAOA	4.37501582601696
CCDC41	4.34575972484441
TNNT3	4.06486592155283
FBXO11	5.53461884875153
GYPC	6.33938655198745
PLIN	3.87875667822602
RFXAP	4.05689598700442
C6orf15	3.34471038476996
RNF4	7.37044703089662
F8A1	8.20638334403257
PPP1R3D	4.91513600580755
GRB2	7.81854053841368
TPM3	3.18561061242705
SYT13	3.91328068996774
EPB42	3.37589108665850
RP5-1077B9.4	4.62069918191976
EIF1	9.9320924430029
CETN3	6.46403465347058
FPGT	5.1885339139629
PRY	3.25312440086695
NTHL1	4.75731197343189
POLR2B	9.24190330890648
RPS28	11.9180641523382
GDF10	3.34213585754568
COQ9	8.42868500711608
P2RX3	2.85827549425255
GCC2	5.19783624607264
RARRES3	8.44267588974808
PLXNA1	5.66822604306367
WBP4	4.62107282401806
KIAA0100	5.88694080180083
PMF1	6.15965087425635
HS2ST1	5.96064231133227
CRELD2	7.48834509725507
C8G	3.19540570175362
CD82	5.362293275419
PMM1	4.38162229102011
CBLL1	3.96435884890551
LIM2	3.67367451462934
VAX2	3.88150030562633
SETDB1	4.91275140097747
LRAP	3.47930722938034
GCLM	7.56301444702091
CPEB3	3.51453480299011
PPM1A	5.90487538661845
INTS1	4.32109628462284
MMP16	3.36726329649451
CAMTA1	3.59916065997514
SAMSN1	5.378436292886
DRD3	2.87492264304792
GMPPA	5.17158730672752
