Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B01_443100
Composite Element REF	Signal
AGPAT1	6.3228890889775
TOB2	6.16051036454448
BANK1	4.57794749929555
MAP3K3	5.28275715427247
MAX	5.36527130734896
GRM2	3.54117450361242
OSBPL8	7.41893966310996
PROSC	5.2087177989219
NR4A2	5.39141273975107
RICS	3.93289505841633
PIR	4.51949804527646
PPCS	10.0285301756805
IPO9	6.09209883519354
LONP1	6.99345447667357
EVC	3.97979987157162
CXCL13	8.67095992627741
SCYL3	6.0082338617823
KIAA1199	5.44783452673104
SORL1	7.0717392676879
NAT10	6.56111462176993
CHD1	6.4905286043009
SYN3	3.35579170802675
DMC1	3.81900942044012
SLC22A2	3.65626827597821
SERPINF1	6.48789019248167
C20orf27	5.81606206940616
OR7A17	3.0831892438024
RPS6KA5	5.13459771982233
LHB	3.19505419763011
TAOK3	5.38245753673202
STK25	5.55954980593133
SLC12A4	3.59970176680108
BRCA1	4.17003995770975
GBL	5.29022673205539
C14orf108	7.9858867454204
CDC25B	6.76154260950976
BMP3	3.08958092125767
MAP1LC3C	3.30028300837671
TMEM180	3.49195973691915
CRYGC	4.06050777168615
SLK	6.62817294958892
POU3F1	3.16426017490199
C20orf32	3.74700505012682
USP52	5.31125370825797
HIGD1B	3.7683141800345
BAZ1B	6.87526452162261
USP6NL	6.12198684301555
SLCO2B1	4.99886868462448
ABCD4	4.5571869470947
DIMT1L	5.93593566332152
SLC25A46	7.56163091724667
LARP7	7.52830315123752
TEK	3.64416181872505
CD160	3.71430023659413
TERF2IP	7.8205244204992
PHF20	6.31596546558445
COL1A1	5.08389868466846
KIAA0090	5.31381401763471
GTPBP1	4.32369994114631
GRK5	4.01774565110887
AP1S2	7.43884196953386
RAB33B	4.73301925363649
CA11	5.50967341727496
ALDOC	6.19247538558012
NUDT1	6.09212787730986
ZNF212	5.58178385789131
ACBD3	8.08174510100606
ZNF83	6.46610410091378
PRDM2	4.46693801748285
GDPD5	4.86813518443174
PDCD4	6.00892113370757
CEP350	6.3944607320135
FOXP3	3.21850573871115
SMYD3	7.40766324480215
CST7	6.23451355415597
SELL	5.91250445480303
CIAO1	6.42810672040248
LGI2	3.54894816621278
WDR45	8.43728512053262
ANKRD6	6.2457357680478
LTBP4	3.82390178912668
PSCD3	3.27743100584129
PYY	3.04720563959600
KCNC1	3.06990730284902
SIRT6	3.98155595924212
CCL19	4.5935461370647
ARHGEF9	4.52681142790774
ABR	4.84393187848263
C10orf22	6.91096390148815
STK17A	5.4706460908086
FOXE1	3.27864767496358
GML	3.10208271123358
CNGA3	2.89353502931996
CD38	7.29770498745987
ZDHHC6	7.6474732486242
NEFH	3.47787904386320
PGBD5	3.53834691335037
CTDSP2	7.86829544626244
RMND5B	5.13403362243171
ZNF257	3.06526935498484
DUSP4	5.17288831278274
FLJ22167	6.04532956841025
EXOSC7	6.4530994125456
ROR2	3.41467026958512
FOXM1	5.44062829458605
ZBTB48	4.37596159348481
BUD31	7.42388351061375
MAOA	4.14775582425509
CCDC41	4.97774484598877
TNNT3	3.89216831377471
FBXO11	5.8592914531761
GYPC	6.7985707793709
PLIN	3.54261414719406
RFXAP	3.20507222515918
C6orf15	3.74425900428139
RNF4	8.46486602851195
F8A1	8.10480012260317
PPP1R3D	5.07193758550658
GRB2	8.2988947597488
TPM3	3.02233292923335
SYT13	3.82505494748733
EPB42	3.49970698682797
RP5-1077B9.4	5.17750378861197
EIF1	10.5839440039995
CETN3	7.77334539191131
FPGT	5.32456417414633
PRY	3.47134106233711
NTHL1	5.88933053500261
POLR2B	8.47505913233818
RPS28	11.5968203386894
GDF10	3.15049756316165
COQ9	7.16764186505219
P2RX3	2.90627260986277
