Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B03_458664
Composite Element REF	Signal
FUT4	3.81400317087323
DBH	3.37504407279895
CD53	6.63040134033759
HIST1H2BJ	4.43609324495208
TFAP2B	3.33960266638565
ACF	3.75802248390215
TMEM11	5.7284712130976
CDH8	3.53833968969544
C3orf32	4.20010776259433
AGPS	4.11755369612361
C4orf18	3.60888816081803
PCCB	7.39708508499891
IPO13	4.74601696490218
PECI	7.07377890457424
UNG	7.06030639186134
C6orf105	3.63307593055824
GSTP1	9.15438224762934
SUV420H1	7.95259356293264
ARHGAP15	3.81143104376438
LTBR	6.46042602350495
TDRKH	3.38380605318229
PSG4	3.57848268407676
SLC9A3R1	7.64708496733168
NBPF3	9.49606149038654
SLC9A3	3.41796579772354
OSBP	6.1630602695995
PRR5	4.26879382951858
CHMP7	4.9043339994847
ADRA1A	3.07600558875323
ASAH1	6.77133128401629
FKBP4	7.08165360564454
ZNF350	4.30333510931730
DOM3Z	4.92114131934427
GIPR	3.81405795125434
AHI1	4.67251609200152
BST1	4.08975449988485
NCR2	3.61208084690203
NADSYN1	4.92450645243554
UBE2W	6.26013177433027
RGS14	4.27818115584708
KRT15	3.60217519596053
SCN11A	3.74054715503831
GFI1	3.60361310270342
FHL1	6.77748158153812
SMC6	6.76752840742409
GATA1	3.96539925631564
OSGEP	4.94512390899071
ARMC6	4.72653052885097
HK3	3.42253641291126
PSMD5	6.65193394391712
RSU1	6.09042146810033
RPL4	12.4597316502583
MAD2L1	7.935283051227
RBPMS	3.54084093736795
EIF4A3	9.92323743242186
E4F1	5.08270813174067
DLEC1	5.42245685338865
PRPF3	6.04041414682281
EMR1	3.01250877541216
CHMP2B	7.28087849913762
CAMSAP1	4.81323358014923
RPS21	9.58774524625572
XCR1	3.43626636945543
ARID5A	3.75859623142494
RBM6	6.28599449371703
UBE2N	7.75421551775639
KLF4	4.47121204454693
MGC4172	4.00279664921813
LMO4	7.00816067025922
KLKB1	3.47680898432724
HDAC3	5.90854728161756
HP	3.65897478840321
SCHIP1	5.04674767295485
BTK	4.02547534952829
KRCC1	8.17757161135092
PRND	2.9556880376392
C6orf27	3.45130356674289
PIGL	3.93158290603491
CLCA1	3.84229854535616
C1orf112	4.11023557130146
OLFML2A	5.80685913373979
HUS1	4.51515432272732
SFRS6	8.02129059848579
CXCR7	4.52481213188405
UIMC1	5.16471377543186
FXYD2	3.32313958221552
GOT2	7.84878118265003
ZNF667	4.22033448399496
TFEC	3.75550100579756
ATP7B	4.19246063625768
RAB38	3.22417129548896
POLD2	7.35276762702874
PPM1H	5.91168840047548
DCX	3.34150430001600
NFYC	5.10482427220478
ZNF228	3.84091734546238
KIN	4.71606250151308
PLSCR4	3.98011856631461
HIST1H4I	4.22029787274629
PPARGC1A	3.08438167090381
HIG2	7.14159796215632
KCNK10	3.93389313149847
EXOC1	7.95701292065278
OR6A2	4.05186990829747
ETFA	8.48853964480252
PDAP1	5.0966985887732
C19orf6	3.61028616137659
POLRMT	4.06661348311612
ZNF146	7.28917729537369
MIA2	3.31555867715834
LY6G6E	3.07639955817229
EIF4E2	8.30292544049068
NENF	4.63688854050974
HOXB5	4.01948298830522
ZNF324	4.20191196769678
