Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C06_458628
Composite Element REF	Signal
C19orf6	3.38740786780829
POLRMT	4.00704421034473
ZNF146	6.97659287760379
MIA2	2.98002911218883
LY6G6E	3.02343610172405
EIF4E2	8.05249873268125
NENF	4.88607730570229
HOXB5	3.93238661594669
ZNF324	4.31405364092466
CUGBP1	4.34061253801734
ENTPD7	4.03563679578789
TTC13	5.30048732514892
GJB5	3.22277368106034
PRSS22	4.54758978646096
CYP3A5	3.57587250215346
MBOAT5	4.67161675649482
CUL4B	5.60441059196666
CENPJ	3.54815505133122
KIAA0664	5.85818451334358
PITX1	3.82036733352043
PDGFRB	4.91049369234467
RDX	5.85974386659075
CELSR3	4.15233931474264
JUND	6.68944106990681
ITSN1	4.8662136716755
CHRNB1	3.59030389808929
EHBP1L1	3.59061491663501
C19orf2	6.8884072442048
FETUB	3.24324895914929
CAMK2B	3.34936762757188
DCTN1	6.1233691755998
TNKS2	6.36814460418168
MRTO4	7.01339389960915
C1QBP	5.81769589334831
TTC3	8.31588146432867
NDUFB8	7.96482363579029
CADPS2	5.69740434078908
EDG2	4.71563622283621
MYF5	3.12531713481106
SEMA3G	3.59879447194642
IL23A	4.05110220852117
GJA9	3.30077566561505
R3HDM2	6.96330842902018
C5	4.86611271679625
SLC2A10	6.62060041508497
TRIM45	4.73806400746784
TSP50	4.02704154919791
PAQR3	4.58772750885174
ANKRD26	3.22962857021256
TCP1	7.91799843697998
TMED7	5.88300762983128
CMA1	3.19479442010946
PTCRA	4.08139826551691
HCRTR1	3.68327693231482
FST	3.67834922198016
PAWR	3.90113002824006
LDLR	5.35505665308725
ASTN2	3.63828045574056
SCRN1	7.80308915199547
GPATCH8	6.25543420044093
KIF4A	5.16297824347184
TANC2	3.42590826661895
ZMYM5	3.89537179368615
PGM1	9.23595840797786
ZNF586	5.51429363954646
POLR3G	3.956970838787
CPD	5.66988753386696
SNCAIP	3.75578907194225
DCT	3.53267148602305
HLA-DOA	4.00347879503328
TANK	6.95892754259071
RCAN1	4.457220166401
UPK1B	4.23318460133147
DNAJB4	4.07589985939496
UGT1A8	2.92946448804855
LIMD2	3.62939052979569
HIST1H4L	3.54171842230545
PECR	4.96916190841204
HSPA2	5.59164572118088
SERP1	9.22330987811717
TACR2	3.27514509890157
NUP85	5.75733578145265
CD177	3.17564852834975
GPR135	3.26102100518462
PIGG	5.48989021158061
LGR5	3.45952092177346
JAK2	4.18200676789545
DPYSL4	3.47054866133205
TM9SF4	5.19893177298964
PTHR1	3.28422654281177
SIRPG	3.26723546617123
ZNF264	4.64292470626603
BICD1	5.72615734076151
RAB5A	8.10648131243968
FLJ13224	3.4132637842
METTL5	9.85160866100671
HERC6	5.49486730071702
CASP1	5.41890119966214
USP9Y	2.85586621798286
LRP1B	2.78310065306423
XAF1	6.68893718897388
PLA2G4C	3.70344728287609
APOA2	3.48451869413301
SPAG6	2.98770812321685
KALRN	3.29728210018504
SECTM1	4.97945005466005
THOC7	9.60172568353704
IFNAR1	4.13669360212928
TCTA	6.8340280058912
NY-REN-7	3.88580136547265
TALDO1	9.61228055618013
B2M	11.7397164465476
LPPR4	3.58093650736073
SQLE	6.68609011486807
SEPHS1	7.1503649232919
EIF5A	5.49917108601242
FAM49A	3.96422557180074
YTHDC2	4.56768202279102
EHD2	4.2981178196734
NCF1	3.57366983666328
SPG7	6.70343967857074
ZNF614	3.39166511712092
HOXA5	3.31699339394194
NUP133	7.80076662649087
FGF12	3.53770718362289
SLMO2	7.33447775512488
INPP5B	4.95942910646515
PPID	7.11195420726732
SNTA1	4.26507445417797
IL20RA	3.38081945047844
UBE2J1	6.65802751429264
CACNG2	3.00136781733501
GCM1	3.23658373620042
ELF1	6.50236323349176
TLR5	4.97722803294407
TCFL5	5.72224908071027
C1orf107	5.70278333938482
C19orf22	6.18737367146381
SAFB2	5.95598462002476
MAP3K7IP1	4.22814359009229
NCK2	8.01494671032255
OXA1L	7.6896833479495
KIAA0652	5.67612624385471
