Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_D05_472002
Composite Element REF	Signal
HIGD1B	3.85087174957706
BAZ1B	6.39558499342349
USP6NL	5.30063492357005
SLCO2B1	4.50332630869818
ABCD4	4.23126059252982
DIMT1L	5.93156604460564
SLC25A46	6.98037259973864
LARP7	6.33480588293146
TEK	3.68738657681291
CD160	3.39194418853083
TERF2IP	7.12182263165346
PHF20	5.86934984734031
COL1A1	8.87500704188942
KIAA0090	5.74696908130256
GTPBP1	4.13317185130747
GRK5	3.57691492799444
AP1S2	5.63165533889287
RAB33B	4.22007715218850
CA11	3.92813447796883
ALDOC	4.24761841845909
NUDT1	4.67144723178191
ZNF212	5.151088561069
ACBD3	7.0846698929984
ZNF83	6.35614162819374
PRDM2	4.84039213875199
GDPD5	4.36977238098021
PDCD4	5.84671942727483
CEP350	5.8883908925188
FOXP3	3.20052149731046
SMYD3	7.85881225020828
CST7	4.61599404596454
SELL	4.72727713497678
CIAO1	6.13880222106129
LGI2	3.8474271110724
WDR45	7.0078079992389
ANKRD6	5.80771505791283
LTBP4	3.47953901723593
PSCD3	3.17922285601473
PYY	3.00999566473771
KCNC1	3.19299798617037
SIRT6	3.83825611536235
CCL19	3.82576324480434
ARHGEF9	4.05089353467207
ABR	4.26507717338622
C10orf22	6.26966375819616
STK17A	4.57218544873918
FOXE1	3.42008627754851
GML	3.23289384397686
CNGA3	2.93058639092559
CD38	3.90998049550543
ZDHHC6	7.07271357732856
NEFH	3.2270353531717
PGBD5	5.73878323399625
CTDSP2	7.14537417418237
RMND5B	4.57601948851717
ZNF257	4.31302887572468
DUSP4	4.29873453961747
FLJ22167	5.65480622924806
EXOSC7	6.55429116656866
ROR2	4.07617085693396
FOXM1	5.57145269266085
ZBTB48	4.34578205445624
BUD31	8.4111342801612
MAOA	4.48238700293477
CCDC41	4.24776500784168
TNNT3	3.61217029757431
FBXO11	5.40731302308698
GYPC	5.54486941972153
PLIN	4.32755305523348
RFXAP	3.76161149010270
C6orf15	3.70834404409557
RNF4	8.94943561824478
F8A1	8.3920292493528
PPP1R3D	4.90860151893453
GRB2	7.23061008651618
TPM3	3.05420004403808
SYT13	3.48761239706619
EPB42	3.40587558846519
RP5-1077B9.4	4.64102596566169
EIF1	10.7698880735092
CETN3	6.8259606869345
FPGT	5.56153338302461
PRY	3.50865703225098
NTHL1	4.32975993890964
POLR2B	8.62029680175206
RPS28	10.9242122088248
GDF10	3.04908193400213
COQ9	6.91258412537222
P2RX3	2.86918386512649
GCC2	6.54184211362098
RARRES3	7.85210607788694
PLXNA1	6.30265007878699
WBP4	4.76593696782536
KIAA0100	6.62998798830265
PMF1	5.9511852715185
HS2ST1	5.86937093503486
CRELD2	6.57972507686939
C8G	2.91075324112695
CD82	5.07268234288746
PMM1	5.15375178471190
CBLL1	3.88994960108009
LIM2	3.57766888503793
VAX2	3.88705463085775
SETDB1	4.86820754471138
LRAP	3.39252365618415
GCLM	7.60178076115357
CPEB3	3.50109113482903
PPM1A	5.85080671551475
INTS1	3.95872987675871
MMP16	3.20188370789329
CAMTA1	4.56970347350855
SAMSN1	5.86678464138936
DRD3	2.85536895536335
GMPPA	4.49769203790251
